entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pyramid_layers,pnl,pnl_pct,exit_reason,duration_h,atr_at_entry
2026-01-08 00:00:00,2026-01-10 04:00:00,short,2994.77257,3023.9679508265076,3023.9679508265076,2936.9218152582935,779.16,1,-227478.71,-5.031,stop_loss,52.0,16.7495
2026-01-19 00:00:00,2026-01-19 08:00:00,long,3033.57087,3045.9221834441773,3027.963282447297,3045.9221834441773,3550.9500000000003,2,438588.87,10.2139,take_profit,8.0,12.6404
2026-01-20 00:00:00,2026-01-20 04:00:00,long,3027.72501,3018.5909703107695,3018.5909703107695,3045.4530766528187,2642.72,1,-241386.98,-5.1005,stop_loss,4.0,13.0153
2026-01-28 00:00:00,2026-01-28 04:00:00,long,3099.48334,3093.584899063609,3093.584899063609,3176.4698680598417,811.0400000000001,2,-47838.73,-1.0652,stop_loss,4.0,9.9641
2026-01-30 00:00:00,2026-02-01 00:00:00,short,3096.49855,3069.228505173581,3091.31809560602,3049.296684400664,1489.1299999999999,3,406086.4,9.1391,signal,48.0,14.9192
2026-02-01 00:00:00,2026-02-01 16:00:00,long,3078.60682,3098.700638033602,3069.4085051735815,3098.700638033602,2468.16,2,495947.6,10.2268,take_profit,16.0,13.5002
2026-02-03 16:00:00,2026-02-04 12:00:00,long,3065.0105,3058.969310856104,3058.969310856104,3089.6616893646697,2597.19,2,-156901.09,-2.9352,stop_loss,20.0,13.6599
2026-02-06 04:00:00,2026-02-06 08:00:00,long,3039.57637,3053.91780399839,3032.1356475866037,3053.91780399839,3573.0,1,512419.57,9.876,take_profit,4.0,11.8143
2026-02-07 16:00:00,2026-02-08 16:00:00,short,3050.0933,3055.741161223076,3055.741161223076,3012.1843118308284,1955.19,2,-110426.4,-1.937,stop_loss,24.0,10.8829
2026-02-10 00:00:00,2026-02-10 04:00:00,short,3089.90569,3099.9505570319593,3099.9505570319593,3070.355957261985,2833.55,1,-284626.32,-5.0912,stop_loss,4.0,15.0927
2026-02-15 00:00:00,2026-02-16 00:00:00,long,3090.23003,3112.833369764162,3095.539039431494,3112.833369764162,3192.47,3,721604.72,13.6001,take_profit,24.0,12.3377
2026-02-17 00:00:00,2026-02-17 20:00:00,short,3128.58705,3156.6534893204557,3156.6534893204557,3072.994171433052,1080.72,1,-303319.62,-5.0323,stop_loss,20.0,13.9432
2026-02-18 12:00:00,2026-02-19 16:00:00,long,3147.28186,3142.8207189906834,3142.8207189906834,3184.6175891148578,2045.4700000000003,2,-91251.22,-1.5941,stop_loss,28.0,13.2179
2026-02-21 04:00:00,2026-02-22 04:00:00,long,3156.6996,3176.7425726860074,3149.7575948319836,3176.7425726860074,3110.3999999999996,2,623416.72,11.0674,take_profit,24.0,19.0675
2026-02-23 00:00:00,2026-02-24 08:00:00,short,3181.40286,3188.588615738517,3188.588615738517,3127.2204942342855,1524.73,2,-109563.45,-1.7512,stop_loss,32.0,15.387
