entry_time,exit_time,direction,entry,exit,sl,tp,layers,pnl,exit_reason
2014-01-10 16:00:00,2014-01-27 12:00:00,long,1254.37,1261.3017857142856,1261.3017857142856,1292.2500000000002,2,60460.4213571422,stop_loss
2014-01-30 12:00:00,2014-02-05 12:00:00,short,1241.08,1270.1299999999999,1270.1299999999999,1183.82,1,-102194.99499999985,stop_loss
2014-02-11 16:00:00,2014-02-18 04:00:00,long,1307.89667,1319.6032142857143,1319.6032142857143,1357.03,3,103775.03267857168,stop_loss
2014-02-24 08:00:00,2014-03-04 12:00:00,long,1342.73,1334.09,1334.09,1363.9699999999998,2,-116011.00799999981,stop_loss
2014-03-12 12:00:00,2014-03-17 20:00:00,long,1375.51,1366.1299999999999,1366.1299999999999,1422.4899999999998,2,-65528.67999999997,stop_loss
2014-03-18 12:00:00,2014-03-21 08:00:00,short,1340.645,1337.9360714285713,1337.9360714285713,1283.22,2,15006.922500001423,stop_loss
2014-03-24 12:00:00,2014-03-27 08:00:00,short,1310.3,1302.995357142857,1302.995357142857,1267.8600000000001,2,57607.33542857251,stop_loss
2014-03-27 08:00:00,2014-04-02 16:00:00,short,1286.92,1293.59,1293.59,1248.9699999999998,2,-58864.08399999964,stop_loss
2014-04-04 12:00:00,2014-04-15 08:00:00,long,1312.18333,1318.6782142857144,1318.6782142857144,1333.6200000000003,3,109801.8078928589,stop_loss
2014-04-15 12:00:00,2014-04-24 16:00:00,short,1283.68,1293.8600000000001,1293.8600000000001,1220.2800000000004,2,-55175.60000000035,stop_loss
2014-04-25 12:00:00,2014-05-01 08:00:00,long,1300.38,1282.77,1268.38,1363.5399999999995,1,-54950.24399999969,signal
2014-05-01 08:00:00,2014-05-02 16:00:00,short,1282.49,1298.1,1298.1,1252.1100000000001,1,-99666.72799999936,stop_loss
2014-05-05 08:00:00,2014-05-27 08:00:00,long,1313.39,1283.0,1273.18,1392.9699999999996,1,-72975.50699999969,signal
2014-05-27 08:00:00,2014-05-27 16:00:00,short,1274.105,1272.5539285714285,1272.5539285714285,1260.8000000000002,2,26389.30885714414,stop_loss
2014-05-27 16:00:00,2014-05-30 16:00:00,short,1254.63,1253.05,1253.05,1208.3600000000001,3,15748.176000000789,stop_loss
2014-05-30 16:00:00,2014-06-05 12:00:00,short,1245.35,1254.8,1260.34,1216.2100000000005,1,-61201.97999999882,signal
