fold,oos_start,oos_end,n_is,pf_is,n_oos,pf_oos,wr_oos,mdd_oos,passed
0,2024-10-06,2025-01-06,24,1.4192,8,2.9245,62.5,3.96,True
1,2025-01-06,2025-04-06,33,1.9088,6,0.7086,33.33,5.26,False
2,2025-04-06,2025-07-06,39,1.595,2,99.9,100.0,0.0,False
3,2025-07-06,2025-10-06,41,1.8703,5,0.4835,20.0,3.63,False
4,2025-10-06,2026-01-06,46,1.5907,5,2.9102,60.0,2.0,True
5,2026-01-06,2026-02-27,51,1.7301,2,99.9,100.0,0.0,False
