name,total_trades,pf,wr,mdd,net_pnl
M15_rr1.5_lb15,153,1.1896,28.76,12.28,0
M15_rr1.5_lb20,151,1.0323,28.48,18.21,0
M15_rr2.0_lb15,153,1.1896,28.76,12.28,0
M15_rr2.0_lb20,151,1.0323,28.48,18.21,0
M15_rr3.0_lb15,153,1.1896,28.76,12.28,0
M15_rr3.0_lb20,151,1.0323,28.48,18.21,0
