EntryTime,ExitTime,Position,EntryPrice,ExitPrice,TP,SL,PnL_pips,Risk_pips,ATR_at_Entry
2024-07-01 06:00:00+00:00,2024-07-01 06:01:00+00:00,SHORT,160.905,160.9065,160.744,160.9065,-0.14999999999929514,0.14999999999929514,0.0005
2024-07-01 09:00:00+00:00,2024-07-01 09:01:00+00:00,LONG,161.065,161.0635,161.172,161.0635,-0.14999999999929514,0.14999999999929514,0.0005
2024-07-01 10:00:00+00:00,2024-07-01 10:01:00+00:00,LONG,161.122,161.12050000000002,161.24,161.12050000000002,-0.14999999999929514,0.14999999999929514,0.0005
2024-07-01 11:00:00+00:00,2024-07-01 11:01:00+00:00,LONG,161.101,161.0995,161.231,161.0995,-0.14999999999929514,0.14999999999929514,0.0005
2024-07-01 12:00:00+00:00,2024-07-01 12:01:00+00:00,LONG,161.354,161.35250000000002,161.64600000000002,161.35250000000002,-0.14999999999929514,0.14999999999929514,0.0005
2024-07-01 14:00:00+00:00,2024-07-01 14:01:00+00:00,LONG,161.652,161.05564285714286,162.361,161.05564285714286,-59.63571428571299,59.63571428571299,0.19878571428571337
2024-07-02 04:00:00+00:00,2024-07-02 13:00:00+00:00,LONG,161.676,161.28321428571428,162.0687857142857,161.28321428571428,-39.278571428570785,39.278571428570785,0.13092857142857334
2024-07-03 06:00:00+00:00,2024-07-03 14:00:00+00:00,LONG,161.813,161.4365,162.18949999999998,161.4365,-37.649999999999295,37.649999999999295,0.1254999999999963
2024-08-02 13:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT,147.068,145.34085714285715,145.34085714285715,148.79514285714288,172.71428571428658,172.71428571428658,0.5757142857142838
2024-08-05 00:00:00+00:00,2024-08-05 04:00:00+00:00,SHORT_HALF,145.513,143.49785714285716,143.49785714285716,147.52814285714285,201.51428571428482,201.51428571428482,0.6717142857142855
2024-08-05 00:00:00+00:00,2024-08-05 04:00:00+00:00,SHORT,145.513,143.49785714285716,143.49785714285716,145.513,201.51428571428482,201.51428571428482,0.6717142857142855
2024-08-05 05:00:00+00:00,2024-08-05 16:00:00+00:00,SHORT,142.648,144.81614285714284,140.47985714285716,144.81614285714284,-216.81428571428398,216.81428571428398,0.7227142857142833
