time,sym,dir,ep,sl,tp,xp,result,half,pnl,equity,risk_pct,risk_changed,date,week
2026-03-02 00:00:00+00:00,USDJPY,1.0,156.638,156.09152857142857,158.0041785714286,156.638,win,True,15000.0,1015000.0,0.03,,03/02,W10
2026-03-02 01:00:00+00:00,USDCAD,-1.0,1.36534,1.3676374642857143,1.3596313392857144,1.3676374642857143,loss,False,-30583.11683242605,984416.883167574,0.03,,03/02,W10
2026-03-02 03:00:00+00:00,USDJPY,1.0,156.285,156.13130357142856,156.6692410714286,156.6692410714286,win,True,51681.88636629763,1036098.7695338716,0.03,,03/02,W10
2026-03-02 03:00:00+00:00,EURUSD,-1.0,1.17887,1.17971825,1.176749375,1.176749375,win,True,54395.18540053029,1090493.954934402,0.03,,03/02,W10
2026-03-02 03:00:00+00:00,GBPUSD,-1.0,1.3444699999999998,1.3458055714285715,1.341166071428571,1.341166071428571,win,True,57127.53370608019,1147621.488640482,0.03,,03/02,W10
2026-03-02 03:00:00+00:00,NZDUSD,-1.0,0.59865,0.5993727142857143,0.5970182142857143,0.5993727142857143,loss,False,-36987.5798112052,1110633.908829277,0.03,,03/02,W10
2026-03-02 04:00:00+00:00,USDJPY,1.0,156.318,156.12025,156.81237500000003,156.81237500000003,win,True,58308.280213535836,1168942.1890428127,0.03,,03/02,W10
2026-03-02 04:00:00+00:00,GBPUSD,-1.0,1.34476,1.345985,1.3417325,1.3417325,win,True,61225.15107424921,1230167.340117062,0.03,,03/02,W10
2026-03-02 05:01:00+00:00,GBPUSD,-1.0,1.34351,1.345979,1.3373725,1.3373725,win,True,64508.744648126725,1294676.0847651886,0.03,,03/02,W10
2026-03-02 06:00:00+00:00,EURUSD,-1.0,1.17664,1.1793185714285714,1.169943571428571,1.169943571428571,win,True,67970.4944501724,1362646.579215361,0.03,,03/02,W10
2026-03-02 08:00:00+00:00,USDJPY,1.0,156.986,156.7753035714286,157.51274107142848,156.986,win,True,20439.698688230415,1383086.2779035915,0.03,,03/02,W10
2026-03-02 09:00:00+00:00,XAUUSD,1.0,5394.161999999999,5380.015785714286,5429.345535714285,5380.015785714286,loss,False,-41645.673464790474,1341440.604438801,0.03,,03/02,W10
2026-03-02 10:00:00+00:00,XAUUSD,1.0,5392.1669999999995,5380.966160714286,5419.987098214284,5380.966160714286,loss,False,-40430.91904886323,1301009.6853899378,0.03,,03/02,W10
2026-03-02 12:00:00+00:00,USDJPY,1.0,156.963,156.75065714285714,157.49385714285714,157.49385714285714,win,True,68303.00848297174,1369312.6938729095,0.03,,03/02,W10
2026-03-02 12:00:00+00:00,EURUSD,-1.0,1.1733,1.1750492857142858,1.1689267857142855,1.1689267857142855,win,True,71888.91642832776,1441201.6103012373,0.03,,03/02,W10
2026-03-02 12:00:00+00:00,NZDUSD,-1.0,0.59587,0.5970106071428571,0.5931934821428572,0.5931934821428572,win,True,74671.98411129264,1515873.5944125298,0.03,,03/02,W10
2026-03-02 19:00:00+00:00,EURUSD,-1.0,1.16944,1.171155,1.1651525000000003,1.171155,loss,False,-45476.20783237589,1470397.3865801538,0.03,,03/02,W10
2026-03-02 21:00:00+00:00,EURUSD,-1.0,1.16902,1.1716869285714286,1.1623526785714282,1.1623526785714282,win,True,77195.86279545807,1547593.249375612,0.03,,03/02,W10
2026-03-03 04:00:00+00:00,USDJPY,1.0,157.282,157.14190357142857,157.6322410714286,157.282,win,True,23213.89874063418,1570807.148116246,0.03,,03/03,W10
2026-03-03 04:00:00+00:00,EURUSD,-1.0,1.16906,1.1701601428571429,1.1663096428571427,1.1663096428571427,win,True,82467.3752761053,1653274.5233923513,0.03,,03/03,W10
2026-03-03 04:00:00+00:00,GBPUSD,-1.0,1.3399299999999998,1.3416192857142857,1.3357417857142855,1.3357417857142855,win,True,86649.23589370259,1739923.759286054,0.03,,03/03,W10
2026-03-03 04:00:00+00:00,NZDUSD,-1.0,0.59445,0.5952122857142857,0.5927192857142858,0.5927192857142858,win,True,89513.94767614381,1829437.7069621978,0.03,,03/03,W10
2026-03-03 05:00:00+00:00,USDJPY,1.0,157.401,157.16401785714288,157.99345535714284,157.16401785714288,loss,False,-54883.13120886593,1774554.5757533319,0.03,,03/03,W10
2026-03-03 05:00:00+00:00,EURUSD,-1.0,1.16811,1.1700211785714285,1.1633320535714287,1.1633320535714287,win,True,93164.1152270499,1867718.6909803818,0.03,,03/03,W10
2026-03-03 05:00:00+00:00,NZDUSD,-1.0,0.59369,0.5951928571428571,0.5901078571428575,0.5901078571428575,win,True,97091.0697103287,1964809.7606907105,0.03,,03/03,W10
2026-03-03 08:00:00+00:00,EURUSD,-1.0,1.16439,1.1674017142857143,1.1568607142857146,1.1568607142857146,win,True,103152.51243626121,2067962.2731269717,0.03,,03/03,W10
2026-03-03 08:00:00+00:00,GBPUSD,-1.0,1.33357,1.3369783214285713,1.3250841964285716,1.33357,win,True,31019.43409690457,2098981.7072238764,0.03,,03/03,W10
2026-03-03 08:00:00+00:00,NZDUSD,-1.0,0.59104,0.5934075357142856,0.5852961607142859,0.5852961607142859,win,True,109517.26799140466,2208498.975215281,0.03,,03/03,W10
