entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl
2026-01-01 22:05:00,SHORT,1.56629,1.5637900000000002,1.56679,2026-01-01 22:20:00,1.56539,0.0008799999999999008
2026-01-01 22:30:00,SHORT,1.56645,1.5639500000000002,1.5669499999999998,2026-01-01 22:45:00,1.56619,0.00023999999999992696
2026-01-01 23:12:00,SHORT,1.56855,1.5660500000000004,1.56905,2026-01-01 23:27:00,1.56826,0.0002700000000001235
2026-01-01 23:46:00,SHORT,1.56816,1.5656600000000003,1.56866,2026-01-02 00:01:00,1.5674,0.0007400000000000939
2026-01-02 00:00:00,SHORT,1.56743,1.5649300000000004,1.56793,2026-01-02 00:15:00,1.5672,0.0002100000000001745
2026-01-02 07:37:00,LONG,1.56856,1.5712885714285707,1.5680142857142858,2026-01-02 07:52:00,1.56842,-0.000160000000000029
2026-01-02 08:02:00,LONG,1.56892,1.5721128571428575,1.5682814285714286,2026-01-02 08:02:00,1.5682814285714286,-0.0006585714285714884
2026-01-02 08:15:00,LONG,1.56955,1.5728214285714286,1.5688957142857143,2026-01-02 08:30:00,1.56944,-0.0001300000000000545
2026-01-02 09:20:00,LONG,1.56786,1.5714135714285717,1.5671492857142857,2026-01-02 09:35:00,1.56831,0.00043000000000006146
2026-01-02 10:22:00,LONG,1.56836,1.5724385714285718,1.5675442857142856,2026-01-02 10:37:00,1.56855,0.0001700000000001345
2026-01-02 13:33:00,SHORT,1.56919,1.5658685714285712,1.5698542857142859,2026-01-02 13:48:00,1.56881,0.00036000000000004697
2026-01-02 13:57:00,SHORT,1.56934,1.5661078571428575,1.5699864285714284,2026-01-02 14:12:00,1.56868,0.0006399999999998829
2026-01-02 15:00:00,SHORT,1.56862,1.5645378571428574,1.5694364285714284,2026-01-02 15:15:00,1.56742,0.0011799999999998678
2026-01-02 15:31:00,SHORT,1.56725,1.5629250000000006,1.568115,2026-01-02 15:46:00,1.56684,0.00039000000000002146
2026-01-02 21:59:00,LONG,1.5684,1.5709571428571425,1.5678885714285715,2026-01-02 22:14:00,,
2026-01-04 22:55:00,LONG,1.56741,1.5703171428571425,1.5668285714285715,2026-01-04 23:10:00,1.56769,0.000260000000000058
2026-01-04 23:46:00,LONG,1.56932,1.5732557142857144,1.5685328571428572,2026-01-05 00:01:00,1.57052,0.0011799999999998678
2026-01-05 00:00:00,LONG,1.56961,1.5740957142857146,1.568712857142857,2026-01-05 00:15:00,1.5715,0.0018699999999999472
2026-01-05 00:25:00,LONG,1.57093,1.5756549999999998,1.569985,2026-01-05 00:40:00,1.57185,0.0009000000000000319
2026-01-05 01:15:00,LONG,1.57063,1.576201428571428,1.5695157142857143,2026-01-05 01:30:00,1.5716,0.0009500000000001374
2026-01-05 01:45:00,LONG,1.56972,1.5758128571428576,1.5685014285714285,2026-01-05 02:00:00,1.57027,0.0005300000000000504
2026-01-05 07:38:00,LONG,1.57001,1.5736171428571426,1.5692885714285714,2026-01-05 07:53:00,1.57035,0.00032000000000000697
2026-01-05 08:01:00,SHORT,1.57006,1.566024285714286,1.5708671428571428,2026-01-05 08:16:00,1.56915,0.0008899999999999663
2026-01-05 13:08:00,SHORT,1.56824,1.5630792857142854,1.569272142857143,2026-01-05 13:23:00,1.56831,-9.00000000000145e-05
2026-01-05 14:37:00,SHORT,1.56831,1.5626528571428573,1.5694414285714287,2026-01-05 14:52:00,1.5672,0.0010900000000001664
2026-01-05 15:50:00,SHORT,1.56624,1.5592328571428573,1.5676414285714286,2026-01-05 16:05:00,1.56552,0.0007000000000000539
2026-01-05 18:50:00,SHORT,1.56235,1.5573785714285713,1.5633442857142856,2026-01-05 19:05:00,1.56137,0.0009599999999999808
2026-01-05 23:01:00,SHORT,1.56538,1.5619871428571424,1.5660585714285715,2026-01-05 23:16:00,1.56515,0.00020999999999995247
2026-01-06 00:48:00,SHORT,1.56761,1.5630850000000003,1.5685149999999999,2026-01-06 01:03:00,1.56578,0.0018099999999999982
2026-01-06 01:21:00,SHORT,1.56688,1.5616621428571427,1.5679235714285715,2026-01-06 01:36:00,1.56564,0.0012200000000001298
2026-01-06 08:01:00,SHORT,1.56383,1.5589407142857143,1.5648078571428572,2026-01-06 08:16:00,1.56246,0.0013500000000000933
2026-01-06 09:34:00,SHORT,1.56446,1.558981428571429,1.5655557142857142,2026-01-06 09:49:00,1.56374,0.0007000000000000539
2026-01-06 13:03:00,SHORT,1.56553,1.5609514285714283,1.5664457142857144,2026-01-06 13:18:00,1.56434,0.0011700000000000243
2026-01-06 13:46:00,SHORT,1.56405,1.559460714285714,1.5649678571428571,2026-01-06 14:01:00,1.56318,0.0008499999999999263
2026-01-06 21:18:00,LONG,1.56635,1.5686714285714278,1.5658857142857143,2026-01-06 21:33:00,1.56672,0.00034999999999998146
2026-01-06 22:00:00,LONG,1.56582,1.5682378571428568,1.5653364285714286,2026-01-06 22:15:00,,
2026-01-06 23:48:00,LONG,1.56646,1.5689492857142855,1.5659621428571429,2026-01-07 00:03:00,1.56746,0.0009800000000001119
