EntryTime,ExitTime,Position,EntryPrice,ExitPrice,PnL_pips,Risk_pips,Type
2024-07-01 14:00:00+00:00,2024-07-01 14:01:00+00:00,LONG_HALF,161.336,161.44005714285717,10.405714285715817,10.405714285715817,HALF_TP
2024-07-01 14:00:00+00:00,2024-07-01 14:01:00+00:00,LONG,161.336,161.336,0.0,10.405714285715817,SL
2024-07-01 15:00:00+00:00,2024-07-03 14:00:00+00:00,LONG,161.652,160.91724285714284,-73.47571428571484,73.47571428571484,SL
2024-07-03 15:00:00+00:00,2024-08-01 00:00:00+00:00,LONG,161.329,160.72174285714286,-60.72571428571507,60.72571428571507,SL
2024-08-01 16:00:00+00:00,2024-08-01 16:01:00+00:00,SHORT_HALF,150.058,149.79894285714283,25.90571428571593,25.90571428571593,HALF_TP
2024-08-01 16:00:00+00:00,2024-08-01 16:01:00+00:00,SHORT,150.058,150.058,-0.0,25.90571428571593,SL
2024-08-01 22:00:00+00:00,2024-08-01 22:01:00+00:00,SHORT_HALF,149.306,149.03054285714288,27.54571428571353,27.54571428571353,HALF_TP
2024-08-01 22:00:00+00:00,2024-08-01 22:01:00+00:00,SHORT,149.306,149.306,-0.0,27.54571428571353,SL
2024-08-01 23:00:00+00:00,2024-08-01 23:01:00+00:00,SHORT_HALF,149.307,149.0900857142857,21.691428571429583,21.691428571429583,HALF_TP
2024-08-01 23:00:00+00:00,2024-08-01 23:01:00+00:00,SHORT,149.307,149.307,-0.0,21.691428571429583,SL
2024-08-02 02:00:00+00:00,2024-08-02 05:00:00+00:00,SHORT_HALF,149.491,149.12735714285716,36.36428571428496,36.36428571428496,HALF_TP
2024-08-02 02:00:00+00:00,2024-08-02 12:00:00+00:00,SHORT,149.491,147.6607857142857,183.02142857143053,36.36428571428496,TP
2024-08-02 14:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT_HALF,147.055,145.83685714285718,121.81428571428228,121.81428571428228,HALF_TP
