entry_time,exit_time,dir,tf,ep,sl,tp,exit_price,result,half_done,pnl_pips,win
2025-01-06 04:00:00,2025-01-06 11:04:00,LONG,1h,162.5515,162.2634642857143,163.24708928571425,163.24708928571425,TP,True,48.83,True
2025-01-06 10:00:00,2025-01-06 13:14:00,LONG,1h,162.83100000000002,162.46280357142857,163.72699107142864,163.72699107142864,TP,True,62.86,True
2025-01-06 12:00:00,2025-01-07 22:00:00,LONG,4h,163.35700000000003,162.40260535714287,165.7184866071429,163.35700000000003,SL,True,47.37,True
2025-01-06 22:00:00,2025-01-07 02:52:00,LONG,1h,163.6735,163.42920178571427,164.25974553571427,164.25974553571427,TP,True,41.18,True
2025-01-07 00:00:00,2025-01-07 02:45:00,LONG,1h,163.74900000000002,163.57197857142856,164.16705357142865,164.16705357142865,TP,True,29.4,True
2025-01-07 01:00:00,2025-01-07 02:28:00,LONG,1h,163.78650000000002,163.65694107142858,164.0858973214286,164.0858973214286,TP,True,21.1,True
2025-01-07 02:00:00,2025-01-07 02:28:00,LONG,1h,163.7975,163.6538767857143,164.1320580357143,164.1320580357143,TP,True,23.56,True
2025-01-07 03:00:00,2025-01-07 17:48:00,LONG,1h,164.19150000000002,163.69680535714286,165.4037366071429,163.69680535714286,SL,False,-49.47,False
2025-01-08 01:00:00,2025-01-08 02:28:00,LONG,1h,163.4635,163.2635232142857,163.9389419642858,163.4635,SL,True,9.65,True
2025-01-08 02:00:00,2025-01-08 09:09:00,LONG,1h,163.636,163.34687857142853,164.33430357142862,163.34687857142853,SL,False,-28.91,False
2025-01-08 03:00:00,2025-01-08 09:12:00,LONG,1h,163.66000000000003,163.3403125,164.43471875000006,163.3403125,SL,False,-31.97,False
2025-01-08 04:00:00,2025-01-08 12:13:00,LONG,4h,163.553,163.1198964285714,164.6112589285715,163.1198964285714,SL,False,-43.31,False
2025-01-08 05:00:00,2025-01-08 09:01:00,LONG,1h,163.712,163.4322767857143,164.3868080357142,163.4322767857143,SL,False,-27.97,False
2025-01-08 07:00:00,2025-01-08 08:36:00,LONG,1h,163.793,163.62572321428573,164.18669196428567,163.62572321428573,SL,False,-16.73,False
2025-01-08 09:00:00,2025-01-08 13:33:00,SHORT,1h,163.6025,163.83997142857143,163.0333214285714,163.0333214285714,TP,True,39.98,True
2025-01-08 12:00:00,2025-01-10 18:02:00,SHORT,4h,163.2115,163.9088642857143,161.4925892857143,161.4925892857143,TP,True,120.46,True
2025-01-08 14:00:00,2025-01-08 20:41:00,SHORT,1h,163.0855,163.4317,162.2445,163.4317,SL,False,-34.62,False
2025-01-08 20:00:00,2025-01-09 06:03:00,LONG,4h,163.239,162.75979107142857,164.41252232142858,162.75979107142857,SL,False,-47.92,False
2025-01-08 21:00:00,2025-01-09 02:05:00,LONG,1h,163.45800000000003,163.09635357142858,164.3376160714286,163.09635357142858,SL,False,-36.16,False
2025-01-08 23:00:00,2025-01-09 01:30:00,LONG,1h,163.37900000000002,163.2730625,163.61934375000004,163.2730625,SL,False,-10.59,False
2025-01-09 01:00:00,2025-01-09 02:05:00,SHORT,1h,163.3555,163.47319821428573,163.0857544642857,163.0857544642857,TP,True,19.02,True
2025-01-09 02:00:00,2025-01-09 14:41:00,SHORT,1h,163.151,163.4675821428571,162.38404464285728,162.38404464285728,TP,True,53.83,True
2025-01-09 04:00:00,2025-01-10 06:53:00,SHORT,4h,163.07999999999998,163.58709999999996,161.83675000000005,163.07999999999998,SL,True,25.0,True
2025-01-13 01:00:00,2025-01-13 01:56:00,SHORT,1h,161.601,161.7333464285714,161.29463392857153,161.7333464285714,SL,False,-13.23,False
2025-01-13 03:00:00,2025-01-13 05:37:00,SHORT,1h,161.609,161.83938214285715,161.05754464285718,161.05754464285718,TP,True,38.74,True
2025-01-13 04:00:00,2025-01-13 23:48:00,SHORT,4h,161.24849999999998,161.87259642857143,159.71275892857136,161.24849999999998,SL,True,30.85,True
2025-01-13 08:00:00,2025-01-13 08:10:00,SHORT,1h,160.857,161.00216607142858,160.5185848214286,161.00216607142858,SL,False,-14.52,False
2025-01-13 10:00:00,2025-01-13 10:11:00,SHORT,1h,160.848,161.09911964285712,160.24470089285728,161.09911964285712,SL,False,-25.11,False
2025-01-14 08:00:00,2025-01-14 11:15:00,LONG,1h,161.45100000000002,161.22995535714287,161.9791116071429,161.9791116071429,TP,True,37.11,True
2025-01-14 10:00:00,2025-01-14 11:16:00,LONG,1h,161.5405,161.31784642857144,162.0726339285714,162.0726339285714,TP,True,37.39,True
2025-01-14 11:00:00,2025-01-15 09:05:00,LONG,1h,161.828,161.3167,163.08175,161.828,SL,True,25.22,True
2025-01-14 13:00:00,2025-01-14 16:27:00,SHORT,1h,161.9305,162.19054285714284,161.30489285714287,161.9305,SL,True,12.65,True
2025-01-14 15:00:00,2025-01-14 17:04:00,SHORT,1h,161.7765,162.12116071428574,160.93934821428567,162.12116071428574,SL,False,-34.47,False
2025-01-14 20:00:00,2025-01-15 16:08:00,LONG,4h,162.698,161.46865357142858,165.74686607142857,161.46865357142858,SL,False,-122.93,False
2025-01-14 23:00:00,2025-01-15 06:21:00,LONG,1h,162.7605,162.5358357142857,163.29766071428577,162.5358357142857,SL,False,-22.47,False
2025-01-15 04:00:00,2025-01-15 09:07:00,SHORT,4h,162.636,163.0000785714286,161.75030357142853,161.75030357142853,TP,True,62.14,True
2025-01-15 07:00:00,2025-01-15 16:07:00,SHORT,1h,162.36599999999999,162.7317392857143,161.47615178571422,161.47615178571422,TP,True,62.43,True
2025-01-15 08:00:00,2025-01-20 15:33:00,SHORT,4h,161.9315,162.99883035714288,159.28767410714283,161.9315,SL,True,53.02,True
2025-01-15 22:00:00,2025-01-16 02:30:00,SHORT,1h,161.04899999999998,161.16488035714286,160.78379910714278,161.04899999999998,SL,True,5.44,True
2025-01-16 00:00:00,2025-01-16 02:28:00,SHORT,1h,160.9895,161.16163392857146,160.58366517857132,160.9895,SL,True,8.26,True
2025-01-16 02:00:00,2025-01-16 02:30:00,SHORT,1h,160.826,161.04410535714285,160.30523660714286,161.04410535714285,SL,False,-21.81,False
2025-01-16 04:00:00,2025-01-20 12:16:00,SHORT,4h,160.052,161.2225392857143,157.15015178571423,161.2225392857143,SL,False,-117.05,False
2025-01-16 11:00:00,2025-01-16 15:30:00,SHORT,1h,160.50849999999994,160.93290357142857,159.4719910714284,160.50849999999994,SL,True,20.87,True
2025-01-16 16:00:00,2025-01-17 10:54:00,SHORT,1h,160.29199999999997,160.57992678571426,159.59668303571425,160.29199999999997,SL,True,14.05,True
2025-01-16 18:00:00,2025-01-17 16:42:00,SHORT,1h,160.0955,160.6068982142857,158.84150446428572,160.6068982142857,SL,False,-51.14,False
2025-01-16 20:00:00,2025-01-17 16:42:00,SHORT,4h,159.8705,160.65525714285712,157.93310714285718,160.65525714285712,SL,False,-78.48,False
2025-01-16 22:00:00,2025-01-17 01:16:00,SHORT,1h,159.9735,160.10445714285714,159.67060714285716,159.9735,SL,True,6.2,True
2025-01-16 23:00:00,2025-01-17 02:04:00,SHORT,1h,159.859,160.10252857142856,159.27467857142864,160.10252857142856,SL,False,-24.35,False
2025-01-17 14:00:00,2025-01-17 15:25:00,SHORT,1h,160.43200000000002,160.57595357142858,160.09661607142863,160.09661607142863,TP,True,23.62,True
2025-01-17 15:00:00,2025-01-17 16:30:00,SHORT,1h,160.2775,160.57581071428572,159.55622321428572,160.2775,SL,True,14.57,True
2025-01-17 16:00:00,2025-01-17 16:42:00,SHORT,4h,160.19799999999998,160.62946607142857,159.14383482142853,160.62946607142857,SL,False,-43.15,False
2025-01-17 23:00:00,2025-01-17 23:58:00,SHORT,1h,160.4445,160.63487321428573,159.9930669642857,160.63487321428573,SL,False,-19.04,False
2025-01-20 03:00:00,2025-01-20 08:29:00,SHORT,1h,160.4475,160.8557839285714,159.45129017857147,160.8557839285714,SL,False,-40.83,False
2025-01-20 06:00:00,2025-01-20 08:32:00,LONG,1h,160.51749999999998,160.36929464285714,160.86351339285707,160.86351339285707,TP,True,24.36,True
2025-01-20 08:00:00,2025-01-20 17:04:00,LONG,4h,160.792,160.23443392857143,162.16141517857142,162.16141517857142,TP,True,96.0,True
2025-01-20 11:00:00,2025-01-20 13:11:00,LONG,1h,161.00150000000002,160.81442142857145,161.44469642857143,161.44469642857143,TP,True,31.16,True
2025-01-20 22:00:00,2025-01-21 01:51:00,LONG,1h,162.19600000000003,161.75611607142858,163.2712098214286,161.75611607142858,SL,False,-43.99,False
2025-01-21 08:00:00,2025-01-21 10:40:00,LONG,1h,161.20600000000002,161.0106035714286,161.66999107142857,161.20600000000002,SL,True,9.42,True
2025-01-21 10:00:00,2025-01-22 05:44:00,LONG,1h,161.503,161.14180714285715,162.38148214285707,162.38148214285707,TP,True,61.63,True
2025-01-21 16:00:00,2025-01-21 18:22:00,LONG,1h,161.3725,161.19939107142858,161.78077232142854,161.78077232142854,TP,True,28.72,True
2025-01-21 17:00:00,2025-01-22 11:59:00,LONG,1h,161.614,161.20436785714287,162.61358035714284,162.61358035714284,TP,True,70.11,True
2025-01-21 20:00:00,2025-01-24 06:16:00,LONG,4h,162.137,161.15193035714287,164.5751741071428,162.137,SL,True,48.9,True
2025-01-21 21:00:00,2025-01-21 22:53:00,LONG,1h,162.19050000000001,162.01972678571428,162.59293303571434,162.01972678571428,SL,False,-17.08,False
2025-01-22 04:00:00,2025-01-22 10:36:00,LONG,1h,162.072,161.8582125,162.58196875,162.072,SL,True,10.34,True
2025-01-22 08:00:00,2025-01-23 18:11:00,LONG,4h,162.31900000000002,161.78913035714285,163.6191741071429,162.31900000000002,SL,True,26.14,True
2025-01-22 20:00:00,2025-01-23 18:00:00,LONG,4h,163.159,162.349375,165.15856249999993,162.349375,SL,False,-80.96,False
2025-01-23 04:00:00,2025-01-23 08:44:00,LONG,1h,162.8795,162.69416428571427,163.31833928571433,162.8795,SL,True,8.92,True
2025-01-23 08:00:00,2025-01-23 10:40:00,LONG,4h,163.0635,162.65793928571426,164.05290178571434,162.65793928571426,SL,False,-40.56,False
2025-01-24 02:00:00,2025-01-24 05:24:00,LONG,1h,162.639,162.4184107142857,163.16597321428577,163.16597321428577,TP,True,37.03,True
2025-01-24 04:00:00,2025-01-24 06:03:00,LONG,4h,162.822,162.29040714285716,164.12648214285707,162.29040714285716,SL,False,-53.16,False
2025-01-24 17:00:00,2025-01-27 00:00:00,LONG,1h,164.0295,163.48093928571427,165.37640178571434,163.48093928571427,SL,False,-54.86,False
2025-01-27 02:00:00,2025-01-27 08:14:00,SHORT,1h,162.995,163.41746964285713,161.9633258928572,163.41746964285713,SL,False,-42.25,False
2025-01-27 05:00:00,2025-01-27 09:08:00,LONG,1h,162.899,162.56462857142856,163.7104285714286,162.899,SL,True,16.37,True
2025-01-27 12:00:00,2025-02-03 00:00:00,SHORT,4h,162.152,163.5677660714286,158.6370848214285,158.6370848214285,TP,True,246.18,True
2025-01-27 18:00:00,2025-01-28 02:33:00,SHORT,1h,162.041,162.44355535714286,161.05911160714288,162.041,SL,True,19.78,True
2025-01-27 20:00:00,2025-01-28 03:26:00,SHORT,4h,161.82999999999998,162.52386249999998,160.11984375000003,162.52386249999998,SL,False,-69.39,False
2025-01-28 08:00:00,2025-01-28 11:15:00,SHORT,1h,162.49149999999997,162.723275,161.93656249999992,162.49149999999997,SL,True,11.24,True
2025-01-28 11:00:00,2025-01-28 17:23:00,SHORT,1h,162.35,162.75406428571426,161.36433928571432,162.35,SL,True,19.85,True
2025-01-28 12:00:00,2025-01-30 11:10:00,SHORT,4h,162.20850000000002,162.82010178571426,160.70399553571443,160.70399553571443,TP,True,105.46,True
2025-01-28 20:00:00,2025-01-29 09:42:00,SHORT,1h,162.2625,162.4925642857143,161.7118392857142,161.7118392857142,TP,True,38.69,True
2025-01-28 22:00:00,2025-01-29 02:19:00,SHORT,1h,162.297,162.4197392857143,162.0146517857143,162.297,SL,True,5.79,True
2025-01-28 23:00:00,2025-01-29 03:05:00,SHORT,1h,162.2285,162.41866785714285,161.77758035714288,162.41866785714285,SL,False,-19.02,False
2025-01-29 00:00:00,2025-01-29 15:10:00,SHORT,4h,162.22449999999998,162.54793571428573,161.44041071428563,161.44041071428563,TP,True,55.03,True
2025-01-29 08:00:00,2025-01-31 03:27:00,SHORT,4h,161.839,162.5858714285714,159.9963214285715,159.9963214285715,TP,True,129.13,True
2025-01-30 01:00:00,2025-01-30 02:40:00,SHORT,1h,161.7305,161.8392142857143,161.48321428571433,161.48321428571433,TP,True,17.45,True
