entry_time,direction,entry_price,tp,sl,status,exit_time,exit_price,pnl
2026-01-02 08:17:00,LONG,1.57957,1.569870857142857,1.5692691428571428,CLOSED,2026-01-02 08:19:00,1.56988,-96.89999999999976
2026-01-02 09:15:00,LONG,1.57837,1.569212142857143,1.567527857142857,CLOSED,2026-01-02 10:00:00,1.56922,-91.49999999999991
2026-01-02 10:00:00,LONG,1.57922,1.5696814285714287,1.5687585714285714,CLOSED,2026-01-02 10:17:00,1.56871,-105.1000000000002
2026-01-02 10:16:00,LONG,1.5791600000000001,1.5704631428571432,1.567856857142857,CLOSED,2026-01-02 15:04:00,1.56744,-117.20000000000175
2026-01-02 10:32:00,LONG,1.57837,1.568658142857143,1.5680818571428572,CLOSED,2026-01-02 10:40:00,1.56871,-96.60000000000002
2026-01-02 10:48:00,LONG,1.57864,1.5692982857142856,1.5679817142857144,CLOSED,2026-01-02 11:48:00,1.56933,-93.10000000000151
2026-01-02 11:03:00,LONG,1.57835,1.5686258571428568,1.568074142857143,CLOSED,2026-01-02 11:11:00,1.56864,-97.09999999999886
2026-01-02 11:45:00,LONG,1.57926,1.5695670000000002,1.568953,CLOSED,2026-01-02 12:07:00,1.56886,-104.00000000000188
2026-01-04 22:17:00,LONG,1.57768,1.5681014285714285,1.5672585714285714,CLOSED,2026-01-04 23:02:00,1.56838,-92.99999999999864
2026-01-04 22:51:00,LONG,1.57741,1.5678762857142858,1.566943714285714,CLOSED,2026-01-04 23:01:00,1.56803,-93.79999999999944
2026-01-04 23:47:00,LONG,1.57954,1.5700974285714284,1.5689825714285714,CLOSED,2026-01-05 00:01:00,1.57052,-90.20000000000027
2026-01-05 00:05:00,LONG,1.58033,1.5716594285714285,1.5690005714285715,CLOSED,2026-01-05 00:36:00,1.57169,-86.3999999999998
2026-01-05 00:22:00,LONG,1.5812,1.571929,1.570471,CLOSED,2026-01-05 00:41:00,1.57197,-92.29999999999849
2026-01-05 00:45:00,LONG,1.5821,1.5731965714285716,1.5710034285714285,CLOSED,2026-01-05 01:10:00,1.57089,-112.10000000000164
2026-01-05 01:16:00,LONG,1.58063,1.571222857142857,1.570037142857143,CLOSED,2026-01-05 01:26:00,1.57139,-92.39999999999915
2026-01-05 01:47:00,LONG,1.57976,1.5703737142857144,1.5691462857142857,CLOSED,2026-01-05 01:53:00,1.57053,-92.30000000000072
2026-01-05 02:46:00,LONG,1.58162,1.5723295714285717,1.5709104285714284,CLOSED,2026-01-05 04:00:00,1.57244,-91.79999999999966
