time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.63299999999998,161.28139285714286,162.51201785714278,0.35160714285711947,4h,double_bottom,2024-07-03 04:00:00+00:00,False,2024-07-03 11:00:00+00:00,161.9846071428571,35.16071428571195,HALF_TP
2024-07-03 04:00:00+00:00,1,161.63299999999998,161.63299999999998,162.51201785714278,0.35160714285711947,4h,double_bottom,2024-07-03 04:00:00+00:00,True,2024-07-03 13:00:00+00:00,161.63299999999998,0.0,SL
2024-07-03 19:00:00+00:00,1,161.664,161.3985357142857,162.32766071428568,0.2654642857142733,1h,double_bottom,2024-07-03 19:00:00+00:00,False,2024-07-04 00:00:00+00:00,161.3985357142857,-26.546428571427327,SL
2024-07-04 05:00:00+00:00,-1,161.491,161.61001785714285,161.1934553571429,0.11901785714283619,1h,double_top,2024-07-04 05:00:00+00:00,False,2024-07-04 06:00:00+00:00,161.37198214285718,11.90178571428362,HALF_TP
2024-07-04 05:00:00+00:00,-1,161.491,161.491,161.1934553571429,0.11901785714283619,1h,double_top,2024-07-04 05:00:00+00:00,True,2024-07-04 08:00:00+00:00,161.1934553571429,29.75446428571047,TP
2024-07-04 11:00:00+00:00,-1,161.053,161.34755357142856,160.3166160714286,0.2945535714285654,1h,double_top,2024-07-04 11:00:00+00:00,False,2024-08-01 00:00:00+00:00,160.75844642857143,29.455357142856542,HALF_TP
2024-07-04 11:00:00+00:00,-1,161.053,161.053,160.3166160714286,0.2945535714285654,1h,double_top,2024-07-04 11:00:00+00:00,True,2024-08-01 00:00:00+00:00,160.3166160714286,73.63839285713993,TP
2024-08-01 04:00:00+00:00,-1,149.553,149.92648214285714,148.61929464285714,0.3734821428571422,1h,double_top,2024-08-01 04:00:00+00:00,False,2024-08-01 05:00:00+00:00,149.92648214285714,-37.34821428571422,SL
2024-08-01 08:00:00+00:00,-1,149.85500000000002,150.47376785714286,148.3080803571429,0.6187678571428421,1h,double_top,2024-08-01 08:00:00+00:00,False,2024-08-01 11:00:00+00:00,150.47376785714286,-61.87678571428421,SL
2024-08-01 14:00:00+00:00,-1,150.524,151.02498214285714,149.27154464285715,0.5009821428571399,1h,double_top,2024-08-01 14:00:00+00:00,False,2024-08-01 14:01:00+00:00,150.02301785714286,50.09821428571399,HALF_TP
2024-08-01 14:00:00+00:00,-1,150.524,150.524,149.27154464285715,0.5009821428571399,1h,double_top,2024-08-01 14:00:00+00:00,True,2024-08-01 14:01:00+00:00,150.524,-0.0,SL
2024-08-01 16:00:00+00:00,-1,150.054,151.24919642857142,147.06600892857145,1.1951964285714212,4h,double_top,2024-08-01 16:00:00+00:00,False,2024-08-02 06:00:00+00:00,148.85880357142858,119.51964285714212,HALF_TP
2024-08-01 16:00:00+00:00,-1,150.054,150.054,147.06600892857145,1.1951964285714212,4h,double_top,2024-08-01 16:00:00+00:00,True,2024-08-02 12:00:00+00:00,147.06600892857145,298.7991071428553,TP
2024-08-02 13:00:00+00:00,-1,147.43200000000002,149.2599285714286,142.8621785714286,1.827928571428572,1h,double_top,2024-08-02 13:00:00+00:00,False,2024-08-04 23:00:00+00:00,145.60407142857144,182.7928571428572,HALF_TP
2024-08-02 13:00:00+00:00,-1,147.43200000000002,147.43200000000002,142.8621785714286,1.827928571428572,1h,double_top,2024-08-02 13:00:00+00:00,True,2024-08-05 04:00:00+00:00,142.8621785714286,456.982142857143,TP
2024-08-05 18:00:00+00:00,-1,144.008,145.14067857142857,141.1763035714286,1.1326785714285563,1h,double_top,2024-08-05 18:00:00+00:00,False,2024-08-05 23:00:00+00:00,145.14067857142857,-113.26785714285563,SL
2024-08-06 07:00:00+00:00,-1,145.62900000000002,146.49849999999998,143.45525000000012,0.8694999999999595,1h,double_top,2024-08-06 07:00:00+00:00,False,2024-08-06 08:00:00+00:00,144.75950000000006,86.94999999999595,HALF_TP
2024-08-06 07:00:00+00:00,-1,145.62900000000002,145.62900000000002,143.45525000000012,0.8694999999999595,1h,double_top,2024-08-06 07:00:00+00:00,True,2024-09-01 21:00:00+00:00,145.62900000000002,-0.0,SL
2024-09-02 01:00:00+00:00,-1,146.186,146.66583928571427,144.98640178571435,0.47983928571426304,1h,double_top,2024-09-02 01:00:00+00:00,False,2024-09-02 08:00:00+00:00,146.66583928571427,-47.983928571426304,SL
2024-09-02 13:00:00+00:00,-1,146.97400000000002,147.053625,146.77493750000002,0.07962499999999295,1h,double_top,2024-09-02 13:00:00+00:00,False,2024-09-02 13:01:00+00:00,146.89437500000003,7.962499999999295,HALF_TP
2024-09-02 13:00:00+00:00,-1,146.97400000000002,146.97400000000002,146.77493750000002,0.07962499999999295,1h,double_top,2024-09-02 13:00:00+00:00,True,2024-09-02 13:01:00+00:00,146.97400000000002,-0.0,SL
2024-09-02 16:00:00+00:00,-1,146.94400000000002,147.5110535714286,145.52636607142858,0.5670535714285734,4h,double_top,2024-09-02 16:00:00+00:00,False,2024-09-03 05:00:00+00:00,146.37694642857144,56.70535714285734,HALF_TP
2024-09-02 16:00:00+00:00,-1,146.94400000000002,146.94400000000002,145.52636607142858,0.5670535714285734,4h,double_top,2024-09-02 16:00:00+00:00,True,2024-09-03 13:00:00+00:00,145.52636607142858,141.76339285714334,TP
2024-09-03 16:00:00+00:00,-1,145.815,146.47182142857142,144.17294642857144,0.6568214285714191,4h,double_top,2024-09-03 16:00:00+00:00,False,2024-09-03 23:00:00+00:00,145.15817857142858,65.68214285714191,HALF_TP
