time,sym,dir,ep,sl,tp,xp,result,half,pnl,date,week
2026-03-02 00:00:00+00:00,USDJPY,1.0,156.638,156.09152857142857,158.0041785714286,156.638,win,True,10000.0,03/02,W10
2026-03-02 01:00:00+00:00,USDCAD,-1.0,1.36534,1.3676374642857143,1.3596313392857144,1.3676374642857143,loss,False,-20087.43305906473,03/02,W10
2026-03-02 03:00:00+00:00,USDJPY,1.0,156.285,156.13130357142856,156.6692410714286,156.6692410714286,win,True,35000.0,03/02,W10
2026-03-02 03:00:00+00:00,EURUSD,-1.0,1.17887,1.17971825,1.176749375,1.176749375,win,True,35000.0000000013,03/02,W10
2026-03-02 03:00:00+00:00,GBPUSD,-1.0,1.3444699999999998,1.3458055714285715,1.341166071428571,1.341166071428571,win,True,34924.56083629653,03/02,W10
2026-03-02 03:00:00+00:00,NZDUSD,-1.0,0.59865,0.5993727142857143,0.5970182142857143,0.5993727142857143,loss,False,-21486.515183690724,03/02,W10
2026-03-02 04:00:00+00:00,USDJPY,1.0,156.318,156.12025,156.81237500000003,156.81237500000003,win,True,34999.99999999928,03/02,W10
2026-03-02 04:00:00+00:00,GBPUSD,-1.0,1.34476,1.345985,1.3417325,1.3417325,win,True,34917.6954732514,03/02,W10
2026-03-02 05:01:00+00:00,GBPUSD,-1.0,1.34351,1.345979,1.3373725,1.3373725,win,True,34959.33306222015,03/02,W10
2026-03-02 06:00:00+00:00,EURUSD,-1.0,1.17664,1.1793185714285714,1.169943571428571,1.169943571428571,win,True,35000.0,03/02,W10
2026-03-02 08:00:00+00:00,USDJPY,1.0,156.986,156.7753035714286,157.51274107142848,156.986,win,True,10000.0,03/02,W10
2026-03-02 09:00:00+00:00,XAUUSD,1.0,5394.161999999999,5380.015785714286,5429.345535714285,5380.015785714286,loss,False,-20073.789143467737,03/02,W10
2026-03-02 10:00:00+00:00,XAUUSD,1.0,5392.1669999999995,5380.966160714286,5419.987098214284,5380.966160714286,loss,False,-20093.28325338103,03/02,W10
2026-03-02 12:00:00+00:00,USDJPY,1.0,156.963,156.75065714285714,157.49385714285714,157.49385714285714,win,True,35000.0,03/02,W10
2026-03-02 12:00:00+00:00,EURUSD,-1.0,1.1733,1.1750492857142858,1.1689267857142855,1.1689267857142855,win,True,35000.0,03/02,W10
2026-03-02 12:00:00+00:00,NZDUSD,-1.0,0.59587,0.5970106071428571,0.5931934821428572,0.5931934821428572,win,True,34541.53977142488,03/02,W10
2026-03-02 19:00:00+00:00,EURUSD,-1.0,1.16944,1.171155,1.1651525000000003,1.171155,loss,False,-20000.0,03/02,W10
2026-03-02 21:00:00+00:00,EURUSD,-1.0,1.16902,1.1716869285714286,1.1623526785714282,1.1623526785714282,win,True,35000.0,03/02,W10
2026-03-03 04:00:00+00:00,USDJPY,1.0,157.282,157.14190357142857,157.6322410714286,157.282,win,True,10000.0,03/03,W10
2026-03-03 04:00:00+00:00,EURUSD,-1.0,1.16906,1.1701601428571429,1.1663096428571427,1.1663096428571427,win,True,35000.000000001004,03/03,W10
2026-03-03 04:00:00+00:00,GBPUSD,-1.0,1.3399299999999998,1.3416192857142857,1.3357417857142855,1.3357417857142855,win,True,34940.450871968984,03/03,W10
2026-03-03 04:00:00+00:00,NZDUSD,-1.0,0.59445,0.5952122857142857,0.5927192857142858,0.5927192857142858,win,True,34298.03449658975,03/03,W10
2026-03-03 05:00:00+00:00,USDJPY,1.0,157.401,157.16401785714288,157.99345535714284,157.16401785714288,loss,False,-20000.0,03/03,W10
2026-03-03 05:00:00+00:00,EURUSD,-1.0,1.16811,1.1700211785714285,1.1633320535714287,1.1633320535714287,win,True,35000.0,03/03,W10
2026-03-03 05:00:00+00:00,NZDUSD,-1.0,0.59369,0.5951928571428571,0.5901078571428575,0.5901078571428575,win,True,34655.85054080593,03/03,W10
2026-03-03 08:00:00+00:00,EURUSD,-1.0,1.16439,1.1674017142857143,1.1568607142857146,1.1568607142857146,win,True,34999.99999999963,03/03,W10
2026-03-03 08:00:00+00:00,GBPUSD,-1.0,1.33357,1.3369783214285713,1.3250841964285716,1.33357,win,True,9999.999999999998,03/03,W10
2026-03-03 08:00:00+00:00,NZDUSD,-1.0,0.59104,0.5934075357142856,0.5852961607142859,0.5852961607142859,win,True,34784.25359448948,03/03,W10
2026-03-03 14:00:00+00:00,EURUSD,-1.0,1.15905,1.161859607142857,1.152025982142857,1.15905,win,True,9999.999999999998,03/03,W10
2026-03-03 18:00:00+00:00,USDJPY,1.0,157.836,157.5711357142857,158.4981607142858,157.5711357142857,loss,False,-20000.0,03/03,W10
2026-03-04 00:00:00+00:00,USDJPY,1.0,157.769,157.47296785714286,158.50908035714286,157.47296785714286,loss,False,-20000.0,03/04,W10
2026-03-04 02:00:00+00:00,USDJPY,1.0,157.59,157.44714285714286,157.94714285714286,157.44714285714286,loss,False,-20000.0,03/04,W10
2026-03-04 03:00:00+00:00,GBPUSD,-1.0,1.3329799999999998,1.3343973928571429,1.3294715178571423,1.3329799999999998,win,True,9999.999999999998,03/04,W10
2026-03-04 04:00:00+00:00,GBPUSD,-1.0,1.3338999999999999,1.3343956785714286,1.3326958035714283,1.3326958035714283,win,True,34794.10250753601,03/04,W10
2026-03-04 05:00:00+00:00,GBPUSD,-1.0,1.33124,1.3345122857142857,1.3230942857142858,1.3345122857142857,loss,False,-20061.306708705957,03/04,W10
2026-03-04 16:00:00+00:00,USDJPY,-1.0,157.121,157.45854642857142,156.27713392857146,157.121,win,True,10000.0,03/04,W10
2026-03-05 02:00:00+00:00,EURUSD,-1.0,1.16282,1.16495075,1.1574931249999998,1.16282,win,True,10000.0,03/05,W10
2026-03-05 06:00:00+00:00,USDJPY,1.0,157.195,156.94895,157.81012499999997,156.94895,loss,False,-20000.0,03/05,W10
2026-03-05 06:00:00+00:00,EURUSD,-1.0,1.15944,1.1616815357142858,1.1538361607142855,1.1616815357142858,loss,False,-20000.0,03/05,W10
2026-03-05 06:00:00+00:00,GBPUSD,-1.0,1.33141,1.33462625,1.3234043750000004,1.33462625,loss,False,-20062.37816764174,03/05,W10
2026-03-05 13:00:00+00:00,USDJPY,1.0,157.446,157.20386428571427,158.0513392857143,157.446,win,True,10000.0,03/05,W10
2026-03-05 14:00:00+00:00,EURUSD,-1.0,1.15973,1.162823142857143,1.1519971428571423,1.15973,win,True,10000.0,03/05,W10
2026-03-05 16:00:00+00:00,NZDUSD,-1.0,0.58953,0.5920047500000001,0.5835181249999998,0.58953,win,True,10000.0,03/05,W10
2026-03-05 16:01:00+00:00,AUDUSD,-1.0,0.70121,0.7048482142857143,0.6921144642857142,0.70121,win,True,10000.0,03/05,W10
2026-03-05 18:03:00+00:00,AUDUSD,-1.0,0.69838,0.7017045,0.6900687500000001,0.7017045,loss,False,-20000.0,03/05,W10
2026-03-06 03:00:00+00:00,USDJPY,1.0,157.504,157.384875,157.80181249999998,157.80181249999998,win,True,35000.0,03/06,W10
2026-03-06 05:00:00+00:00,USDJPY,1.0,157.669,157.43896428571426,158.24408928571438,157.669,win,True,10000.0,03/06,W10
2026-03-06 05:00:00+00:00,EURUSD,-1.0,1.16137,1.1623295714285715,1.1589710714285713,1.16137,win,True,10000.0,03/06,W10
2026-03-06 07:00:00+00:00,NZDUSD,-1.0,0.59083,0.5912587857142857,0.5899330357142856,0.5912587857142857,loss,False,-22640.01508580006,03/06,W10
2026-03-06 09:00:00+00:00,EURUSD,-1.0,1.1603,1.1620191071428572,1.1560022321428574,1.1560022321428574,win,True,35000.00000000065,03/06,W10
2026-03-06 09:00:00+00:00,NZDUSD,-1.0,0.59053,0.5917404285714285,0.5876789285714288,0.5876789285714288,win,True,34569.124707619885,03/06,W10
2026-03-06 12:00:00+00:00,NZDUSD,-1.0,0.58643,0.5883759285714285,0.5817401785714287,0.5883759285714285,loss,False,-20527.44603096858,03/06,W10
2026-03-06 12:03:00+00:00,AUDUSD,-1.0,0.6992,0.7018929285714285,0.692467678571429,0.7018929285714285,loss,False,-20000.0,03/06,W10
2026-03-06 19:00:00+00:00,USDJPY,1.0,157.814,157.56137142857142,158.44557142857144,158.44557142857144,win,True,35000.00000000057,03/06,W10
2026-03-06 21:00:00+00:00,USDCAD,-1.0,1.3586099999999999,1.3593514642857143,1.356791339285714,1.356791339285714,win,True,34863.287925393386,03/06,W10
2026-03-08 23:00:00+00:00,USDJPY,1.0,158.32,158.03135714285713,159.04160714285715,158.32,win,True,10000.0,03/08,W10
2026-03-08 23:00:00+00:00,EURUSD,-1.0,1.15359,1.1561357857142858,1.147225535714285,1.15359,win,True,10000.0,03/08,W10
2026-03-08 23:00:00+00:00,GBPUSD,-1.0,1.33181,1.3360367857142859,1.3212780357142853,1.3360367857142859,loss,False,-20047.429490980237,03/08,W10
2026-03-09 01:01:00+00:00,GBPUSD,-1.0,1.32944,1.3327649285714285,1.321162678571429,1.3327649285714285,loss,False,-20060.3331250408,03/09,W11
2026-03-09 06:00:00+00:00,USDCAD,-1.0,1.35523,1.35643925,1.352241875,1.35643925,loss,False,-20166.770898479306,03/09,W11
2026-03-09 07:00:00+00:00,USDJPY,1.0,158.622,158.29160357142857,159.44799107142865,158.29160357142857,loss,False,-20000.0,03/09,W11
2026-03-09 07:00:00+00:00,USDCAD,-1.0,1.35575,1.3562335714285714,1.3545760714285717,1.35575,win,True,10000.0,03/09,W11
