strategy,engine,timeframe,total_return_pct,total_pnl,end_value,max_drawdown_pct,win_rate_pct,profit_factor,rr_ratio,total_trades,wins,losses,avg_win,avg_loss,avg_duration_hours,exit_reasons,passed
"RSI(14,30/70)_4h_dynSL",yagami_v3,4h,3.99,199375.63,5199376.0,0.0,100.0,199375.6254,199375.63,1,1,0,199375.63,0.0,292.0,{'take_profit': 1},False
"RSI(14,30/70)_4h_fixSL",yagami_v3,4h,-2.01,-100674.75,4899325.0,2.01,0.0,0.0,0.0,1,0,1,0.0,-100674.75,24.0,{'stop_loss': 1},False
"RSI(7,25/75)_4h_dynSL",yagami_v3,4h,-4.22,-211020.97,4788979.0,4.22,25.0,0.1281,0.38,4,1,3,31000.85,-80673.94,20.0,"{'stop_loss': 2, 'signal': 2}",False
"RSI(7,25/75)_4h_fixSL",yagami_v3,4h,-6.44,-321848.28,4678152.0,6.44,0.0,0.0,0.0,4,0,4,0.0,-80462.07,51.0,"{'stop_loss': 3, 'signal': 1}",False
MACD(12/26/9)_4h_dynSL,yagami_v3,4h,-5.96,-297814.45,4702186.0,9.15,9.09,0.3996,4.0,11,1,10,198231.69,-49604.61,23.6,"{'take_profit': 1, 'signal': 8, 'stop_loss': 1, 'end_of_data': 1}",False
MACD(12/26/9)_4h_fixSL,yagami_v3,4h,-8.79,-439605.05,4560395.0,8.43,9.09,0.058,0.58,11,1,10,27052.17,-46665.72,31.6,"{'stop_loss': 1, 'signal': 9, 'end_of_data': 1}",False
MACD(8/26/5)_4h_dynSL,yagami_v3,4h,-14.7,-735052.46,4264948.0,17.85,15.79,0.2608,1.39,19,3,16,86431.88,-62146.76,17.7,"{'take_profit': 1, 'signal': 14, 'stop_loss': 3, 'end_of_data': 1}",False
MACD(8/26/5)_4h_fixSL,yagami_v3,4h,-15.9,-794770.33,4205230.0,15.69,15.79,0.1017,0.54,19,3,16,29983.28,-55295.01,19.8,"{'stop_loss': 2, 'signal': 16, 'end_of_data': 1}",False
MACD(8/30/5)_4h_dynSL,yagami_v3,4h,-15.25,-762628.82,4237371.0,18.38,15.0,0.2534,1.44,20,3,17,86299.62,-60089.86,16.6,"{'take_profit': 1, 'signal': 15, 'stop_loss': 3, 'end_of_data': 1}",False
MACD(8/30/5)_4h_fixSL,yagami_v3,4h,-16.14,-806982.33,4193018.0,15.94,15.0,0.0878,0.5,20,3,17,25898.64,-52039.9,18.8,"{'stop_loss': 2, 'signal': 17, 'end_of_data': 1}",False
MACD+RSI50_4h_dynSL,yagami_v3,4h,-3.66,-183232.43,4816768.0,3.24,0.0,0.0,0.0,5,0,5,0.0,-36646.49,36.0,"{'signal': 4, 'end_of_data': 1}",False
MACD+RSI50_4h_fixSL,yagami_v3,4h,-4.11,-205522.5,4794477.0,3.72,0.0,0.0,0.0,5,0,5,0.0,-41104.5,36.0,"{'signal': 4, 'end_of_data': 1}",False
