EntryTime,ExitTime,Position,EntryPrice,ExitPrice,PnL_pips,Type
2024-07-01 14:00:00+00:00,2024-07-01 14:01:00+00:00,LONG_HALF,161.336,161.44005714285717,10.405714285715817,HALF_TP
2024-07-01 14:00:00+00:00,2024-07-01 14:01:00+00:00,LONG,161.336,161.336,0.0,SL
2024-07-01 15:00:00+00:00,2024-07-03 14:00:00+00:00,LONG,161.652,160.91724285714284,-73.47571428571484,SL
2024-07-03 14:00:00+00:00,2024-07-03 14:01:00+00:00,LONG,161.669,161.55987142857143,-10.912857142858456,SL
2024-07-03 15:00:00+00:00,2024-08-01 00:00:00+00:00,LONG,161.329,160.72174285714286,-60.72571428571507,SL
2024-08-01 16:00:00+00:00,2024-08-01 16:01:00+00:00,SHORT_HALF,150.058,149.79894285714283,25.90571428571593,HALF_TP
2024-08-01 16:00:00+00:00,2024-08-01 16:01:00+00:00,SHORT,150.058,150.058,-0.0,SL
2024-08-01 22:00:00+00:00,2024-08-01 22:01:00+00:00,SHORT_HALF,149.306,149.03054285714288,27.54571428571353,HALF_TP
2024-08-01 22:00:00+00:00,2024-08-01 22:01:00+00:00,SHORT,149.306,149.306,-0.0,SL
2024-08-01 23:00:00+00:00,2024-08-01 23:01:00+00:00,SHORT_HALF,149.307,149.0900857142857,21.691428571429583,HALF_TP
2024-08-01 23:00:00+00:00,2024-08-01 23:01:00+00:00,SHORT,149.307,149.307,-0.0,SL
2024-08-02 02:00:00+00:00,2024-08-02 05:00:00+00:00,SHORT_HALF,149.491,149.12735714285716,36.36428571428496,HALF_TP
2024-08-02 02:00:00+00:00,2024-08-02 12:00:00+00:00,SHORT,149.491,147.6607857142857,183.02142857143053,TP
2024-08-02 14:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT_HALF,147.055,145.83685714285718,121.81428571428228,HALF_TP
2024-08-02 14:00:00+00:00,2024-09-02 13:00:00+00:00,SHORT,147.055,147.055,-0.0,SL
2024-09-02 14:00:00+00:00,2024-09-03 00:00:00+00:00,SHORT_HALF,146.961,146.6953,26.57000000000096,HALF_TP
2024-09-02 14:00:00+00:00,2024-09-03 00:00:00+00:00,SHORT,146.961,146.961,-0.0,SL
2024-09-03 01:00:00+00:00,2024-09-03 01:01:00+00:00,SHORT_HALF,147.12,146.99528571428573,12.471428571427623,HALF_TP
2024-09-03 01:00:00+00:00,2024-09-03 01:01:00+00:00,SHORT,147.12,147.12,-0.0,SL
2024-09-03 03:00:00+00:00,2024-09-03 03:01:00+00:00,SHORT_HALF,146.64,146.47201428571424,16.79857142857486,HALF_TP
2024-09-03 03:00:00+00:00,2024-09-03 03:01:00+00:00,SHORT,146.64,146.64,-0.0,SL
2024-09-03 04:00:00+00:00,2024-09-03 05:00:00+00:00,SHORT_HALF,146.54,146.30362857142856,23.63714285714309,HALF_TP
2024-09-03 04:00:00+00:00,2024-09-03 05:00:00+00:00,SHORT,146.54,146.54,-0.0,SL
2024-09-03 07:00:00+00:00,2024-09-03 13:00:00+00:00,SHORT_HALF,146.015,145.57472857142855,44.02714285714353,HALF_TP
2024-09-03 07:00:00+00:00,2024-09-04 19:00:00+00:00,SHORT,146.015,143.80164285714275,221.33571428572338,TP
2024-09-04 23:00:00+00:00,2024-09-04 23:01:00+00:00,SHORT_HALF,143.615,143.4258,18.91999999999996,HALF_TP
2024-09-04 23:00:00+00:00,2024-09-04 23:01:00+00:00,SHORT,143.615,143.615,-0.0,SL
2024-09-05 02:00:00+00:00,2024-09-05 04:00:00+00:00,SHORT_HALF,143.705,143.50624285714287,19.875714285714707,HALF_TP
2024-09-05 02:00:00+00:00,2024-09-05 04:00:00+00:00,SHORT,143.705,143.705,-0.0,SL
2024-09-05 08:00:00+00:00,2024-10-02 00:00:00+00:00,SHORT,143.607,143.8007714285714,-19.37714285714094,SL
2024-10-02 00:00:00+00:00,2024-10-02 00:01:00+00:00,SHORT,143.723,143.81114285714287,-8.814285714285575,SL
2024-10-02 06:00:00+00:00,2024-10-02 06:01:00+00:00,SHORT,143.71,143.92168571428573,-21.168571428572136,SL
2024-10-02 07:00:00+00:00,2024-10-02 07:01:00+00:00,SHORT,143.901,144.08801428571428,-18.70142857142696,SL
2024-10-02 08:00:00+00:00,2024-10-02 08:01:00+00:00,SHORT,144.063,144.24987142857142,-18.687142857143613,SL
2024-10-02 15:00:00+00:00,2024-10-03 00:00:00+00:00,LONG_HALF,146.197,146.90518571428572,70.81857142857189,HALF_TP
2024-10-02 15:00:00+00:00,2024-10-04 04:00:00+00:00,LONG,146.197,146.197,0.0,SL
2024-10-04 05:00:00+00:00,2024-10-04 05:01:00+00:00,LONG,146.228,146.1147,-11.33000000000095,SL
2024-10-04 06:00:00+00:00,2024-10-04 07:00:00+00:00,LONG_HALF,146.083,146.28935714285714,20.635714285714357,HALF_TP
2024-10-04 06:00:00+00:00,2024-10-04 12:00:00+00:00,LONG,146.083,147.12678571428577,104.37857142857752,TP
2024-10-04 13:00:00+00:00,2024-11-03 22:00:00+00:00,LONG_HALF,148.643,150.88368571428572,224.06857142857177,HALF_TP
2024-10-04 13:00:00+00:00,2024-12-03 14:00:00+00:00,LONG,148.643,148.643,0.0,SL
2024-12-03 15:00:00+00:00,2024-12-03 15:01:00+00:00,SHORT,148.815,149.14004285714287,-32.50428571428756,SL
2024-12-03 16:00:00+00:00,2024-12-03 16:01:00+00:00,SHORT,149.151,149.32094285714285,-16.994285714284274,SL
2024-12-03 17:00:00+00:00,2024-12-03 21:00:00+00:00,SHORT,149.121,149.58915714285715,-46.81571428571374,SL
2024-12-04 02:00:00+00:00,2024-12-04 03:00:00+00:00,SHORT_HALF,149.916,149.68124285714285,23.475714285714844,HALF_TP
2024-12-04 02:00:00+00:00,2024-12-04 03:00:00+00:00,SHORT,149.916,149.916,-0.0,SL
2024-12-04 05:00:00+00:00,2024-12-04 07:00:00+00:00,SHORT,149.975,150.23117142857143,-25.61714285714345,SL
2024-12-04 09:00:00+00:00,2024-12-04 09:01:00+00:00,SHORT,150.435,150.6028,-16.779999999999973,SL
2024-12-04 10:00:00+00:00,2024-12-04 10:01:00+00:00,SHORT,150.625,150.8345857142857,-20.95857142857085,SL
2024-12-04 12:00:00+00:00,2024-12-04 12:01:00+00:00,SHORT,150.89,151.10692857142857,-21.6928571428582,SL
2024-12-04 20:00:00+00:00,2024-12-04 20:01:00+00:00,SHORT,150.439,150.66465714285712,-22.565714285713057,SL
2024-12-04 21:00:00+00:00,2024-12-04 23:00:00+00:00,SHORT,150.517,150.74071428571426,-22.371428571426577,SL
2024-12-05 00:00:00+00:00,2024-12-05 00:01:00+00:00,SHORT_HALF,150.542,150.2466142857143,29.53857142857146,HALF_TP
2024-12-05 00:00:00+00:00,2024-12-05 00:01:00+00:00,SHORT,150.542,150.542,-0.0,SL
2024-12-05 02:00:00+00:00,2024-12-05 02:01:00+00:00,SHORT_HALF,150.527,150.30419999999995,22.280000000003497,HALF_TP
2024-12-05 02:00:00+00:00,2024-12-05 02:01:00+00:00,SHORT,150.527,150.527,-0.0,SL
2024-12-05 08:00:00+00:00,2024-12-05 08:01:00+00:00,SHORT,149.78,150.08238571428572,-30.23857142857196,SL
2024-12-05 13:00:00+00:00,2024-12-05 13:01:00+00:00,SHORT_HALF,150.403,150.23771428571425,16.528571428574423,HALF_TP
2024-12-05 13:00:00+00:00,2024-12-05 13:01:00+00:00,SHORT,150.403,150.403,-0.0,SL
