name,trades,wins,losses,wr,pf,total_pnl,avg_pnl,avg_win,avg_loss,kelly,mdd,sharpe,calmar,t_stat,p_value,plus_months,max_streak,avg_dd_recovery
L: KMID+KLOW,327,249,78,76.14678899082568,4.961867362395961,12550.527946429062,38.38081940803994,63.125941265061954,-40.61322344322262,0.6080039146961982,222.5508928571344,10.465522653594718,56.39396807311764,10.421948449227303,3.848475143470135e-22,12/12,3,2.2941176470588234
K: KMID+KSFT,346,242,104,69.94219653179191,3.8833463623279147,11960.86214285766,34.56896573080249,66.56660861865582,-39.887087912087004,0.5193139090026326,307.07142857142844,7.828719597303526,38.95140032565883,9.047809075397366,1.0845370069139686e-17,12/12,5,2.1515151515151514
A: KMID単体,354,243,111,68.64406779661016,3.5414564030020697,11835.454910714805,33.43348844834691,67.87001065549855,-41.95457368082294,0.49261062618734464,315.8260714285607,8.39090439681782,37.474597512422164,8.424645251810892,9.262382364496753e-16,12/12,5,2.622950819672131
B: KSFT単体,356,236,120,66.29213483146067,3.3750750146413715,11256.082321429081,31.618208768059215,67.77684624697505,-39.493778273808594,0.4665045737425465,307.07142857142753,8.141640677797481,36.65623458944119,8.133286306559611,7.081218864967119e-15,12/12,5,2.342857142857143
v76 (champion),373,211,162,56.56836461126006,2.1695986841595243,8227.419553571981,22.057425076600484,72.33087635409807,-43.42219356260933,0.30495171893974676,460.9266964285607,5.56467037169537,17.84973536425906,5.147310615774589,4.289160938744776e-07,12/12,5,4.517857142857143
