trade_id,entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl,exit_reason,pnl_pips
1,2026-02-02 05:04:00,SHORT,1.54892,1.5255092857142858,1.553602142857143,2026-02-02 05:19:00,1.54803,-0.0011099999999999426,Full Close (Time Decay),-0.11099999999999426
2,2026-02-02 06:03:00,SHORT,1.54941,1.5254100000000004,1.5542099999999999,2026-02-02 06:18:00,1.54791,-0.0004999999999999432,Full Close (Time Decay),-0.04999999999999432
3,2026-02-02 08:23:00,SHORT,1.5495,1.5231750000000008,1.554765,2026-02-02 08:38:00,1.54878,-0.0012799999999999461,Full Close (Time Decay),-0.12799999999999462
4,2026-02-02 20:56:00,LONG,1.55544,1.5686292857142845,1.552802142857143,2026-02-02 21:11:00,1.55584,-0.001600000000000044,Full Close (Time Decay),-0.16000000000000442
5,2026-02-02 22:00:00,LONG,1.55565,1.566053571428571,1.5535692857142858,2026-02-02 22:15:00,1.55574,-0.0019100000000000766,Full Close (Time Decay),-0.19100000000000766
6,2026-02-02 23:32:00,LONG,1.55512,1.5641307142857144,1.5533178571428572,2026-02-02 23:47:00,1.55537,-0.0017500000000001386,Full Close (Time Decay),-0.17500000000001387
7,2026-02-02 23:57:00,LONG,1.55412,1.5640414285714288,1.5521357142857142,2026-02-03 00:12:00,1.55513,-0.0009900000000000447,Full Close (Time Decay),-0.09900000000000446
8,2026-02-03 01:11:00,LONG,1.55497,1.5687592857142851,1.552212142857143,2026-02-03 01:26:00,1.55539,-0.001579999999999913,Full Close (Time Decay),-0.15799999999999131
9,2026-02-03 02:17:00,LONG,1.55426,1.569495714285714,1.5512128571428572,2026-02-03 02:32:00,1.55441,-0.0018499999999999055,Full Close (Time Decay),-0.18499999999999056
10,2026-02-03 05:30:00,LONG,1.55402,1.5659235714285709,1.5516392857142858,2026-02-03 05:45:00,1.55421,-0.0018099999999998655,Full Close (Time Decay),-0.18099999999998656
11,2026-02-03 06:00:00,LONG,1.55397,1.5653807142857146,1.5516878571428572,2026-02-03 06:15:00,1.55418,-0.0017900000000001786,Full Close (Time Decay),-0.17900000000001787
12,2026-02-03 07:42:00,LONG,1.55312,1.5660950000000007,1.550525,2026-02-03 07:57:00,1.55393,-0.0011900000000000226,Full Close (Time Decay),-0.11900000000000226
