entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl
2026-01-02 01:15:00,SHORT,1.56595,1.5620571428571424,1.5667285714285715,2026-01-02 02:54:00,1.5667285714285715,-1.0778571428571517
2026-01-02 03:15:00,SHORT,1.56696,1.56391,1.56757,2026-01-02 04:12:00,1.56757,-1.061
2026-01-02 07:30:00,LONG,1.56867,1.5718842857142858,1.5680271428571428,2026-01-02 09:18:00,1.5680271428571428,-1.0642857142857167
2026-01-02 07:46:00,LONG,1.56867,1.5716360714285718,1.5680767857142857,2026-01-02 09:18:00,1.5680767857142857,-1.059321428571435
2026-01-02 08:00:00,LONG,1.56869,1.572886428571428,1.5678507142857143,2026-01-02 09:20:00,1.5678507142857143,-1.0839285714285598
2026-01-02 08:15:00,LONG,1.56955,1.5719357142857142,1.5690728571428572,2026-01-02 08:48:00,1.5690728571428572,-1.0477142857142843
2026-01-02 09:18:00,LONG,1.56805,1.571726785714286,1.5673146428571427,2026-01-02 15:05:00,1.5673146428571427,-1.0735357142857218
2026-01-02 10:20:00,LONG,1.56869,1.5740792857142856,1.5676121428571428,2026-01-02 15:04:00,1.5676121428571428,-1.107785714285713
2026-01-02 10:30:00,LONG,1.56839,1.5711167857142854,1.5678446428571429,2026-01-02 15:04:00,1.5678446428571429,-1.0545357142857084
2026-01-02 10:55:00,LONG,1.56828,1.5709585714285703,1.5677442857142858,2026-01-02 15:04:00,1.5677442857142858,-1.0535714285714084
2026-01-02 12:38:00,SHORT,1.56978,1.5670549999999999,1.570325,2026-01-02 15:06:00,1.5670549999999999,-0.7274999999999912
2026-01-02 12:45:00,SHORT,1.56986,1.5675742857142865,1.5703171428571427,2026-01-02 15:04:00,1.5675742857142865,-0.7714285714286442
2026-01-02 13:00:00,SHORT,1.56946,1.5671153571428573,1.5699289285714286,2026-01-02 15:05:00,1.5671153571428573,-0.7655357142857246
2026-01-02 13:30:00,SHORT,1.56897,1.5648092857142863,1.5698021428571427,2026-01-04 23:45:00,1.5698021428571427,-1.0832142857142726
2026-01-02 13:57:00,SHORT,1.56934,1.5673239285714278,1.5697432142857144,2026-01-02 15:05:00,1.5673239285714278,-0.7983928571427814
2026-01-02 14:15:00,SHORT,1.5688,1.5658214285714287,1.5693957142857142,2026-01-02 15:57:00,1.5658214285714287,-0.7021428571428725
2026-01-02 14:30:00,SHORT,1.5686,1.565753571428572,1.5691692857142856,2026-01-02 15:58:00,1.565753571428572,-0.7153571428571972
2026-01-02 14:45:00,SHORT,1.56858,1.56553,1.56919,2026-01-02 18:35:00,1.56919,-1.061
2026-01-02 15:00:00,SHORT,1.56862,1.5650289285714285,1.5693382142857142,2026-01-02 18:36:00,1.5693382142857142,-1.071821428571428
2026-01-02 15:30:00,SHORT,1.56691,1.5622975000000003,1.5678325,2026-01-02 18:00:00,1.5678325,-1.0922499999999937
2026-01-02 16:15:00,LONG,1.56657,1.571455714285714,1.5655928571428572,2026-01-05 00:15:00,1.571455714285714,-0.5114285714286062
2026-01-02 17:30:00,LONG,1.56725,1.5702714285714292,1.5666457142857142,2026-01-05 00:01:00,1.5702714285714292,-0.6978571428570826
2026-01-02 20:38:00,LONG,1.56867,1.5710342857142858,1.5681971428571428,2026-01-02 21:06:00,1.5681971428571428,-1.0472857142857164
2026-01-02 21:04:00,LONG,1.56829,1.5704917857142853,1.567849642857143,2026-01-04 22:00:00,1.567849642857143,-1.0440357142857062
2026-01-02 21:52:00,LONG,1.56849,1.572118571428571,1.5677642857142857,2026-01-04 22:00:00,1.5677642857142857,-1.0725714285714218
2026-01-04 22:15:00,LONG,1.56768,1.5706228571428569,1.5670914285714286,2026-01-04 22:55:00,1.5670914285714286,-1.0588571428571383
2026-01-04 22:45:00,LONG,1.56744,1.5707935714285715,1.5667692857142856,2026-01-05 00:01:00,1.5707935714285715,-0.6646428571428489
2026-01-04 23:45:00,LONG,1.56953,1.5734478571428578,1.5687464285714285,2026-01-05 08:18:00,1.5687464285714285,-1.078357142857155
2026-01-05 00:00:00,LONG,1.56961,1.5740028571428564,1.5687314285714287,2026-01-05 08:18:00,1.5687314285714287,-1.0878571428571284
