pair,variant,period,n,wr,pf,mdd,kelly,monthly_plus
SPX500,v79C,IS,17,29.4,1.84,8.7,-0.09,1/2
SPX500,v79C,OOS,90,20.0,1.0,17.6,-0.596,5/11
SPX500,v79D,IS,32,43.8,2.76,5.9,0.234,2/2
SPX500,v79D,OOS,142,18.3,0.97,14.2,-0.659,7/11
SPX500,v79BC,IS,15,33.3,1.69,8.7,-0.061,1/2
SPX500,v79BC,OOS,57,21.1,1.2,15.2,-0.45,5/10
SPX500,v79ABC,IS,12,33.3,1.62,6.8,-0.077,1/2
SPX500,v79ABC,OOS,48,22.9,1.51,13.5,-0.282,8/10
NAS100,v77,IS,35,25.7,1.2,8.3,-0.363,1/2
NAS100,v77,OOS,152,30.3,1.24,21.2,-0.26,9/11
NAS100,v79A,IS,29,24.1,1.19,7.2,-0.397,2/2
NAS100,v79A,OOS,119,26.9,1.09,23.0,-0.403,5/11
NAS100,v79B,IS,11,18.2,0.97,6.3,-0.659,1/2
NAS100,v79B,OOS,48,20.8,0.85,22.2,-0.728,3/9
NAS100,v79C,IS,23,26.1,1.5,6.0,-0.231,2/2
NAS100,v79C,OOS,101,24.8,1.0,22.0,-0.506,5/11
NAS100,v79D,IS,35,25.7,1.07,7.9,-0.438,1/2
NAS100,v79D,OOS,152,30.3,1.25,14.1,-0.256,8/11
NAS100,v79BC,IS,8,25.0,2.38,3.3,-0.065,1/2
NAS100,v79BC,OOS,35,20.0,0.71,25.3,-0.928,3/9
NAS100,v79ABC,IS,8,25.0,2.38,3.3,-0.065,1/2
NAS100,v79ABC,OOS,31,16.1,0.58,24.4,-1.283,3/9
