dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
long,1.5685699999999998,1.5584200000000001,2026-01-05 17:06:00,2026-01-05 17:12:00,-10.14999999999966,SL,1
long,1.5682866666666664,1.55831,2026-01-05 18:12:00,2026-01-05 18:30:00,-9.9766666666663,SL,2
long,1.56656,1.55648,2026-01-05 19:22:00,2026-01-05 19:32:00,-10.079999999999867,SL,1
long,1.568995,1.55892,2026-01-05 21:32:00,2026-01-05 21:52:00,-10.074999999999834,SL,1
long,1.56937,1.5594000000000001,2026-01-06 02:19:00,2026-01-06 02:30:00,-9.969999999999812,SL,2
long,1.5690266666666666,1.5589600000000001,2026-01-06 05:02:00,2026-01-06 05:54:00,-10.066666666666446,SL,2
long,1.5684749999999998,1.5582900000000002,2026-01-06 08:46:00,2026-01-06 08:54:00,-10.184999999999667,SL,1
long,1.5689433333333331,1.55892,2026-01-06 09:49:00,2026-01-06 12:00:00,-10.023333333333051,SL,2
long,1.5703649999999998,1.5602600000000002,2026-01-07 04:04:00,2026-01-07 04:08:00,-10.104999999999587,SL,1
long,1.5686333333333333,1.55868,2026-01-07 07:09:00,2026-01-07 13:42:00,-9.953333333333259,SL,2
short,1.56396,1.57402,2026-01-08 02:14:00,2026-01-08 13:51:00,-10.059999999999958,SL,2
short,1.5650400000000002,1.5752799999999998,2026-01-08 14:34:00,2026-01-08 14:54:00,-10.239999999999583,SL,1
short,1.56457,1.5746399999999998,2026-01-08 19:53:00,2026-01-08 20:03:00,-10.069999999999801,SL,1
short,1.56468,1.57469,2026-01-08 20:07:00,2026-01-08 20:38:00,-10.009999999999852,SL,2
short,1.5639600000000002,1.5739999999999998,2026-01-08 23:36:00,2026-01-08 23:54:00,-10.039999999999605,SL,1
short,1.5668566666666666,1.5768199999999999,2026-01-09 03:03:00,2026-01-09 03:18:00,-9.963333333333324,SL,2
short,1.56683,1.5769199999999999,2026-01-09 03:22:00,2026-01-09 03:36:00,-10.089999999999932,SL,1
short,1.56694,1.5819999999999999,2026-01-09 03:37:00,2026-01-09 09:51:00,-15.059999999999851,SL,0
short,1.5712700000000002,1.5812599999999999,2026-01-09 10:45:00,2026-01-09 11:32:00,-9.989999999999721,SL,2
short,1.57016,1.5806399999999998,2026-01-09 12:08:00,2026-01-09 13:39:00,-10.479999999999823,SL,1
short,1.5747133333333336,1.5846399999999998,2026-01-09 14:51:00,2026-01-09 15:03:00,-9.926666666666195,SL,2
short,1.5755766666666668,1.5856199999999998,2026-01-09 17:05:00,2026-01-09 17:17:00,-10.04333333333296,SL,2
short,1.575195,1.5853499999999998,2026-01-09 17:32:00,2026-01-09 17:39:00,-10.154999999999914,SL,1
short,1.57387,1.58394,2026-01-09 20:09:00,2026-01-09 20:16:00,-10.069999999999801,SL,1
short,1.5738500000000002,1.58392,2026-01-09 20:22:00,2026-01-09 20:36:00,-10.069999999999801,SL,1
short,1.57373,1.5838199999999998,2026-01-09 20:47:00,2026-01-09 20:59:00,-10.08999999999971,SL,1
short,1.5737900000000002,1.58387,2026-01-09 21:24:00,2026-01-09 21:30:00,-10.079999999999645,SL,1
short,1.57449,1.58456,2026-01-11 23:02:00,2026-01-12 02:54:00,-10.070000000000023,SL,2
short,1.5764200000000002,1.5865799999999999,2026-01-12 04:25:00,2026-01-12 04:37:00,-10.159999999999725,SL,1
short,1.576365,1.58646,2026-01-12 04:40:00,2026-01-12 04:43:00,-10.094999999999965,SL,1
short,1.576365,1.58642,2026-01-12 04:45:00,2026-01-12 04:51:00,-10.054999999999925,SL,1
short,1.5761533333333337,1.58619,2026-01-12 04:57:00,2026-01-12 05:06:00,-10.03666666666625,SL,2
short,1.5760233333333333,1.58605,2026-01-12 05:09:00,2026-01-12 05:24:00,-10.026666666666628,SL,2
short,1.5750450000000003,1.5851899999999999,2026-01-12 06:58:00,2026-01-12 07:04:00,-10.144999999999627,SL,1
short,1.5728400000000002,1.5827399999999998,2026-01-12 07:46:00,2026-01-12 08:09:00,-9.899999999999576,SL,2
short,1.572636666666667,1.58252,2026-01-12 08:21:00,2026-01-12 08:45:00,-9.883333333333022,SL,2
short,1.5739600000000002,1.5839599999999998,2026-01-12 10:42:00,2026-01-12 11:37:00,-9.999999999999565,SL,2
short,1.57406,1.5842299999999998,2026-01-12 15:27:00,2026-01-12 15:33:00,-10.16999999999979,SL,1
short,1.5739500000000002,1.5890499999999999,2026-01-12 15:44:00,2026-01-13 01:35:00,-15.09999999999967,SL,0
short,1.5817933333333334,1.5917,2026-01-13 03:09:00,2026-01-13 03:22:00,-9.906666666666508,SL,2
short,1.581765,1.5918599999999998,2026-01-13 03:24:00,2026-01-13 03:27:00,-10.094999999999743,SL,1
short,1.5818500000000002,1.5968899999999997,2026-01-13 03:28:00,2026-01-13 16:18:00,-15.039999999999498,SL,0
short,1.58583,1.5959899999999998,2026-01-13 16:34:00,2026-01-13 17:02:00,-10.159999999999725,SL,1
short,1.5855033333333335,1.5954899999999999,2026-01-13 17:21:00,2026-01-13 17:57:00,-9.986666666666366,SL,2
short,1.5856533333333334,1.5956499999999998,2026-01-13 18:33:00,2026-01-13 19:02:00,-9.996666666666432,SL,2
short,1.58608,1.5961599999999998,2026-01-13 19:45:00,2026-01-13 20:02:00,-10.079999999999867,SL,1
short,1.5860166666666666,1.59601,2026-01-13 20:03:00,2026-01-13 20:14:00,-9.993333333333299,SL,2
