time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,wall_tp,next_h4_time,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.631,161.31003571428573,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,False,161.741,2024-07-03 08:00:00+00:00,2024-07-03 06:00:00+00:00,161.95196428571427,32.09642857142683,HALF_TP
2024-07-03 04:00:00+00:00,1,161.631,161.631,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,True,161.741,2024-07-03 08:00:00+00:00,2024-07-03 06:00:00+00:00,161.741,11.000000000001364,SWING_TP
2024-07-03 11:00:00+00:00,1,161.946,161.69697857142856,162.5685535714286,0.24902142857143872,1h,double_bottom,2024-07-03 11:00:00+00:00,False,162.0,2024-07-03 12:00:00+00:00,2024-07-03 13:00:00+00:00,161.69697857142856,-24.902142857143872,SL
2024-07-03 19:00:00+00:00,1,161.662,161.42232142857142,162.26119642857145,0.23967857142858406,1h,double_bottom,2024-07-03 19:00:00+00:00,False,162.0,2024-07-03 20:00:00+00:00,2024-07-04 00:00:00+00:00,161.42232142857142,-23.967857142858406,SL
2024-07-04 05:00:00+00:00,-1,161.493,161.59441071428571,161.23947321428568,0.1014107142857199,1h,double_top,2024-07-04 05:00:00+00:00,False,161.353,2024-07-04 08:00:00+00:00,2024-07-04 06:00:00+00:00,161.39158928571428,10.14107142857199,HALF_TP
2024-07-04 05:00:00+00:00,-1,161.493,161.493,161.23947321428568,0.1014107142857199,1h,double_top,2024-07-04 05:00:00+00:00,True,161.353,2024-07-04 08:00:00+00:00,2024-07-04 06:00:00+00:00,161.353,13.999999999998636,SWING_TP
2024-07-04 08:00:00+00:00,-1,161.277,161.6495035714286,160.34574107142845,0.37250357142860935,4h,double_top,2024-07-04 08:00:00+00:00,False,161.134,2024-07-04 12:00:00+00:00,2024-08-01 00:00:00+00:00,160.90449642857138,37.250357142860935,HALF_TP
2024-07-04 08:00:00+00:00,-1,161.277,161.277,160.34574107142845,0.37250357142860935,4h,double_top,2024-07-04 08:00:00+00:00,True,161.134,2024-07-04 12:00:00+00:00,2024-08-01 00:00:00+00:00,161.134,14.300000000000068,SWING_TP
2024-08-01 04:00:00+00:00,-1,149.55499999999998,149.87188928571427,148.76277678571424,0.3168892857142964,1h,double_top,2024-08-01 04:00:00+00:00,False,148.495,2024-08-01 08:00:00+00:00,2024-08-01 05:00:00+00:00,149.87188928571427,-31.688928571429642,SL
2024-08-01 08:00:00+00:00,-1,149.857,150.4174607142857,148.4558482142857,0.5604607142857105,1h,double_top,2024-08-01 08:00:00+00:00,False,148.495,2024-08-01 12:00:00+00:00,2024-08-01 11:00:00+00:00,150.4174607142857,-56.046071428571054,SL
2024-08-01 14:00:00+00:00,-1,150.52599999999998,150.9689892857143,149.41852678571422,0.4429892857143045,1h,double_top,2024-08-01 14:00:00+00:00,False,148.495,2024-08-01 16:00:00+00:00,2024-08-01 14:01:00+00:00,150.08301071428568,44.29892857143045,HALF_TP
2024-08-01 14:00:00+00:00,-1,150.52599999999998,150.52599999999998,149.41852678571422,0.4429892857143045,1h,double_top,2024-08-01 14:00:00+00:00,True,148.495,2024-08-01 16:00:00+00:00,2024-08-01 14:01:00+00:00,150.52599999999998,-0.0,SL
2024-08-01 16:00:00+00:00,-1,150.05599999999998,151.10351785714286,147.43720535714277,1.0475178571428785,4h,double_top,2024-08-01 16:00:00+00:00,False,148.495,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,149.0084821428571,104.75178571428785,HALF_TP
2024-08-01 16:00:00+00:00,-1,150.05599999999998,150.05599999999998,147.43720535714277,1.0475178571428785,4h,double_top,2024-08-01 16:00:00+00:00,True,148.495,2024-08-01 20:00:00+00:00,2024-08-01 22:00:00+00:00,149.306,74.99999999999716,H4_EXPIRE
2024-08-01 23:00:00+00:00,-1,149.30499999999998,149.55934642857142,148.6691339285714,0.25434642857143785,1h,double_top,2024-08-01 23:00:00+00:00,False,148.495,2024-08-02 00:00:00+00:00,2024-08-01 23:01:00+00:00,149.05065357142854,25.434642857143785,HALF_TP
2024-08-01 23:00:00+00:00,-1,149.30499999999998,149.30499999999998,148.6691339285714,0.25434642857143785,1h,double_top,2024-08-01 23:00:00+00:00,True,148.495,2024-08-02 00:00:00+00:00,2024-08-01 23:01:00+00:00,149.30499999999998,-0.0,SL
2024-08-02 00:00:00+00:00,-1,149.19799999999998,150.364625,146.28143749999995,1.1666250000000105,4h,double_top,2024-08-02 00:00:00+00:00,False,148.495,2024-08-02 04:00:00+00:00,2024-08-02 12:00:00+00:00,148.03137499999997,116.66250000000105,HALF_TP
2024-08-02 00:00:00+00:00,-1,149.19799999999998,149.19799999999998,146.28143749999995,1.1666250000000105,4h,double_top,2024-08-02 00:00:00+00:00,True,148.495,2024-08-02 04:00:00+00:00,2024-08-02 12:00:00+00:00,148.495,70.29999999999745,SWING_TP
2024-08-02 13:00:00+00:00,-1,147.434,149.20235714285715,143.0131071428571,1.7683571428571554,1h,double_top,2024-08-02 13:00:00+00:00,False,146.412,2024-08-02 16:00:00+00:00,2024-08-04 23:00:00+00:00,145.66564285714284,176.83571428571554,HALF_TP
2024-08-02 13:00:00+00:00,-1,147.434,147.434,143.0131071428571,1.7683571428571554,1h,double_top,2024-08-02 13:00:00+00:00,True,146.412,2024-08-02 16:00:00+00:00,2024-08-04 23:00:00+00:00,146.412,102.19999999999914,SWING_TP
2024-08-05 00:00:00+00:00,-1,145.58499999999998,146.8981,142.30224999999993,1.31310000000002,4h,double_top,2024-08-05 00:00:00+00:00,False,145.276,2024-08-05 04:00:00+00:00,2024-08-05 03:00:00+00:00,144.27189999999996,131.310000000002,HALF_TP
2024-08-05 00:00:00+00:00,-1,145.58499999999998,145.58499999999998,142.30224999999993,1.31310000000002,4h,double_top,2024-08-05 00:00:00+00:00,True,145.276,2024-08-05 04:00:00+00:00,2024-08-05 03:00:00+00:00,145.276,30.899999999996908,SWING_TP
2024-08-05 18:00:00+00:00,-1,144.01,145.03720714285714,141.4419821428571,1.0272071428571508,1h,double_top,2024-08-05 18:00:00+00:00,False,141.679,2024-08-05 20:00:00+00:00,2024-08-05 23:00:00+00:00,145.03720714285714,-102.72071428571508,SL
2024-08-06 07:00:00+00:00,-1,145.631,146.41029999999998,143.68275000000006,0.7792999999999779,1h,double_top,2024-08-06 07:00:00+00:00,False,141.679,2024-08-06 08:00:00+00:00,2024-08-06 08:00:00+00:00,144.85170000000002,77.92999999999779,HALF_TP
2024-08-06 07:00:00+00:00,-1,145.631,145.631,143.68275000000006,0.7792999999999779,1h,double_top,2024-08-06 07:00:00+00:00,True,141.679,2024-08-06 08:00:00+00:00,2024-08-06 08:00:00+00:00,145.292,33.899999999999864,H4_EXPIRE
2024-08-06 18:00:00+00:00,-1,144.90699999999998,145.52159285714285,143.37051785714283,0.6145928571428669,1h,double_top,2024-08-06 18:00:00+00:00,False,141.679,2024-09-01 20:00:00+00:00,2024-09-01 21:00:00+00:00,145.52159285714285,-61.45928571428669,SL
2024-09-02 01:00:00+00:00,-1,146.188,146.63670357142857,145.06624107142852,0.44870357142858097,1h,double_top,2024-09-02 01:00:00+00:00,False,144.35,2024-09-02 04:00:00+00:00,2024-09-02 08:00:00+00:00,146.63670357142857,-44.8703571428581,SL
2024-09-02 13:00:00+00:00,-1,146.976,147.027775,146.8465625,0.05177499999999213,1h,double_top,2024-09-02 13:00:00+00:00,False,145.77,2024-09-02 16:00:00+00:00,2024-09-02 13:01:00+00:00,146.924225,5.177499999999213,HALF_TP
2024-09-02 13:00:00+00:00,-1,146.976,146.976,146.8465625,0.05177499999999213,1h,double_top,2024-09-02 13:00:00+00:00,True,145.77,2024-09-02 16:00:00+00:00,2024-09-02 13:01:00+00:00,146.976,-0.0,SL
2024-09-02 16:00:00+00:00,-1,146.946,147.37663214285715,145.8694196428571,0.43063214285714935,4h,double_top,2024-09-02 16:00:00+00:00,False,145.77,2024-09-02 20:00:00+00:00,2024-09-03 03:00:00+00:00,146.51536785714285,43.063214285714935,HALF_TP
2024-09-02 16:00:00+00:00,-1,146.946,146.946,145.8694196428571,0.43063214285714935,4h,double_top,2024-09-02 16:00:00+00:00,True,145.77,2024-09-02 20:00:00+00:00,2024-09-03 03:00:00+00:00,146.64,30.60000000000116,H4_EXPIRE
2024-09-03 04:00:00+00:00,-1,146.53799999999998,147.35696785714285,144.49058035714282,0.8189678571428658,4h,double_top,2024-09-03 04:00:00+00:00,False,145.77,2024-09-03 08:00:00+00:00,2024-09-03 08:00:00+00:00,145.71903214285712,81.89678571428658,HALF_TP
2024-09-03 04:00:00+00:00,-1,146.53799999999998,146.53799999999998,144.49058035714282,0.8189678571428658,4h,double_top,2024-09-03 04:00:00+00:00,True,145.77,2024-09-03 08:00:00+00:00,2024-09-03 08:00:00+00:00,145.77,76.79999999999723,SWING_TP
2024-09-03 13:00:00+00:00,-1,145.878,146.34228214285713,144.71729464285713,0.46428214285714375,1h,double_top,2024-09-03 13:00:00+00:00,False,145.77,2024-09-03 16:00:00+00:00,2024-09-03 13:01:00+00:00,145.41371785714284,46.428214285714375,HALF_TP
2024-09-03 13:00:00+00:00,-1,145.878,145.878,144.71729464285713,0.46428214285714375,1h,double_top,2024-09-03 13:00:00+00:00,True,145.77,2024-09-03 16:00:00+00:00,2024-09-03 13:01:00+00:00,145.878,-0.0,SL
2024-09-03 16:00:00+00:00,-1,145.81699999999998,146.39749285714285,144.3657678571428,0.5804928571428718,4h,double_top,2024-09-03 16:00:00+00:00,False,145.77,2024-09-03 20:00:00+00:00,2024-09-03 23:00:00+00:00,145.2365071428571,58.04928571428718,HALF_TP
2024-09-03 16:00:00+00:00,-1,145.81699999999998,145.81699999999998,144.3657678571428,0.5804928571428718,4h,double_top,2024-09-03 16:00:00+00:00,True,145.77,2024-09-03 20:00:00+00:00,2024-09-03 23:00:00+00:00,145.77,4.699999999996862,SWING_TP
2024-09-04 04:00:00+00:00,-1,145.30499999999998,145.80280714285715,144.06048214285704,0.49780714285716954,4h,double_top,2024-09-04 04:00:00+00:00,False,145.115,2024-09-04 08:00:00+00:00,2024-09-04 07:00:00+00:00,144.8071928571428,49.780714285716954,HALF_TP
2024-09-04 04:00:00+00:00,-1,145.30499999999998,145.30499999999998,144.06048214285704,0.49780714285716954,4h,double_top,2024-09-04 04:00:00+00:00,True,145.115,2024-09-04 08:00:00+00:00,2024-09-04 07:00:00+00:00,145.115,18.99999999999693,SWING_TP
2024-09-04 08:00:00+00:00,-1,144.97899999999998,145.64051785714284,143.32520535714286,0.6615178571428544,4h,double_top,2024-09-04 08:00:00+00:00,False,144.751,2024-09-04 12:00:00+00:00,2024-09-04 14:00:00+00:00,144.31748214285713,66.15178571428544,HALF_TP
2024-09-04 08:00:00+00:00,-1,144.97899999999998,144.97899999999998,143.32520535714286,0.6615178571428544,4h,double_top,2024-09-04 08:00:00+00:00,True,144.751,2024-09-04 12:00:00+00:00,2024-09-04 14:00:00+00:00,144.751,22.799999999998022,SWING_TP
2024-09-04 16:00:00+00:00,-1,144.30499999999998,145.36320714285714,141.6594821428571,1.0582071428571567,4h,double_top,2024-09-04 16:00:00+00:00,False,143.994,2024-09-04 20:00:00+00:00,2024-09-04 23:00:00+00:00,143.24679285714282,105.82071428571567,HALF_TP
2024-09-04 16:00:00+00:00,-1,144.30499999999998,144.30499999999998,141.6594821428571,1.0582071428571567,4h,double_top,2024-09-04 16:00:00+00:00,True,143.994,2024-09-04 20:00:00+00:00,2024-09-04 23:00:00+00:00,143.994,31.099999999997863,SWING_TP
