time,dir,ep,sl,tp,risk,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-01 04:45:00+00:00,-1,161.048,161.09917142857142,160.92007142857145,0.051171428571421984,2024-07-01 04:45:00+00:00,False,2024-07-01 04:46:00+00:00,160.99682857142858,5.117142857142198,HALF_TP
2024-07-01 04:45:00+00:00,-1,161.048,161.048,160.92007142857145,0.051171428571421984,2024-07-01 04:45:00+00:00,True,2024-07-01 04:46:00+00:00,161.048,-0.0,SL
2024-07-01 05:15:00+00:00,-1,161.07299999999998,161.13392857142858,160.92067857142848,0.06092857142860453,2024-07-01 05:15:00+00:00,False,2024-07-01 05:16:00+00:00,161.01207142857137,6.092857142860453,HALF_TP
2024-07-01 05:15:00+00:00,-1,161.07299999999998,161.07299999999998,160.92067857142848,0.06092857142860453,2024-07-01 05:15:00+00:00,True,2024-07-01 05:16:00+00:00,161.07299999999998,-0.0,SL
2024-07-01 05:45:00+00:00,-1,161.07299999999998,161.08778571428573,161.03603571428562,0.014785714285750373,2024-07-01 05:45:00+00:00,False,2024-07-01 05:46:00+00:00,161.05821428571423,1.4785714285750373,HALF_TP
2024-07-01 05:45:00+00:00,-1,161.07299999999998,161.07299999999998,161.03603571428562,0.014785714285750373,2024-07-01 05:45:00+00:00,True,2024-07-01 05:46:00+00:00,161.07299999999998,-0.0,SL
2024-07-01 06:15:00+00:00,-1,161.028,161.06482857142856,160.93592857142858,0.03682857142857188,2024-07-01 06:15:00+00:00,False,2024-07-01 06:16:00+00:00,160.99117142857142,3.6828571428571877,HALF_TP
2024-07-01 06:15:00+00:00,-1,161.028,161.028,160.93592857142858,0.03682857142857188,2024-07-01 06:15:00+00:00,True,2024-07-01 06:16:00+00:00,161.028,-0.0,SL
2024-07-01 06:45:00+00:00,-1,161.028,161.05088571428573,160.97078571428565,0.022885714285735048,2024-07-01 06:45:00+00:00,False,2024-07-01 06:46:00+00:00,161.00511428571426,2.288571428573505,HALF_TP
2024-07-01 06:45:00+00:00,-1,161.028,161.028,160.97078571428565,0.022885714285735048,2024-07-01 06:45:00+00:00,True,2024-07-01 06:46:00+00:00,161.028,-0.0,SL
2024-07-01 07:00:00+00:00,-1,160.89999999999998,161.01409999999998,160.61474999999996,0.11410000000000764,2024-07-01 07:00:00+00:00,False,2024-07-01 07:01:00+00:00,161.01409999999998,-11.410000000000764,SL
2024-07-01 07:15:00+00:00,-1,160.89999999999998,160.99555714285714,160.66110714285708,0.09555714285716022,2024-07-01 07:15:00+00:00,False,2024-07-01 07:16:00+00:00,160.99555714285714,-9.555714285716022,SL
2024-07-01 08:00:00+00:00,-1,161.01399999999998,161.0663,160.88324999999992,0.05230000000003088,2024-07-01 08:00:00+00:00,False,2024-07-01 08:01:00+00:00,160.96169999999995,5.230000000003088,HALF_TP
2024-07-01 08:00:00+00:00,-1,161.01399999999998,161.01399999999998,160.88324999999992,0.05230000000003088,2024-07-01 08:00:00+00:00,True,2024-07-01 08:01:00+00:00,161.01399999999998,-0.0,SL
2024-07-01 08:45:00+00:00,1,161.018,160.9224,161.25699999999998,0.09559999999999036,2024-07-01 08:45:00+00:00,False,2024-07-01 10:00:00+00:00,161.1136,9.559999999999036,HALF_TP
