time,sym,dir,ep,sl,tp,xp,result,half,pnl,equity,risk_pct,risk_changed,date,week,month
2025-01-06 05:00:00+00:00,USDJPY,1.0,157.72,157.6283892857143,157.94902678571427,157.6283892857143,loss,False,-30000.0,970000.0,0.03,,01/06,W2,2025-01
2025-01-06 05:00:00+00:00,EURUSD,-1.0,1.03151,1.031984,1.0303249999999997,1.03151,win,True,14550.0,984550.0,0.03,,01/06,W2,2025-01
2025-01-06 06:00:00+00:00,USDJPY,1.0,157.781,157.63479642857143,158.14650892857145,157.63479642857143,loss,False,-29536.5,955013.5,0.03,,01/06,W2,2025-01
2025-01-06 06:00:00+00:00,EURUSD,-1.0,1.03089,1.031955857142857,1.0282253571428575,1.031955857142857,loss,False,-28650.405,926363.095,0.03,,01/06,W2,2025-01
2025-01-06 07:00:00+00:00,EURUSD,1.0,1.03128,1.0306403928571428,1.0328790178571428,1.0328790178571428,win,True,48634.062487497584,974997.1574874975,0.03,,01/06,W2,2025-01
2025-01-06 07:01:00+00:00,AUDUSD,1.0,0.62319,0.6220134285714286,0.6261314285714286,0.6261314285714286,win,True,51187.350768093616,1026184.5082555912,0.03,,01/06,W2,2025-01
2025-01-06 07:02:00+00:00,NZDUSD,1.0,0.56267,0.5619475714285714,0.5643010714285714,0.5643010714285714,win,True,52730.12142564474,1078914.6296812359,0.03,,01/06,W2,2025-01
2025-01-06 08:00:00+00:00,EURUSD,1.0,1.03275,1.0306228214285715,1.0380679464285714,1.0380679464285714,win,True,56643.01805826489,1135557.6477395007,0.03,,01/06,W2,2025-01
2025-01-06 08:00:00+00:00,NZDUSD,1.0,0.56269,0.5620757857142857,0.5640505357142858,0.5640505357142858,win,True,58107.29995216968,1193664.9476916704,0.03,,01/06,W2,2025-01
2025-01-06 09:00:00+00:00,NZDUSD,1.0,0.56423,0.5621347142857143,0.5692932142857143,0.56423,win,True,17904.974215375056,1211569.9219070454,0.03,,01/06,W2,2025-01
2025-01-06 09:04:00+00:00,AUDUSD,1.0,0.62513,0.6227297142857143,0.6311307142857141,0.62513,win,True,18173.54882860568,1229743.470735651,0.03,,01/06,W2,2025-01
2025-01-06 19:00:00+00:00,USDJPY,1.0,157.538,157.38005357142856,157.93286607142863,157.93286607142863,win,True,64561.53221362168,1294305.0029492727,0.03,,01/06,W2,2025-01
2025-01-06 20:00:00+00:00,USDJPY,1.0,157.548,157.38020357142858,157.96749107142855,157.96749107142855,win,True,67951.01265483681,1362256.0156041095,0.03,,01/06,W2,2025-01
2025-01-06 20:00:00+00:00,EURUSD,1.0,1.03884,1.0372517857142858,1.0428105357142856,1.0428105357142856,win,True,71518.44081921717,1433774.4564233266,0.03,,01/06,W2,2025-01
2025-01-06 21:00:00+00:00,USDJPY,1.0,157.628,157.4211464285714,158.14513392857145,158.14513392857145,win,True,75273.15896222612,1509047.6153855529,0.03,,01/06,W2,2025-01
