entry_time,exit_time,dir,pnl,result,exit_type,month,period
2025-03-05 08:00:00+00:00,2025-03-05 15:04:00+00:00,-1,57.83232142857457,win,HALF+SL,2025-03,OOS
2025-03-05 16:00:00+00:00,2025-03-10 17:41:00+00:00,-1,322.1868750000027,win,HALF+TP,2025-03,OOS
2025-03-10 21:00:00+00:00,2025-03-10 21:18:00+00:00,-1,-18.59464285713841,loss,SL,2025-03,OOS
2025-03-11 01:00:00+00:00,2025-03-11 03:52:00+00:00,-1,86.12437499999999,win,HALF+TP,2025-03,OOS
2025-03-11 04:00:00+00:00,2025-03-11 13:21:00+00:00,-1,-82.4810714285718,loss,SL,2025-03,OOS
2025-03-11 15:00:00+00:00,2025-03-11 17:02:00+00:00,1,27.795892857145077,win,HALF+SL,2025-03,OOS
2025-03-11 18:00:00+00:00,2025-03-12 07:08:00+00:00,-1,-82.77321428571156,loss,SL,2025-03,OOS
2025-03-12 08:00:00+00:00,2025-03-12 15:30:00+00:00,1,59.39589285714533,win,HALF+SL,2025-03,OOS
2025-03-12 16:00:00+00:00,2025-03-13 07:37:00+00:00,1,-127.97928571428372,loss,SL,2025-03,OOS
2025-03-13 08:00:00+00:00,2025-03-14 07:17:00+00:00,-1,-62.27839285714083,loss,SL,2025-03,OOS
2025-03-14 10:00:00+00:00,2025-03-14 11:00:00+00:00,1,30.52267857142965,win,HALF+SL,2025-03,OOS
2025-03-14 17:00:00+00:00,2025-03-14 17:08:00+00:00,1,19.111071428574178,win,HALF+SL,2025-03,OOS
2025-03-14 19:00:00+00:00,2025-03-14 19:14:00+00:00,1,-21.195892857144827,loss,SL,2025-03,OOS
2025-03-14 21:00:00+00:00,2025-03-17 07:55:00+00:00,1,76.04312499999253,win,HALF+TP,2025-03,OOS
2025-03-17 08:00:00+00:00,2025-03-17 15:30:00+00:00,1,-65.51464285714133,loss,SL,2025-03,OOS
2025-03-17 20:00:00+00:00,2025-03-18 05:44:00+00:00,1,115.57874999999456,win,HALF+TP,2025-03,OOS
2025-03-18 06:00:00+00:00,2025-03-18 19:48:00+00:00,1,-34.34267857143141,loss,SL,2025-03,OOS
2025-03-18 23:00:00+00:00,2025-03-19 05:25:00+00:00,1,21.400178571428796,win,HALF+SL,2025-03,OOS
2025-03-19 08:00:00+00:00,2025-03-19 10:01:00+00:00,1,25.620357142858552,win,HALF+SL,2025-03,OOS
2025-03-19 12:00:00+00:00,2025-03-19 21:39:00+00:00,1,-56.53053571427904,loss,SL,2025-03,OOS
