symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
XAUUSD,2025-01-06 04:00:00+00:00,2025-01-06 07:38:00+00:00,-1,2640.266,2646.1559821428573,2625.572544642857,2625.572544642857,TP,22.67195004073847,0.02,10000.0,1034984.6828305529,34984.68283055292,2025-01
XAUUSD,2025-01-06 13:00:00+00:00,2025-01-06 13:37:00+00:00,-1,2645.496,2650.7290535714287,2632.444866071429,2632.444866071429,TP,26.41587721563168,0.02,10349.84682830553,1071191.300162975,36206.61733242206,2025-01
XAUUSD,2025-01-06 18:00:00+00:00,2025-01-07 05:22:00+00:00,-1,2636.746,2642.747357142857,2621.774107142858,2642.747357142857,SL,23.834611870331308,0.02,0.0,1049735.283132923,-21456.01703005191,2025-01
XAUUSD,2025-01-06 19:00:00+00:00,2025-01-07 05:22:00+00:00,-1,2634.636,2642.5209285714286,2614.9551785714284,2642.5209285714286,SL,17.771200328742268,0.02,0.0,1028716.5756871005,-21018.70744582254,2025-01
XAUUSD,2025-01-07 02:00:00+00:00,2025-01-07 07:42:00+00:00,1,2639.044,2631.8634821428573,2656.9637946428566,2639.044,BE,19.125966472356264,0.02,10287.165756871007,1039003.7299683917,10287.15428129118,2025-01
XAUUSD,2025-01-07 04:00:00+00:00,2025-01-07 07:23:00+00:00,1,2639.654,2636.2340714285715,2648.172321428571,2639.654,BE,40.61469707189874,0.02,10390.037299683918,1049393.7428992577,10390.012930865982,2025-01
XAUUSD,2025-01-07 11:00:00+00:00,2025-01-07 13:14:00+00:00,1,2643.989,2639.5728035714283,2654.997991071429,2654.997991071429,TP,31.747885075602337,0.02,10493.937428992578,1086101.075029574,36707.33213031641,2025-01
XAUUSD,2025-01-07 12:00:00+00:00,2025-01-07 15:01:00+00:00,1,2648.504,2640.717642857143,2667.9383928571424,2648.504,BE,18.619882565584856,0.02,10861.010750295743,1096962.0746079404,10860.999578366289,2025-01
XAUUSD,2025-01-08 00:00:00+00:00,2025-01-08 02:30:00+00:00,1,2649.759,2646.8829285714287,2656.917678571428,2646.8829285714287,SL,51.014288828028654,0.02,0.0,1074953.93321729,-22008.1413906503,2025-01
XAUUSD,2025-01-08 01:00:00+00:00,2025-01-08 01:43:00+00:00,1,2650.654,2647.398964285714,2658.7600892857145,2647.398964285714,SL,44.15453300924949,0.02,0.0,1053395.2194406616,-21558.713776628487,2025-01
