sym,logic,init_cash,label,nocap_pf,nocap_sharpe,nocap_mdd,nocap_eq,nocap_n,cap_pf,cap_sharpe,cap_mdd,cap_eq,cap_n,cap_count,cap_pct,pf_diff,eq_diff_pct
USDJPY,C,1000000,100万円,1.7891635271714075,6.6159241776496485,20.406182711579145,3079048564.408973,1169,2.432064244764792,6.1798514935162645,20.37396492538639,540201787.0008724,1169,454,38.8366124893071,0.6429007175933845,-82.45556133004467
USDJPY,C,10000000,"1,000万円",1.7891635271714086,6.6159241776496485,20.40618271157914,30790485644.089622,1169,2.187886883876375,6.1614464579617465,16.80479965909023,816379354.1524796,1169,699,59.79469632164243,0.3987233567049664,-97.34859864313576
USDJPY,C,50000000,"5,000万円",1.7891635271714077,6.615924177649649,20.406182711579117,153952428220.44818,1169,2.1044249591022512,4.90809502337677,15.556811213626851,1076917553.3566644,1169,939,80.32506415739948,0.31526143193084355,-99.30048680244614
USDJPY,C,100000000,1億円,1.7891635271714077,6.615924177649649,20.406182711579117,307904856440.89636,1169,2.0737593213489114,4.841210633524927,15.334574205652338,1227148107.3614564,1169,1007,86.142001710864,0.2845957941775037,-99.60145217534203
USDJPY,C,500000000,5億円,1.7891635271714077,6.615924177649651,20.406182711579163,1539524282204.479,1169,1.996719968465113,4.510004464213227,11.32313869352804,1753025361.8838086,1169,1153,98.63130881094952,0.2075564412937052,-99.88613200959887
USDJPY,C,1000000000,10億円,1.7891635271714077,6.615924177649651,20.406182711579163,3079048564408.958,1169,1.9852865822579298,4.755077334886744,6.792309000970007,2263237503.5714207,1169,1171,100.1710863986313,0.19612305508652206,-99.92649555678555
EURUSD,C,1000000,100万円,2.012004553989113,5.387072843682466,22.67108203114871,2277279191.983368,1295,1.9861374626143449,5.956143361265346,21.265616766743836,291819172.95391136,1295,422,32.58687258687259,-0.02586709137476806,-87.18562159698324
EURUSD,C,10000000,"1,000万円",2.0120045539891125,5.387072843682465,22.67108203114873,22772791919.83373,1295,1.8156245679625864,4.699264853183818,21.49371148189486,488425587.47138315,1295,747,57.683397683397686,-0.19637998602652607,-97.85522306974582
EURUSD,C,50000000,"5,000万円",2.012004553989113,5.387072843682465,22.671082031148746,113863959599.16823,1295,1.6838509718502581,4.45102794046711,26.674640694649003,669381181.6992662,1295,951,73.43629343629343,-0.3281535821388548,-99.41212198833092
EURUSD,C,100000000,1億円,2.012004553989113,5.387072843682465,22.671082031148746,227727919198.33646,1295,1.601033849639913,3.9368692271000985,28.104229814389736,770022384.7528985,1295,1040,80.3088803088803,-0.4109707043491999,-99.6618673777622
