time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.631,161.31003571428573,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,False,2024-07-03 06:00:00+00:00,161.95196428571427,32.09642857142683,HALF_TP
2024-07-03 04:00:00+00:00,1,161.631,161.631,162.43341071428569,0.32096428571426827,4h,double_bottom,2024-07-03 04:00:00+00:00,True,2024-07-03 13:00:00+00:00,161.631,0.0,SL
2024-07-03 13:45:00+00:00,1,161.824,161.57660714285714,162.4424821428572,0.24739285714287007,15m,double_bottom,2024-07-03 13:45:00+00:00,False,2024-07-03 14:00:00+00:00,161.57660714285714,-24.739285714287007,SL
2024-07-03 15:00:00+00:00,1,161.33100000000002,161.0381142857143,162.0632142857143,0.29288571428571686,15m,double_bottom,2024-07-03 15:00:00+00:00,False,2024-07-03 18:00:00+00:00,161.62388571428573,29.288571428571686,HALF_TP
2024-07-03 15:00:00+00:00,1,161.33100000000002,161.33100000000002,162.0632142857143,0.29288571428571686,15m,double_bottom,2024-07-03 15:00:00+00:00,True,2024-07-04 01:00:00+00:00,161.33100000000002,0.0,SL
2024-07-04 02:00:00+00:00,1,161.37,161.29453928571428,161.55865178571432,0.07546071428572532,15m,double_bottom,2024-07-04 02:00:00+00:00,False,2024-07-04 02:01:00+00:00,161.44546071428573,7.546071428572532,HALF_TP
2024-07-04 02:00:00+00:00,1,161.37,161.37,161.55865178571432,0.07546071428572532,15m,double_bottom,2024-07-04 02:00:00+00:00,True,2024-07-04 02:01:00+00:00,161.37,0.0,SL
2024-07-04 02:15:00+00:00,1,161.37,161.2941642857143,161.5595892857143,0.07583571428571645,15m,double_bottom,2024-07-04 02:15:00+00:00,False,2024-07-04 02:16:00+00:00,161.44583571428572,7.583571428571645,HALF_TP
2024-07-04 02:15:00+00:00,1,161.37,161.37,161.5595892857143,0.07583571428571645,15m,double_bottom,2024-07-04 02:15:00+00:00,True,2024-07-04 02:16:00+00:00,161.37,0.0,SL
2024-07-04 03:00:00+00:00,1,161.44400000000002,161.35954285714286,161.65514285714292,0.08445714285716122,15m,double_bottom,2024-07-04 03:00:00+00:00,False,2024-07-04 03:01:00+00:00,161.52845714285718,8.445714285716122,HALF_TP
