time,dir,ep,sl,tp,risk,h4_time,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.631,161.31003571428573,162.43341071428569,0.32096428571426827,2024-07-03 04:00:00+00:00,double_bottom,2024-07-03 04:00:00+00:00,False,2024-07-03 06:00:00+00:00,161.95196428571427,32.09642857142683,HALF_TP
2024-07-03 04:00:00+00:00,1,161.631,161.631,162.43341071428569,0.32096428571426827,2024-07-03 04:00:00+00:00,double_bottom,2024-07-03 04:00:00+00:00,True,2024-07-03 13:15:00+00:00,161.631,0.0,SL
2024-07-04 08:00:00+00:00,-1,161.277,161.6495035714286,160.34574107142845,0.37250357142860935,2024-07-04 08:00:00+00:00,double_top,2024-07-04 08:00:00+00:00,False,2024-07-05 00:45:00+00:00,160.90449642857138,37.250357142860935,HALF_TP
2024-07-04 08:00:00+00:00,-1,161.277,161.277,160.34574107142845,0.37250357142860935,2024-07-04 08:00:00+00:00,double_top,2024-07-04 08:00:00+00:00,True,2024-07-05 12:30:00+00:00,160.34574107142845,93.12589285715376,TP
2024-08-01 16:00:00+00:00,-1,150.05599999999998,151.10351785714286,147.43720535714277,1.0475178571428785,2024-08-01 16:00:00+00:00,double_top,2024-08-01 16:00:00+00:00,False,2024-08-01 22:00:00+00:00,149.0084821428571,104.75178571428785,HALF_TP
2024-08-01 16:00:00+00:00,-1,150.05599999999998,150.05599999999998,147.43720535714277,1.0475178571428785,2024-08-01 16:00:00+00:00,double_top,2024-08-01 16:00:00+00:00,True,2024-08-02 12:30:00+00:00,147.43720535714277,261.87946428572104,TP
2024-08-02 16:00:00+00:00,-1,146.974,149.58308928571427,140.4512767857143,2.6090892857142762,2024-08-02 16:00:00+00:00,double_top,2024-08-02 16:00:00+00:00,False,2024-08-05 03:45:00+00:00,144.3649107142857,260.9089285714276,HALF_TP
2024-08-02 16:00:00+00:00,-1,146.974,146.974,140.4512767857143,2.6090892857142762,2024-08-02 16:00:00+00:00,double_top,2024-08-02 16:00:00+00:00,True,2024-08-07 01:45:00+00:00,146.974,-0.0,SL
2024-09-02 04:00:00+00:00,-1,145.946,146.81712142857143,143.76819642857143,0.8711214285714277,2024-09-02 04:00:00+00:00,double_top,2024-09-02 04:00:00+00:00,False,2024-09-02 08:30:00+00:00,146.81712142857143,-87.11214285714277,SL
2024-09-02 16:00:00+00:00,-1,146.946,147.37663214285715,145.8694196428571,0.43063214285714935,2024-09-02 16:00:00+00:00,double_top,2024-09-02 16:00:00+00:00,False,2024-09-03 03:45:00+00:00,146.51536785714285,43.063214285714935,HALF_TP
2024-09-02 16:00:00+00:00,-1,146.946,146.946,145.8694196428571,0.43063214285714935,2024-09-02 16:00:00+00:00,double_top,2024-09-02 16:00:00+00:00,True,2024-09-03 08:00:00+00:00,145.8694196428571,107.65803571428876,TP
2024-09-03 16:00:00+00:00,-1,145.81699999999998,146.39749285714285,144.3657678571428,0.5804928571428718,2024-09-03 16:00:00+00:00,double_top,2024-09-03 16:00:00+00:00,False,2024-09-03 23:00:00+00:00,145.2365071428571,58.04928571428718,HALF_TP
2024-09-03 16:00:00+00:00,-1,145.81699999999998,145.81699999999998,144.3657678571428,0.5804928571428718,2024-09-03 16:00:00+00:00,double_top,2024-09-03 16:00:00+00:00,True,2024-09-04 14:00:00+00:00,144.3657678571428,145.12321428571795,TP
2024-09-04 16:00:00+00:00,-1,144.30499999999998,145.36320714285714,141.6594821428571,1.0582071428571567,2024-09-04 16:00:00+00:00,double_top,2024-09-04 16:00:00+00:00,False,2024-09-04 23:30:00+00:00,143.24679285714282,105.82071428571567,HALF_TP
2024-09-04 16:00:00+00:00,-1,144.30499999999998,144.30499999999998,141.6594821428571,1.0582071428571567,2024-09-04 16:00:00+00:00,double_top,2024-09-04 16:00:00+00:00,True,2024-09-11 01:30:00+00:00,141.6594821428571,264.55178571428917,TP
2024-10-02 00:00:00+00:00,-1,143.721,143.95201428571428,143.1434642857143,0.23101428571428073,2024-10-02 00:00:00+00:00,double_top,2024-10-02 00:00:00+00:00,False,2024-10-02 02:00:00+00:00,143.95201428571428,-23.101428571428073,SL
2024-10-02 08:00:00+00:00,-1,144.06099999999998,144.28481785714285,143.5014553571428,0.22381785714287616,2024-10-02 08:00:00+00:00,double_top,2024-10-02 08:00:00+00:00,False,2024-10-02 08:45:00+00:00,144.28481785714285,-22.381785714287616,SL
2024-10-03 04:00:00+00:00,1,146.853,146.1209892857143,148.68302678571428,0.7320107142857069,2024-10-03 04:00:00+00:00,double_bottom,2024-10-03 04:00:00+00:00,False,2024-10-04 05:30:00+00:00,146.1209892857143,-73.20107142857069,SL
2024-10-07 00:00:00+00:00,1,148.77800000000002,148.48813928571428,149.50265178571436,0.28986071428573723,2024-10-07 00:00:00+00:00,double_bottom,2024-10-07 00:00:00+00:00,False,2024-10-07 00:15:00+00:00,148.48813928571428,-28.986071428573723,SL
2024-11-04 08:00:00+00:00,1,152.179,151.45842142857143,153.98044642857144,0.7205785714285753,2024-11-04 08:00:00+00:00,double_bottom,2024-11-04 08:00:00+00:00,False,2024-11-05 18:15:00+00:00,151.45842142857143,-72.05785714285753,SL
2024-11-06 16:00:00+00:00,1,154.34900000000002,153.68658214285713,156.00504464285723,0.6624178571428843,2024-11-06 16:00:00+00:00,double_bottom,2024-11-06 16:00:00+00:00,False,2024-11-07 07:15:00+00:00,153.68658214285713,-66.24178571428843,SL
2024-12-03 08:00:00+00:00,-1,150.005,150.38850000000002,149.04624999999993,0.3835000000000264,2024-12-03 08:00:00+00:00,double_top,2024-12-03 08:00:00+00:00,False,2024-12-03 12:45:00+00:00,149.62149999999997,38.35000000000264,HALF_TP
2024-12-03 08:00:00+00:00,-1,150.005,150.005,149.04624999999993,0.3835000000000264,2024-12-03 08:00:00+00:00,double_top,2024-12-03 08:00:00+00:00,True,2024-12-03 13:45:00+00:00,149.04624999999993,95.8750000000066,TP
2024-12-03 16:00:00+00:00,-1,149.149,150.34207142857142,146.16632142857145,1.1930714285714146,2024-12-03 16:00:00+00:00,double_top,2024-12-03 16:00:00+00:00,False,2024-12-04 07:15:00+00:00,150.34207142857142,-119.30714285714146,SL
2024-12-04 16:00:00+00:00,-1,150.39,151.36335,147.95662499999997,0.9733500000000106,2024-12-04 16:00:00+00:00,double_top,2024-12-04 16:00:00+00:00,False,2024-12-06 14:15:00+00:00,149.41664999999998,97.33500000000106,HALF_TP
2024-12-04 16:00:00+00:00,-1,150.39,150.39,147.95662499999997,0.9733500000000106,2024-12-04 16:00:00+00:00,double_top,2024-12-04 16:00:00+00:00,True,2024-12-09 08:15:00+00:00,150.39,-0.0,SL
2025-01-03 12:00:00+00:00,1,157.245,156.8909035714286,158.13024107142854,0.35409642857140966,2025-01-03 12:00:00+00:00,double_bottom,2025-01-03 12:00:00+00:00,False,2025-01-03 17:15:00+00:00,156.8909035714286,-35.409642857140966,SL
2025-01-06 00:00:00+00:00,1,157.51500000000001,156.988325,158.83168750000004,0.5266750000000116,2025-01-06 00:00:00+00:00,double_bottom,2025-01-06 00:00:00+00:00,False,2025-01-06 12:00:00+00:00,156.988325,-52.667500000001155,SL
2025-01-07 00:00:00+00:00,1,157.73700000000002,157.19790714285713,159.08473214285726,0.5390928571428901,2025-01-07 00:00:00+00:00,double_bottom,2025-01-07 00:00:00+00:00,False,2025-01-07 01:00:00+00:00,158.2760928571429,53.90928571428901,HALF_TP
2025-01-07 00:00:00+00:00,1,157.73700000000002,157.73700000000002,159.08473214285726,0.5390928571428901,2025-01-07 00:00:00+00:00,double_bottom,2025-01-07 00:00:00+00:00,True,2025-01-07 06:00:00+00:00,157.73700000000002,0.0,SL
2025-01-07 12:00:00+00:00,1,157.715,157.26375,158.84312500000004,0.4512500000000159,2025-01-07 12:00:00+00:00,double_bottom,2025-01-07 12:00:00+00:00,False,2025-01-07 15:00:00+00:00,158.16625000000002,45.12500000000159,HALF_TP
2025-01-07 12:00:00+00:00,1,157.715,157.715,158.84312500000004,0.4512500000000159,2025-01-07 12:00:00+00:00,double_bottom,2025-01-07 12:00:00+00:00,True,2025-01-07 16:30:00+00:00,157.715,0.0,SL
2025-01-08 00:00:00+00:00,1,158.22400000000002,157.4963,160.04325000000009,0.7277000000000271,2025-01-08 00:00:00+00:00,double_bottom,2025-01-08 00:00:00+00:00,False,2025-01-10 15:15:00+00:00,157.4963,-72.77000000000271,SL
2025-02-03 08:00:00+00:00,-1,155.618,155.9914,154.68449999999999,0.37340000000000373,2025-02-03 08:00:00+00:00,double_top,2025-02-03 08:00:00+00:00,False,2025-02-03 09:15:00+00:00,155.2446,37.34000000000037,HALF_TP
2025-02-03 08:00:00+00:00,-1,155.618,155.618,154.68449999999999,0.37340000000000373,2025-02-03 08:00:00+00:00,double_top,2025-02-03 08:00:00+00:00,True,2025-02-03 11:30:00+00:00,154.68449999999999,93.35000000000093,TP
2025-02-03 12:00:00+00:00,-1,154.606,155.8630892857143,151.46327678571424,1.2570892857143008,2025-02-03 12:00:00+00:00,double_top,2025-02-03 12:00:00+00:00,False,2025-02-05 02:00:00+00:00,153.3489107142857,125.70892857143008,HALF_TP
