entry_time,direction,entry_price,sl,status,exit_time,exit_price,pnl
2026-01-02 08:17:00,LONG,1.57957,1.5594,CLOSED,2026-01-02 09:55:00,1.56912,-104.49999999999848
2026-01-02 09:15:00,LONG,1.57837,1.5576699999999999,CLOSED,2026-01-02 09:55:00,1.56912,-92.4999999999998
2026-01-02 10:00:00,LONG,1.57922,1.55891,CLOSED,2026-01-02 11:11:00,1.56864,-105.80000000000034
2026-01-02 10:32:00,LONG,1.57837,1.55824,CLOSED,2026-01-02 11:11:00,1.56864,-97.30000000000017
2026-01-05 00:15:00,LONG,1.5815,1.56066,CLOSED,2026-01-05 00:53:00,1.57241,-90.8999999999982
2026-01-05 01:47:00,LONG,1.57976,1.55939,CLOSED,2026-01-05 03:06:00,1.57179,-79.70000000000033
2026-01-05 02:46:00,LONG,1.58162,1.5611599999999999,CLOSED,2026-01-05 03:06:00,1.57179,-98.30000000000005
2026-01-05 04:19:00,LONG,1.58251,1.56245,CLOSED,2026-01-05 06:04:00,1.57222,-102.90000000000133
2026-01-05 06:02:00,LONG,1.58171,1.56143,CLOSED,2026-01-05 06:04:00,1.57222,-94.89999999999998
2026-01-05 07:30:00,LONG,1.58064,1.55977,CLOSED,2026-01-05 07:30:00,1.57064,-100.00000000000009
2026-01-05 13:31:00,SHORT,1.55901,1.5797700000000001,CLOSED,2026-01-05 13:56:00,1.56853,-95.19999999999973
2026-01-05 14:31:00,SHORT,1.55772,1.5785,CLOSED,2026-01-05 15:00:00,1.56661,-88.90000000000065
2026-01-05 15:45:00,SHORT,1.55528,1.57675,CLOSED,2026-01-05 17:22:00,1.56271,-74.30000000000048
2026-01-05 16:46:00,SHORT,1.55339,1.57376,CLOSED,2026-01-05 17:22:00,1.56271,-93.19999999999995
2026-01-05 18:52:00,SHORT,1.55236,1.57261,CLOSED,2026-01-05 19:00:00,1.56136,-90.0000000000012
2026-01-05 21:15:00,SHORT,1.55373,1.5741,CLOSED,2026-01-05 21:59:00,1.56359,-98.5999999999998
2026-01-05 21:31:00,SHORT,1.55392,1.57417,CLOSED,2026-01-05 21:59:00,1.56359,-96.70000000000067
2026-01-05 23:04:00,SHORT,1.55548,1.57573,CLOSED,2026-01-06 00:53:00,1.56668,-112.000000000001
2026-01-06 02:01:00,SHORT,1.5544,1.5749900000000001,CLOSED,2026-01-06 02:41:00,1.56408,-96.7999999999991
2026-01-06 02:16:00,SHORT,1.55415,1.5748,CLOSED,2026-01-06 02:41:00,1.56408,-99.29999999999994
2026-01-06 04:48:00,SHORT,1.55417,1.57437,CLOSED,2026-01-06 05:26:00,1.56301,-88.3999999999996
2026-01-06 06:32:00,SHORT,1.55442,1.57456,CLOSED,2026-01-06 07:34:00,1.56267,-82.50000000000091
2026-01-06 09:31:00,SHORT,1.55388,1.57483,CLOSED,2026-01-06 10:10:00,1.56279,-89.09999999999974
2026-01-06 13:46:00,SHORT,1.55405,1.57456,CLOSED,2026-01-06 19:20:00,1.56692,-128.70000000000158
