time,dir,ep,sl,tp,risk,tf,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 03:59:00+00:00,1,161.648,161.31003571428573,162.49291071428564,0.3379642857142642,4h,2024-07-03 03:59:00+00:00,False,2024-07-03 11:00:00+00:00,161.98596428571426,33.79642857142642,HALF_TP
2024-07-03 03:59:00+00:00,1,161.648,161.648,162.49291071428564,0.3379642857142642,4h,2024-07-03 03:59:00+00:00,True,2024-07-03 13:00:00+00:00,161.648,0.0,SL
2024-07-03 18:59:00+00:00,1,161.482,161.42232142857142,161.63119642857146,0.05967857142857724,1h,2024-07-03 18:59:00+00:00,False,2024-07-03 19:00:00+00:00,161.54167857142858,5.967857142857724,HALF_TP
2024-07-03 18:59:00+00:00,1,161.482,161.482,161.63119642857146,0.05967857142857724,1h,2024-07-03 18:59:00+00:00,True,2024-07-03 19:00:00+00:00,161.63119642857146,14.919642857145732,TP
2024-07-04 04:59:00+00:00,-1,161.527,161.59441071428571,161.35847321428565,0.06741071428572809,1h,2024-07-04 04:59:00+00:00,False,2024-07-04 05:00:00+00:00,161.45958928571426,6.741071428572809,HALF_TP
2024-07-04 04:59:00+00:00,-1,161.527,161.527,161.35847321428565,0.06741071428572809,1h,2024-07-04 04:59:00+00:00,True,2024-07-04 05:00:00+00:00,161.527,-0.0,SL
2024-07-04 05:59:00+00:00,-1,161.493,161.5941,161.24025,0.10110000000000241,1h,2024-07-04 05:59:00+00:00,False,2024-07-04 06:00:00+00:00,161.3919,10.110000000000241,HALF_TP
2024-07-04 05:59:00+00:00,-1,161.493,161.493,161.24025,0.10110000000000241,1h,2024-07-04 05:59:00+00:00,True,2024-07-04 08:00:00+00:00,161.24025,25.27499999999918,TP
2024-07-04 10:59:00+00:00,-1,161.248,161.33173214285713,161.03866964285714,0.08373214285714425,1h,2024-07-04 10:59:00+00:00,False,2024-07-04 11:00:00+00:00,161.16426785714285,8.373214285714425,HALF_TP
2024-07-04 10:59:00+00:00,-1,161.248,161.248,161.03866964285714,0.08373214285714425,1h,2024-07-04 10:59:00+00:00,True,2024-07-04 11:00:00+00:00,161.03866964285714,20.933035714284642,TP
2024-07-04 14:59:00+00:00,-1,161.131,161.2160035714286,160.91849107142855,0.08500357142858661,1h,2024-07-04 14:59:00+00:00,False,2024-08-01 00:00:00+00:00,161.0459964285714,8.500357142858661,HALF_TP
2024-07-04 14:59:00+00:00,-1,161.131,161.131,160.91849107142855,0.08500357142858661,1h,2024-07-04 14:59:00+00:00,True,2024-08-01 00:00:00+00:00,160.91849107142855,21.25089285714523,TP
2024-08-01 03:59:00+00:00,-1,149.761,149.87188928571427,149.4837767857143,0.11088928571427914,1h,2024-08-01 03:59:00+00:00,False,2024-08-01 04:00:00+00:00,149.65011071428572,11.088928571427914,HALF_TP
2024-08-01 03:59:00+00:00,-1,149.761,149.761,149.4837767857143,0.11088928571427914,1h,2024-08-01 03:59:00+00:00,True,2024-08-01 04:00:00+00:00,149.4837767857143,27.722321428569785,TP
2024-08-01 07:59:00+00:00,-1,150.01999999999998,150.4174607142857,149.02634821428566,0.39746071428572805,1h,2024-08-01 07:59:00+00:00,False,2024-08-01 08:00:00+00:00,149.62253928571425,39.746071428572805,HALF_TP
2024-08-01 07:59:00+00:00,-1,150.01999999999998,150.01999999999998,149.02634821428566,0.39746071428572805,1h,2024-08-01 07:59:00+00:00,True,2024-08-01 10:00:00+00:00,150.01999999999998,-0.0,SL
2024-08-01 13:59:00+00:00,-1,150.85399999999998,150.9689892857143,150.56652678571425,0.11498928571430156,1h,2024-08-01 13:59:00+00:00,False,2024-08-01 14:00:00+00:00,150.73901071428568,11.498928571430156,HALF_TP
2024-08-01 13:59:00+00:00,-1,150.85399999999998,150.85399999999998,150.56652678571425,0.11498928571430156,1h,2024-08-01 13:59:00+00:00,True,2024-08-01 14:00:00+00:00,150.56652678571425,28.74732142857397,TP
2024-08-01 15:59:00+00:00,-1,150.041,151.10351785714286,147.38470535714282,1.0625178571428648,4h,2024-08-01 15:59:00+00:00,False,2024-08-01 23:00:00+00:00,148.97848214285713,106.25178571428648,HALF_TP
2024-08-01 15:59:00+00:00,-1,150.041,150.041,147.38470535714282,1.0625178571428648,4h,2024-08-01 15:59:00+00:00,True,2024-08-02 12:00:00+00:00,147.38470535714282,265.62946428571763,TP
2024-08-02 12:59:00+00:00,-1,149.00099999999998,149.20235714285715,148.49760714285702,0.20135714285717654,1h,2024-08-02 12:59:00+00:00,False,2024-08-02 13:00:00+00:00,148.7996428571428,20.135714285717654,HALF_TP
2024-08-02 12:59:00+00:00,-1,149.00099999999998,149.00099999999998,148.49760714285702,0.20135714285717654,1h,2024-08-02 12:59:00+00:00,True,2024-08-02 13:00:00+00:00,148.49760714285702,50.339285714295556,TP
2024-08-02 15:59:00+00:00,-1,146.665,149.58308928571427,139.3697767857143,2.9180892857142737,4h,2024-08-02 15:59:00+00:00,False,2024-08-05 04:00:00+00:00,143.74691071428572,291.8089285714274,HALF_TP
2024-08-02 15:59:00+00:00,-1,146.665,146.665,139.3697767857143,2.9180892857142737,4h,2024-08-02 15:59:00+00:00,True,2024-09-02 08:00:00+00:00,146.665,-0.0,SL
2024-09-02 12:59:00+00:00,-1,146.977,147.027775,146.85006250000004,0.05077499999998736,1h,2024-09-02 12:59:00+00:00,False,2024-09-02 13:00:00+00:00,146.92622500000002,5.077499999998736,HALF_TP
2024-09-02 12:59:00+00:00,-1,146.977,146.977,146.85006250000004,0.05077499999998736,1h,2024-09-02 12:59:00+00:00,True,2024-09-02 13:00:00+00:00,146.977,-0.0,SL
2024-09-02 15:59:00+00:00,-1,146.956,147.37663214285715,145.90441964285708,0.42063214285715844,4h,2024-09-02 15:59:00+00:00,False,2024-09-03 03:00:00+00:00,146.53536785714283,42.063214285715844,HALF_TP
