strategy,total_trades,win_rate_pct,profit_factor,rr_ratio,max_dd_pct,passed,thin_count,thin_wr,thin_pf,thin_rr,thin_pnl,normal_count,normal_wr,normal_pf,normal_rr,normal_pnl,wr_diff,pf_diff,rr_diff,adj_dd_pct,adj_thin_wr,adj_thin_pf
YagamiA_1H,294,45.58,0.9663,1.15,77.0,False,2,100.0,539913.113,269956.56,269956.56,292,45.2,0.943,1.14,-4559.59,54.8,539912.17,269955.42,77.17373723188422,100.0,377939.179
YagamiB_1H,858,42.31,0.9626,1.31,77.9,False,2,50.0,1.856,1.86,87458.08,856,42.3,0.959,1.31,-2436.97,7.700000000000003,0.8970000000000001,0.55,77.89555470537579,50.0,1.856
YagamiA_4H,22,40.91,1.226,1.77,25.97,False,0,0.0,0.0,0.0,0.0,22,40.9,1.226,1.77,33005.15,-40.9,-1.226,-1.77,25.96702068485253,0.0,0.0
YagamiB_4H,219,42.01,0.9448,1.3,58.46,False,2,50.0,22.005,22.01,180634.21,217,41.9,0.929,1.29,-7610.87,8.100000000000001,21.076,20.720000000000002,58.459440349550675,50.0,22.005
YagamiLonNY_1H,600,42.67,0.959,1.29,72.49,False,2,100.0,477336.497,238668.25,238668.25,598,42.5,0.943,1.28,-2875.59,57.5,477335.55399999995,238666.97,72.877052298578,100.0,334135.548
YagamiFull_1H,67,41.79,1.5762,2.2,40.16,False,2,100.0,1134306.684,567153.34,567153.34,65,40.0,1.456,2.18,66174.32,60.0,1134305.228,567151.1599999999,40.16237762672571,100.0,794014.679
