EntryTime,ExitTime,Position,EntryPrice,ExitPrice,PnL_pips,Risk_pips,Type
2024-07-01 13:00:00+00:00,2024-07-01 14:00:00+00:00,LONG_HALF,161.374,161.57014285714286,19.614285714285984,19.614285714285984,HALF_TP
2024-07-01 13:00:00+00:00,2024-07-01 14:00:00+00:00,LONG,161.374,161.374,0.0,19.614285714285984,SL
2024-07-01 17:00:00+00:00,2024-07-02 04:00:00+00:00,LONG_HALF,161.493,161.68574999999998,19.274999999998954,19.274999999998954,HALF_TP
2024-07-01 17:00:00+00:00,2024-07-02 12:00:00+00:00,LONG,161.493,161.493,0.0,19.274999999998954,SL
2024-07-02 13:00:00+00:00,2024-07-02 13:01:00+00:00,LONG_HALF,161.363,161.52839285714288,16.539285714287644,16.539285714287644,HALF_TP
2024-07-02 13:00:00+00:00,2024-07-02 13:01:00+00:00,LONG,161.363,161.363,0.0,16.539285714287644,SL
2024-07-02 21:00:00+00:00,2024-07-03 00:00:00+00:00,LONG_HALF,161.413,161.53939285714287,12.639285714286075,12.639285714286075,HALF_TP
2024-07-02 21:00:00+00:00,2024-07-03 05:00:00+00:00,LONG,161.413,161.8649642857143,45.19642857142969,12.639285714286075,TP
2024-07-03 06:00:00+00:00,2024-07-03 13:00:00+00:00,LONG,161.813,161.60525,-20.77499999999759,20.77499999999759,SL
2024-07-03 14:00:00+00:00,2024-08-01 00:00:00+00:00,LONG,161.325,160.65835714285714,-66.66428571428469,66.66428571428469,SL
2024-08-01 15:00:00+00:00,2024-08-01 17:00:00+00:00,SHORT_HALF,150.058,149.64435714285713,41.3642857142861,41.3642857142861,HALF_TP
2024-08-01 15:00:00+00:00,2024-08-02 12:00:00+00:00,SHORT,150.058,148.4577857142857,160.02142857142871,41.3642857142861,TP
2024-08-02 13:00:00+00:00,2024-08-04 23:00:00+00:00,SHORT_HALF,147.068,145.6901428571429,137.7857142857124,137.7857142857124,HALF_TP
2024-08-02 13:00:00+00:00,2024-08-05 03:00:00+00:00,SHORT,147.068,144.5527142857143,251.528571428571,137.7857142857124,TP
2024-08-05 05:00:00+00:00,2024-08-05 07:00:00+00:00,SHORT,142.648,143.90435714285715,-125.6357142857155,125.6357142857155,SL
2024-08-05 11:00:00+00:00,2024-08-05 14:00:00+00:00,SHORT,142.304,143.48446428571427,-118.04642857142653,118.04642857142653,SL
2024-08-05 16:00:00+00:00,2024-08-05 23:00:00+00:00,SHORT,144.173,145.46614285714287,-129.31428571428683,129.31428571428683,SL
