entry_time,exit_time,dir,tf,ep,sl,tp,exit_price,result,half_done,pnl_pips,win
2025-01-06 04:00:00,2025-01-06 15:28:00,LONG,4h,196.01299999999998,195.04379107142856,198.40452232142857,196.01299999999998,SL,True,48.01,True
2025-01-06 07:00:00,2025-01-06 10:20:00,LONG,1h,196.17749999999998,195.97573928571427,196.6504017857143,196.6504017857143,TP,True,33.28,True
2025-01-06 12:00:00,2025-01-08 11:05:00,LONG,4h,196.797,195.845825,199.14343750000006,196.797,SL,True,47.11,True
2025-01-06 22:00:00,2025-01-07 02:28:00,LONG,1h,197.14049999999997,196.88170357142857,197.75599107142853,197.75599107142853,TP,True,43.26,True
2025-01-07 01:00:00,2025-01-07 02:28:00,LONG,1h,197.339,197.1721767857143,197.7245580357143,197.7245580357143,TP,True,27.17,True
2025-01-07 02:00:00,2025-01-07 02:28:00,LONG,1h,197.3395,197.16999107142857,197.7317723214286,197.7317723214286,TP,True,27.64,True
2025-01-07 03:00:00,2025-01-07 17:49:00,LONG,1h,197.84449999999998,197.2294125,199.35071875,197.2294125,SL,False,-61.51,False
2025-01-08 00:00:00,2025-01-08 11:06:00,LONG,4h,197.20999999999998,196.75840714285715,198.3074821428571,196.75840714285715,SL,False,-45.16,False
2025-01-08 02:00:00,2025-01-08 02:31:00,LONG,1h,197.41199999999998,197.06207500000002,198.25531249999992,197.06207500000002,SL,False,-34.99,False
2025-01-08 04:00:00,2025-01-08 11:05:00,LONG,4h,197.24149999999997,196.75886250000002,198.4165937499999,196.75886250000002,SL,False,-48.26,False
2025-01-08 05:00:00,2025-01-08 09:30:00,LONG,1h,197.42,197.07482321428571,198.25144196428573,197.07482321428571,SL,False,-34.52,False
2025-01-08 07:00:00,2025-01-08 08:36:00,LONG,1h,197.51149999999998,197.33772321428572,197.9144419642857,197.33772321428572,SL,False,-17.38,False
2025-01-08 09:00:00,2025-01-08 09:45:00,SHORT,1h,197.40300000000002,197.58626428571426,196.97633928571435,196.97633928571435,TP,True,30.05,True
2025-01-08 12:00:00,2025-01-09 05:56:00,SHORT,4h,196.912,197.6830892857143,195.01577678571425,195.01577678571425,TP,True,132.92,True
2025-01-09 00:00:00,2025-01-09 05:12:00,SHORT,1h,195.7435,195.95199642857145,195.25375892857136,195.25375892857136,TP,True,34.46,True
2025-01-09 01:00:00,2025-01-09 05:22:00,SHORT,1h,195.7315,195.95308392857143,195.2090401785714,195.2090401785714,TP,True,36.75,True
2025-01-09 02:00:00,2025-01-09 08:57:00,SHORT,1h,195.494,195.8862464285714,194.54488392857144,194.54488392857144,TP,True,66.62,True
2025-01-09 04:00:00,2025-01-09 14:40:00,SHORT,4h,195.40100000000007,196.13108214285714,193.60729464285734,193.60729464285734,TP,True,125.74,True
2025-01-10 06:00:00,2025-01-10 09:20:00,SHORT,1h,194.62900000000002,194.81081428571426,194.20596428571437,194.62900000000002,SL,True,8.64,True
2025-01-10 08:00:00,2025-01-10 13:30:00,SHORT,4h,194.45950000000002,194.89282857142857,193.40767857142862,194.45950000000002,SL,True,21.22,True
2025-01-10 16:00:00,2025-01-13 05:22:00,SHORT,4h,193.925,194.87441071428572,191.5829732142857,191.5829732142857,TP,True,164.12,True
2025-01-10 22:00:00,2025-01-13 02:21:00,SHORT,1h,192.75900000000001,192.99178928571428,192.2085267857143,192.75900000000001,SL,True,11.19,True
2025-01-10 23:00:00,2025-01-13 03:46:00,SHORT,1h,192.661,192.98785714285714,191.87535714285713,191.87535714285713,TP,True,55.18,True
2025-01-13 01:00:00,2025-01-13 02:00:00,SHORT,1h,192.536,192.74407857142856,192.04730357142856,192.74407857142856,SL,False,-20.81,False
2025-01-13 03:00:00,2025-01-13 03:48:00,SHORT,1h,192.518,192.8295107142857,191.77072321428568,191.77072321428568,TP,True,52.49,True
2025-01-13 04:00:00,2025-01-13 21:28:00,SHORT,4h,191.93900000000002,193.0404107142857,189.21697321428576,191.93900000000002,SL,True,54.62,True
2025-01-13 10:00:00,2025-01-13 10:14:00,SHORT,1h,191.12450000000004,191.59347857142856,189.98355357142867,191.59347857142856,SL,False,-46.9,False
2025-01-14 12:00:00,2025-01-14 17:16:00,SHORT,1h,192.3365,192.85463035714287,191.0726741071428,192.3365,SL,True,25.46,True
2025-01-14 14:00:00,2025-01-14 15:33:00,SHORT,1h,192.30900000000003,192.60515892857143,191.6001026785715,191.6001026785715,TP,True,49.8,True
2025-01-14 15:00:00,2025-01-14 17:33:00,SHORT,1h,192.01000000000002,192.60798214285714,190.54654464285716,192.60798214285714,SL,False,-59.8,False
2025-01-14 16:00:00,2025-01-14 21:07:00,SHORT,4h,191.74550000000002,192.94793035714287,188.77092410714286,192.94793035714287,SL,False,-120.24,False
2025-01-14 20:00:00,2025-01-15 09:00:00,LONG,4h,192.70399999999998,191.34517678571427,196.0695580357143,191.34517678571427,SL,False,-135.88,False
2025-01-14 23:00:00,2025-01-15 06:23:00,LONG,1h,192.82549999999998,192.49854464285713,193.61138839285715,192.49854464285713,SL,False,-32.7,False
2025-01-15 01:00:00,2025-01-15 03:05:00,SHORT,1h,192.929,193.11557499999998,192.4940625,192.929,SL,True,8.88,True
2025-01-15 03:00:00,2025-01-15 07:18:00,SHORT,1h,192.7675,193.06486785714287,192.05558035714282,192.05558035714282,TP,True,50.01,True
2025-01-15 04:00:00,2025-01-15 18:32:00,SHORT,4h,192.63250000000002,193.19928035714284,191.2470491071429,191.2470491071429,TP,True,97.16,True
2025-01-15 07:00:00,2025-01-15 15:30:00,SHORT,1h,192.3305,192.76626428571427,191.27258928571428,192.3305,SL,True,21.34,True
2025-01-15 17:00:00,2025-01-16 04:02:00,SHORT,1h,191.71450000000002,192.4760625,189.84209374999998,189.84209374999998,TP,True,131.25,True
2025-01-15 19:00:00,2025-01-17 09:11:00,SHORT,1h,191.2315,191.93861964285713,189.49520089285716,189.49520089285716,TP,True,121.72,True
2025-01-15 20:00:00,2025-01-20 15:32:00,SHORT,4h,191.215,192.5371607142857,187.94109821428572,191.215,SL,True,65.66,True
2025-01-16 00:00:00,2025-01-16 02:30:00,SHORT,1h,191.46400000000003,191.67895000000001,190.958125,191.46400000000003,SL,True,10.3,True
2025-01-16 02:00:00,2025-01-16 03:29:00,SHORT,1h,191.247,191.56247321428572,190.4898169642857,190.4898169642857,TP,True,53.18,True
2025-01-16 04:00:00,2025-01-20 21:44:00,SHORT,4h,190.22050000000002,191.753725,186.4189375,191.753725,SL,False,-153.32,False
2025-01-16 11:00:00,2025-01-17 16:42:00,SHORT,1h,190.2715,190.98406428571428,188.52158928571424,190.2715,SL,True,35.18,True
2025-01-16 16:00:00,2025-01-17 04:43:00,SHORT,1h,190.15900000000002,190.6125982142857,189.05650446428578,190.15900000000002,SL,True,22.23,True
2025-01-16 18:00:00,2025-01-17 04:43:00,SHORT,1h,190.14700000000002,190.58409285714285,189.0857678571429,190.14700000000002,SL,True,21.4,True
2025-01-16 20:00:00,2025-01-20 08:38:00,SHORT,4h,189.99050000000003,190.6661482142857,188.33287946428578,190.6661482142857,SL,False,-67.56,False
2025-01-16 22:00:00,2025-01-17 00:07:00,SHORT,1h,189.9995,190.15724821428572,189.6366294642857,189.9995,SL,True,7.44,True
