indicator,n,pearson_r,pearson_p,spearman_r,spearman_p,slope,r2,reg_p,se,roll_mean,roll_std,roll_sign_pct,wr_1,wr_0
KMID(実体方向),19054,0.12218359051808887,2.791915472089856e-64,0.12218359051808876,2.7919154720900568e-64,0.11575317885449782,0.014928829791892034,2.791915472088985e-64,0.006812139945854316,0.11665246601200936,0.1534003832297062,0.7666754409055014,0.3188106217204643,0.20305744286596664
KLOW(下ヒゲ),19054,-0.018058258449654332,0.012676392481888763,-0.026645761444801876,0.0002346169147400272,-6.26530227906634,0.0003261006982345126,0.012676392481888296,2.5131884483347955,-0.048655418865223544,0.16616546223720877,0.37678336404316926,,
EMA距離/ATR,19054,0.015630178645047076,0.03096508282882779,0.02284814936795158,0.0016100652832341249,0.008324397068827651,0.00024430248447608567,0.030965082828827088,0.0038580291374927375,-0.057746359177102344,0.18449693634738812,0.3561989997367728,,
ADX,19054,-0.04420347955786863,1.0327493883622332e-09,-0.04614337526353203,1.8605180033231273e-10,-0.0019899206324381397,0.001953947605022913,1.032749388362111e-09,0.00032582492368915636,-0.16655503972006697,0.2137812200165754,0.20968675967359832,,
Streak(連続),19054,-0.04285270027715897,3.2676231151111928e-09,-0.04822456507883806,2.7350137259052427e-11,-0.0015520046655937052,0.0018363539210440234,3.267623115111297e-09,0.00026214731686974443,-0.1305801843232214,0.20346238899000463,0.2524348512766518,,
日足EMA方向,19054,-0.03315143780292669,4.715626454535078e-06,-0.0331514378029268,4.71562645453486e-06,-0.03188708089405907,0.0010990178284013337,4.715626454534392e-06,0.006964714660101864,-0.057665246721528646,0.222817546948143,0.41338105408993825,0.2692604600895476,0.3011475409836066
tol距離/ATR,19054,-0.0008136166438999365,0.91058457257387,-0.0007269314310541819,0.9200773377635391,-0.002618461271198545,6.619720432309976e-07,0.9105845725738653,0.02331609952176344,-0.003419835218298813,0.12806669945363855,0.4841800473808897,,
確認足方向,19054,-0.01580741527517106,0.029110334852136547,-0.015807415275171065,0.02911033485213635,-0.01446730471949176,0.0002498743776817069,0.029110334852137806,0.006629827266705655,-0.020207910309995535,0.12386011601757793,0.4355356672808634,0.2736527997191504,0.2881201044386423
4Hボディ比率,19054,0.05174725235620262,8.849142765793616e-13,0.052244845880983055,5.348541379749607e-13,0.0924700695020144,0.002677778126416523,8.849142765792904e-13,0.012928893283077935,0.04684817892452706,0.1785171430998318,0.5995261911029218,,
