name,total_trades,pf,wr,mdd,net_pnl
H4H1_rr1.5_lb15,213,1.1496,34.27,18.6,0
H4H1_rr1.5_lb20,219,1.1317,33.79,16.71,0
H4H1_rr1.5_lb30,191,1.1324,34.03,14.7,0
H4H1_rr2.0_lb15,203,1.1843,33.99,19.43,0
H4H1_rr2.0_lb20,211,1.1598,33.65,17.13,0
H4H1_rr2.0_lb30,184,1.1424,33.7,14.57,0
H4H1_rr3.0_lb15,187,1.1541,33.69,21.32,0
H4H1_rr3.0_lb20,195,1.1075,33.85,18.25,0
H4H1_rr3.0_lb30,171,1.1122,33.92,15.29,0
