pair,strategy,fold,oos_start,oos_end,n_is,pf_is,n_oos,pf_oos,wr_oos,mdd_oos,passed
GBPUSD,MTF_v3_H1,1,2024-02-15,2024-05-15,0,0.0,19,0.9074,26.32,2.6,False
GBPUSD,MTF_v3_H1,2,2024-05-15,2024-08-15,19,0.9074,16,1.74,18.75,1.81,True
GBPUSD,MTF_v3_H1,3,2024-08-15,2024-11-15,35,1.2541,16,1.6013,43.75,2.02,True
GBPUSD,MTF_v3_H1,4,2024-11-15,2025-02-15,52,1.3905,14,1.6519,21.43,0.64,True
GBPUSD,MTF_v3_H1,5,2025-02-15,2025-05-15,66,1.4072,10,949.3884,30.0,0.0,True
GBPUSD,MTF_v3_H1,6,2025-05-15,2025-08-15,77,1.7245,18,5.5122,33.33,0.68,True
GBPUSD,MTF_v3_H1,7,2025-08-15,2025-11-15,95,2.0953,14,0.5636,14.29,2.7,False
GBPUSD,MTF_v3_H1,8,2025-11-15,2026-02-15,109,1.662,11,0.0,0.0,0.23,False
GBPUSD,DC50_EMA200,0,2023-03-01,2023-09-01,10,0.2692,1,0.0,0.0,1.42,False
GBPUSD,DC50_EMA200,1,2023-09-01,2024-03-01,12,0.2093,0,0.0,0.0,0.0,False
GBPUSD,DC50_EMA200,2,2024-03-01,2024-09-01,13,0.5414,1,0.0,0.0,0.0,False
GBPUSD,DC50_EMA200,3,2024-09-01,2025-03-01,16,0.5406,0,0.0,0.0,0.0,False
GBPUSD,DC50_EMA200,4,2025-03-01,2025-09-01,18,0.4973,2,0.0,0.0,0.63,False
GBPUSD,DC50_EMA200,5,2025-09-01,2026-02-27,22,0.4053,1,0.0,0.0,0.89,False
AUDUSD,PA_v2_4H,0,2024-09-01,2024-12-01,15,411.7446,3,1.2803,33.33,0.0,True
AUDUSD,PA_v2_4H,1,2024-12-01,2025-03-01,19,61.8889,7,0.0021,28.57,0.54,False
AUDUSD,PA_v2_4H,2,2025-03-01,2025-06-01,26,2.0107,9,189.2383,33.33,0.0,True
AUDUSD,PA_v2_4H,3,2025-06-01,2025-09-01,36,2.9833,10,66.9608,20.0,0.0,True
AUDUSD,PA_v2_4H,4,2025-09-01,2025-12-01,46,3.2673,11,341.7574,45.45,0.0,True
AUDUSD,PA_v2_4H,5,2025-12-01,2026-02-27,57,4.3945,10,0.006,60.0,0.51,False
AUDUSD,MTF_v3_H1,0,2023-11-15,2024-02-15,0,0.0,0,0.0,0.0,0.0,False
AUDUSD,MTF_v3_H1,1,2024-02-15,2024-05-15,0,0.0,11,0.6423,18.18,0.54,False
AUDUSD,MTF_v3_H1,2,2024-05-15,2024-08-15,11,0.6423,19,1.3803,15.79,1.65,True
AUDUSD,MTF_v3_H1,3,2024-08-15,2024-11-15,30,1.1046,14,0.2263,14.29,1.52,False
