entry_time,direction,entry_price,sl,status,exit_time,exit_price,pnl
2026-01-02 08:17:00,LONG,1.57157,1.5493999999999999,CLOSED,2026-01-02 12:17:00,1.56917,-23.999999999999577
2026-01-02 09:21:00,LONG,1.56991,1.5476699999999999,CLOSED,2026-01-02 13:21:00,1.56883,-10.799999999999699
2026-01-02 10:03:00,LONG,1.57107,1.54891,CLOSED,2026-01-02 14:03:00,1.56897,-20.999999999999908
2026-01-02 10:18:00,LONG,1.57088,1.54802,CLOSED,2026-01-02 14:18:00,1.569,-18.800000000001038
2026-01-02 10:34:00,LONG,1.5705500000000001,1.54824,CLOSED,2026-01-02 14:34:00,1.56868,-18.700000000000383
2026-01-02 10:53:00,LONG,1.57052,1.54814,CLOSED,2026-01-02 14:53:00,1.5686,-19.199999999999218
2026-01-04 22:17:00,LONG,1.56968,1.54737,CLOSED,2026-01-05 02:17:00,1.56987,1.900000000001345
2026-01-04 23:47:00,LONG,1.57154,1.54914,CLOSED,2026-01-05 03:47:00,1.57202,4.8000000000003595
2026-01-05 00:22:00,LONG,1.5732,1.55066,CLOSED,2026-01-05 04:22:00,1.57269,-5.1000000000001044
2026-01-05 01:16:00,LONG,1.57263,1.55026,CLOSED,2026-01-05 05:16:00,1.57227,-3.5999999999991594
2026-01-05 01:47:00,LONG,1.57176,1.54939,CLOSED,2026-01-05 05:47:00,1.57145,-3.1000000000003247
2026-01-05 02:51:00,LONG,1.57344,1.5511599999999999,CLOSED,2026-01-05 06:51:00,1.57062,-28.200000000000447
2026-01-05 04:19:00,LONG,1.57451,1.5524499999999999,CLOSED,2026-01-05 08:19:00,1.56821,-62.99999999999972
2026-01-05 04:39:00,LONG,1.57442,1.55222,CLOSED,2026-01-05 08:39:00,1.56839,-60.2999999999998
2026-01-05 06:02:00,LONG,1.57371,1.55143,CLOSED,2026-01-05 10:02:00,1.5692,-45.100000000000136
2026-01-05 07:41:00,LONG,1.57205,1.54977,CLOSED,2026-01-05 11:41:00,1.56617,-58.79999999999885
2026-01-05 13:40:00,SHORT,1.56755,1.5897700000000001,CLOSED,2026-01-05 17:40:00,1.56311,44.39999999999999
2026-01-05 14:31:00,SHORT,1.56572,1.5885,CLOSED,2026-01-05 18:31:00,1.5632,25.200000000000777
2026-01-05 14:46:00,SHORT,1.56573,1.58812,CLOSED,2026-01-05 18:46:00,1.56211,36.19999999999956
2026-01-05 15:49:00,SHORT,1.56379,1.58675,CLOSED,2026-01-05 19:49:00,1.56161,21.800000000000708
2026-01-05 16:55:00,SHORT,1.56147,1.58376,CLOSED,2026-01-05 20:55:00,1.56323,-17.599999999999838
2026-01-05 18:52:00,SHORT,1.56036,1.58261,CLOSED,2026-01-05 22:52:00,1.56464,-42.800000000000615
2026-01-05 19:17:00,SHORT,1.55965,1.58179,CLOSED,2026-01-05 23:17:00,1.56517,-55.19999999999969
2026-01-05 21:27:00,SHORT,1.56197,1.5841,CLOSED,2026-01-06 01:27:00,1.56587,-39.00000000000014
2026-01-05 21:42:00,SHORT,1.56194,1.58417,CLOSED,2026-01-06 01:42:00,1.56557,-36.299999999998
2026-01-05 23:04:00,SHORT,1.56348,1.58573,CLOSED,2026-01-06 03:04:00,1.56345,0.2999999999997449
2026-01-06 01:17:00,SHORT,1.56448,1.58708,CLOSED,2026-01-06 05:17:00,1.56327,12.100000000001554
2026-01-06 02:07:00,SHORT,1.56262,1.5849900000000001,CLOSED,2026-01-06 06:07:00,1.5645,-18.800000000001038
2026-01-06 02:23:00,SHORT,1.56247,1.5848,CLOSED,2026-01-06 06:23:00,1.56392,-14.499999999999513
2026-01-06 04:48:00,SHORT,1.56217,1.58437,CLOSED,2026-01-06 08:48:00,1.56316,-9.900000000000464
2026-01-06 06:32:00,SHORT,1.56242,1.58456,CLOSED,2026-01-06 10:32:00,1.56377,-13.500000000001844
2026-01-06 07:18:00,SHORT,1.5613,1.58371,CLOSED,2026-01-06 11:18:00,1.5652,-39.00000000000014
2026-01-06 09:31:00,SHORT,1.56188,1.58483,CLOSED,2026-01-06 13:31:00,1.56423,-23.500000000000743
2026-01-06 11:49:00,SHORT,1.56246,1.58473,CLOSED,2026-01-06 15:49:00,1.56614,-36.800000000001276
2026-01-06 13:01:00,SHORT,1.56323,1.5858,CLOSED,2026-01-06 17:01:00,1.56729,-40.60000000000174
2026-01-06 13:46:00,SHORT,1.56205,1.58456,CLOSED,2026-01-06 17:46:00,1.56705,-50.00000000000115
2026-01-06 14:31:00,SHORT,1.56217,1.58476,CLOSED,2026-01-06 18:31:00,1.56736,-51.900000000000276
2026-01-06 15:36:00,SHORT,1.56469,1.5869,CLOSED,2026-01-06 19:36:00,1.56701,-23.200000000000998
2026-01-07 05:37:00,SHORT,1.5624,1.58464,CLOSED,2026-01-07 09:37:00,1.56481,-24.100000000000232
2026-01-07 06:50:00,SHORT,1.56154,1.58378,CLOSED,2026-01-07 10:50:00,1.56474,-32.00000000000092
2026-01-07 07:34:00,SHORT,1.56244,1.58477,CLOSED,2026-01-07 11:34:00,1.56569,-32.49999999999975
2026-01-07 08:02:00,SHORT,1.56298,1.5853300000000001,CLOSED,2026-01-07 12:02:00,1.56496,-19.799999999998708
2026-01-07 09:09:00,SHORT,1.56346,1.58575,CLOSED,2026-01-07 13:09:00,1.56544,-19.799999999998708
2026-01-07 09:40:00,SHORT,1.56279,1.5849900000000001,CLOSED,2026-01-07 13:40:00,1.56396,-11.700000000001154
2026-01-07 09:57:00,SHORT,1.56292,1.5849900000000001,CLOSED,2026-01-07 13:57:00,1.56403,-11.099999999999444
2026-01-07 10:32:00,SHORT,1.56297,1.58507,CLOSED,2026-01-07 14:32:00,1.56483,-18.599999999999728
2026-01-07 11:09:00,SHORT,1.56359,1.5857,CLOSED,2026-01-07 15:09:00,1.56519,-16.00000000000046
2026-01-07 17:31:00,LONG,1.56806,1.54572,CLOSED,2026-01-07 21:31:00,1.56794,-1.2000000000012
2026-01-07 18:06:00,LONG,1.56812,1.54595,CLOSED,2026-01-07 22:06:00,1.56734,-7.800000000000029
2026-01-07 18:43:00,LONG,1.56858,1.5465,CLOSED,2026-01-07 22:43:00,1.56721,-13.700000000000934
2026-01-07 19:38:00,LONG,1.56941,1.54729,CLOSED,2026-01-07 23:38:00,1.56753,-18.799999999998818
