priority,sym,cat,logic,lname,oos_n,oos_wr,oos_pf,oos_sharpe,oos_kelly,oos_mdd,oos_plus_m,oos_total_m,is_pf,ois_ratio,pf_pass,sharpe_pass,ois_pass,pm_pass,mdd_pass,phase,port7_pf,port7_sharpe,port7_mdd
1,USDJPY,FX_JPY,C,オーパーツ,707,0.6463932107496464,2.1494876259891207,6.177319301575961,0.3456735401945771,21.59940149306053,9,9,2.3146719995630063,0.9286359477260401,True,True,True,True,True,Phase1（即導入）,1.972321981091871,7.321185221236835,12.97893937822385
2,GBPUSD,FX_USD,A,GOLDYAGAMI,446,0.6614349775784754,1.8611423091396901,7.116064035855775,0.30604303665579413,18.322972316069997,9,9,1.9708012894784819,0.9443581750609622,True,True,True,True,True,Phase1（即導入）,1.972321981091871,7.321185221236835,12.97893937822385
3,EURUSD,FX_USD,C,オーパーツ,807,0.6592317224287485,1.807151212936962,6.177800031320905,0.29444115166219254,22.671082031148764,9,9,1.4336661765185734,1.260510460897764,True,True,True,True,True,Phase1（即導入）,1.972321981091871,7.321185221236835,12.97893937822385
4,USDCAD,FX_USD,A,GOLDYAGAMI,577,0.682842287694974,2.021253323480906,5.617881683205427,0.34501116095673046,22.736755547592498,8,9,1.763888025854409,1.1459079566583212,True,True,True,True,True,Phase1（即導入）,1.972321981091871,7.321185221236835,12.97893937822385
5,NZDUSD,FX_USD,A,GOLDYAGAMI,396,0.6717171717171717,1.9753837425800695,5.447045479710416,0.331673281895625,20.50201275395013,8,9,2.3844724317403405,0.8284363938476353,True,True,True,True,True,Phase2（3ヶ月後）,1.972321981091871,7.321185221236835,12.97893937822385
6,XAUUSD,METALS,A,GOLDYAGAMI,312,0.7532051282051282,3.098475244697717,3.4197977176969387,0.5101161671123924,8.736159811544438,9,9,2.5004298914398255,1.239177013242918,True,True,True,True,True,Phase2（別カテゴリ）,1.972321981091871,7.321185221236835,12.97893937822385
7,AUDUSD,FX_USD,B,ADX+Streak,389,0.6272493573264781,2.027266298253512,3.6633968017612046,0.3178428635339,23.184746577748435,7,9,1.9766360550086013,1.0256143477281106,True,True,True,True,True,Phase2（月次安定確認後）,1.972321981091871,7.321185221236835,12.97893937822385
