timestamp,open,high,low,close,volume,tick_count
2024-07-01 00:00:00+00:00,160.919,161.185,160.735,160.994,7147,7147
2024-07-01 01:00:00+00:00,160.996,161.035,160.834,160.926,6953,6953
2024-07-01 02:00:00+00:00,160.926,160.938,160.836,160.898,3702,3702
2024-07-01 03:00:00+00:00,160.896,161.074,160.893,161.052,3449,3449
2024-07-01 04:00:00+00:00,161.05,161.084,160.971,161.074,3252,3252
2024-07-01 05:00:00+00:00,161.075,161.12,160.99,161.037,4146,4146
2024-07-01 06:00:00+00:00,161.03,161.051,160.89,160.905,6393,6393
2024-07-01 07:00:00+00:00,160.902,161.071,160.868,161.01,6725,6725
2024-07-01 08:00:00+00:00,161.016,161.089,160.94,161.007,5382,5382
2024-07-01 09:00:00+00:00,161.007,161.072,160.965,161.065,4419,4419
2024-07-01 10:00:00+00:00,161.062,161.147,161.029,161.122,4067,4067
2024-07-01 11:00:00+00:00,161.122,161.19,161.06,161.101,4013,4013
2024-07-01 12:00:00+00:00,161.098,161.389,161.097,161.354,6396,6396
2024-07-01 13:00:00+00:00,161.353,161.455,161.268,161.374,7690,7690
2024-07-01 14:00:00+00:00,161.336,161.666,160.957,161.652,10073,10073
2024-07-01 15:00:00+00:00,161.652,161.75,161.53,161.555,6097,6097
2024-07-01 16:00:00+00:00,161.556,161.596,161.469,161.517,3053,3053
2024-07-01 17:00:00+00:00,161.518,161.518,161.399,161.493,3060,3060
2024-07-01 18:00:00+00:00,161.495,161.563,161.467,161.516,2651,2651
2024-07-01 19:00:00+00:00,161.518,161.52,161.45,161.469,2786,2786
2024-07-01 20:00:00+00:00,161.471,161.487,161.392,161.447,2242,2242
2024-07-01 21:00:00+00:00,161.447,161.612,161.403,161.462,802,802
2024-07-01 22:00:00+00:00,161.435,161.5,161.39,161.437,2012,2012
2024-07-01 23:00:00+00:00,161.43,161.52,161.416,161.506,2516,2516
2024-07-02 00:00:00+00:00,161.512,161.64,161.502,161.524,5361,5361
2024-07-02 01:00:00+00:00,161.517,161.662,161.456,161.636,5254,5254
2024-07-02 02:00:00+00:00,161.637,161.64,161.531,161.616,5081,5081
2024-07-02 03:00:00+00:00,161.614,161.681,161.612,161.661,3255,3255
2024-07-02 04:00:00+00:00,161.657,161.741,161.58,161.676,4031,4031
2024-07-02 05:00:00+00:00,161.676,161.726,161.62,161.704,3733,3733
2024-07-02 06:00:00+00:00,161.7,161.722,161.58,161.672,5334,5334
2024-07-02 07:00:00+00:00,161.675,161.716,161.595,161.654,6213,6213
2024-07-02 08:00:00+00:00,161.653,161.694,161.55,161.587,4983,4983
2024-07-02 09:00:00+00:00,161.587,161.667,161.557,161.665,4261,4261
2024-07-02 10:00:00+00:00,161.665,161.686,161.6,161.608,3741,3741
2024-07-02 11:00:00+00:00,161.607,161.67,161.58,161.62,3909,3909
2024-07-02 12:00:00+00:00,161.623,161.623,161.477,161.513,5501,5501
