timestamp,open,high,low,close,volume
2025-03-03 00:00:00+00:00,1.04122,1.04123,1.04024,1.04096,1527
2025-03-03 00:15:00+00:00,1.04096,1.042,1.04074,1.04161,1841
2025-03-03 00:30:00+00:00,1.0416,1.04187,1.0411,1.04134,1488
2025-03-03 00:45:00+00:00,1.04135,1.04147,1.04092,1.04095,1798
2025-03-03 01:00:00+00:00,1.04096,1.04228,1.04076,1.04182,2345
2025-03-03 01:15:00+00:00,1.0418,1.04207,1.04143,1.04198,1810
2025-03-03 01:30:00+00:00,1.04198,1.04209,1.0417,1.04181,2100
2025-03-03 01:45:00+00:00,1.04182,1.04233,1.04171,1.04199,1527
2025-03-03 02:00:00+00:00,1.04198,1.0423,1.04165,1.04218,1308
2025-03-03 02:15:00+00:00,1.04217,1.0423,1.04162,1.04166,1380
2025-03-03 02:30:00+00:00,1.04164,1.04212,1.0415,1.04199,1516
2025-03-03 02:45:00+00:00,1.04198,1.04236,1.0419,1.042,1078
2025-03-03 03:00:00+00:00,1.04198,1.04202,1.04109,1.04118,1658
2025-03-03 03:15:00+00:00,1.04118,1.0414,1.04101,1.04136,1176
2025-03-03 03:30:00+00:00,1.04136,1.04186,1.04132,1.04167,1128
2025-03-03 03:45:00+00:00,1.04166,1.04172,1.04136,1.0417,790
2025-03-03 04:00:00+00:00,1.04171,1.04204,1.04167,1.04197,818
2025-03-03 04:15:00+00:00,1.04196,1.042,1.0417,1.04199,710
2025-03-03 04:30:00+00:00,1.04198,1.04205,1.04182,1.04194,533
2025-03-03 04:45:00+00:00,1.04194,1.04205,1.04179,1.0418,858
2025-03-03 05:00:00+00:00,1.04179,1.0418,1.04143,1.04164,899
2025-03-03 05:15:00+00:00,1.04164,1.04194,1.04154,1.04176,727
2025-03-03 05:30:00+00:00,1.04177,1.04196,1.04154,1.04156,776
2025-03-03 05:45:00+00:00,1.04155,1.04155,1.04126,1.04144,778
2025-03-03 06:00:00+00:00,1.04142,1.04165,1.04129,1.04138,1206
2025-03-03 06:15:00+00:00,1.04138,1.04162,1.04122,1.04145,1418
2025-03-03 06:30:00+00:00,1.04146,1.04158,1.04076,1.04082,1247
2025-03-03 06:45:00+00:00,1.0408,1.04122,1.04068,1.04084,1355
2025-03-03 07:00:00+00:00,1.04082,1.04088,1.04019,1.04044,2442
2025-03-03 07:15:00+00:00,1.04046,1.04073,1.0402,1.04055,2108
2025-03-03 07:30:00+00:00,1.04054,1.04093,1.04044,1.04092,1587
2025-03-03 07:45:00+00:00,1.04092,1.04103,1.0402,1.04057,2110
2025-03-03 08:00:00+00:00,1.04058,1.04066,1.04012,1.04038,2572
2025-03-03 08:15:00+00:00,1.04038,1.04068,1.0393,1.03964,2402
2025-03-03 08:30:00+00:00,1.03965,1.03966,1.03886,1.0394,2167
2025-03-03 08:45:00+00:00,1.03943,1.04022,1.03932,1.04012,2149
2025-03-03 09:00:00+00:00,1.04012,1.04164,1.04012,1.0416,2063
2025-03-03 09:15:00+00:00,1.0416,1.04182,1.04081,1.04118,1778
2025-03-03 09:30:00+00:00,1.04119,1.04184,1.04096,1.04164,1663
2025-03-03 09:45:00+00:00,1.04164,1.0429,1.04147,1.04272,1739
2025-03-03 10:00:00+00:00,1.04273,1.0439,1.04272,1.04371,3434
2025-03-03 10:15:00+00:00,1.04371,1.04443,1.04368,1.04393,2900
2025-03-03 10:30:00+00:00,1.04394,1.04448,1.04348,1.04353,2260
2025-03-03 10:45:00+00:00,1.04353,1.04444,1.04346,1.04422,2199
2025-03-03 11:00:00+00:00,1.04422,1.04496,1.04406,1.0449,2300
2025-03-03 11:15:00+00:00,1.04492,1.04514,1.04444,1.04504,2109
2025-03-03 11:30:00+00:00,1.04505,1.04576,1.04491,1.04548,2431
2025-03-03 11:45:00+00:00,1.04549,1.0458,1.04488,1.04526,2080
2025-03-03 12:00:00+00:00,1.04526,1.04686,1.04526,1.04642,4186
2025-03-03 12:15:00+00:00,1.04641,1.04687,1.046,1.04685,2517
2025-03-03 12:30:00+00:00,1.04686,1.04732,1.04668,1.0473,1821
2025-03-03 12:45:00+00:00,1.04728,1.04763,1.04676,1.04705,2433
2025-03-03 13:00:00+00:00,1.04706,1.04727,1.04632,1.04648,2029
2025-03-03 13:15:00+00:00,1.04651,1.04702,1.04595,1.04684,2470
2025-03-03 13:30:00+00:00,1.04685,1.04764,1.04673,1.04762,1746
2025-03-03 13:45:00+00:00,1.04762,1.04762,1.04663,1.04719,1900
2025-03-03 14:00:00+00:00,1.0472,1.04768,1.04698,1.04713,2382
2025-03-03 14:15:00+00:00,1.04712,1.04848,1.04688,1.04846,2381
2025-03-03 14:30:00+00:00,1.04847,1.0487,1.04826,1.04862,2666
2025-03-03 14:45:00+00:00,1.04859,1.0491,1.04798,1.04824,3070
2025-03-03 15:00:00+00:00,1.04815,1.04974,1.04773,1.04916,5790
2025-03-03 15:15:00+00:00,1.04915,1.05022,1.04896,1.04994,3582
2025-03-03 15:30:00+00:00,1.04993,1.05038,1.04874,1.04928,4687
2025-03-03 15:45:00+00:00,1.04928,1.04934,1.04839,1.04846,3333
2025-03-03 16:00:00+00:00,1.04846,1.04956,1.0484,1.04938,2866
2025-03-03 16:15:00+00:00,1.04937,1.04997,1.04908,1.04985,2190
2025-03-03 16:30:00+00:00,1.04988,1.05005,1.04924,1.04978,2581
2025-03-03 16:45:00+00:00,1.0498,1.05015,1.0495,1.04962,1881
2025-03-03 17:00:00+00:00,1.04962,1.04969,1.04907,1.04946,1966
2025-03-03 17:15:00+00:00,1.04945,1.04968,1.04899,1.04901,1560
2025-03-03 17:30:00+00:00,1.04905,1.04914,1.04873,1.04898,1403
2025-03-03 17:45:00+00:00,1.04899,1.04908,1.04866,1.04904,1642
2025-03-03 18:00:00+00:00,1.04904,1.04908,1.04878,1.04886,1481
2025-03-03 18:15:00+00:00,1.04888,1.04926,1.04876,1.04882,1551
2025-03-03 18:30:00+00:00,1.04883,1.04919,1.04878,1.04884,1976
2025-03-03 18:45:00+00:00,1.04884,1.0504,1.0482,1.04872,4405
2025-03-03 19:00:00+00:00,1.04871,1.04888,1.04842,1.04888,1853
2025-03-03 19:15:00+00:00,1.04888,1.04906,1.04866,1.04888,1638
2025-03-03 19:30:00+00:00,1.04888,1.04938,1.04888,1.04934,616
2025-03-03 19:45:00+00:00,1.04934,1.04936,1.04724,1.0473,6196
2025-03-03 20:00:00+00:00,1.0473,1.04853,1.04674,1.04782,5872
2025-03-03 20:15:00+00:00,1.04782,1.04835,1.04734,1.04735,3750
2025-03-03 20:30:00+00:00,1.04736,1.04781,1.04664,1.04695,3026
2025-03-03 20:45:00+00:00,1.04694,1.04826,1.04692,1.04823,2859
2025-03-03 21:00:00+00:00,1.04824,1.0487,1.04804,1.04868,1184
2025-03-03 21:15:00+00:00,1.04869,1.0491,1.04858,1.04904,897
2025-03-03 21:30:00+00:00,1.04903,1.04928,1.04897,1.04904,842
2025-03-03 21:45:00+00:00,1.04904,1.04909,1.04853,1.0488,1622
2025-03-03 22:00:00+00:00,1.04884,1.04888,1.04845,1.04881,395
2025-03-03 22:15:00+00:00,1.04882,1.04886,1.0488,1.04882,65
2025-03-03 22:30:00+00:00,1.04877,1.04882,1.04866,1.04866,54
2025-03-03 22:45:00+00:00,1.04866,1.04882,1.04866,1.0488,382
2025-03-03 23:00:00+00:00,1.0488,1.04891,1.04831,1.04869,485
2025-03-03 23:15:00+00:00,1.04868,1.04925,1.04868,1.04916,402
2025-03-03 23:30:00+00:00,1.04916,1.04918,1.04766,1.04808,1010
2025-03-03 23:45:00+00:00,1.04808,1.04866,1.04808,1.04856,1070
2025-03-04 00:00:00+00:00,1.04856,1.04884,1.04842,1.0486,1216
2025-03-04 00:15:00+00:00,1.0486,1.0488,1.04776,1.04816,1434
2025-03-04 00:30:00+00:00,1.04817,1.0483,1.04772,1.04799,1377
2025-03-04 00:45:00+00:00,1.048,1.04888,1.04767,1.04882,2317
2025-03-04 01:00:00+00:00,1.04882,1.0489,1.04824,1.04874,2239
2025-03-04 01:15:00+00:00,1.04871,1.0494,1.0487,1.04922,2423
2025-03-04 01:30:00+00:00,1.04922,1.04962,1.04912,1.0493,2907
2025-03-04 01:45:00+00:00,1.0493,1.04942,1.04858,1.04884,1904
2025-03-04 02:00:00+00:00,1.04885,1.049,1.04854,1.04868,1675
2025-03-04 02:15:00+00:00,1.04869,1.0487,1.04814,1.0484,1478
2025-03-04 02:30:00+00:00,1.0484,1.04851,1.04804,1.04842,1251
2025-03-04 02:45:00+00:00,1.0484,1.04865,1.04806,1.04808,1506
2025-03-04 03:00:00+00:00,1.04808,1.04817,1.0477,1.04782,1398
2025-03-04 03:15:00+00:00,1.04781,1.04838,1.0478,1.04808,1820
2025-03-04 03:30:00+00:00,1.04806,1.04812,1.04749,1.04765,1482
2025-03-04 03:45:00+00:00,1.04764,1.04798,1.0476,1.04772,1082
2025-03-04 04:00:00+00:00,1.04773,1.04778,1.04713,1.04748,1498
2025-03-04 04:15:00+00:00,1.04748,1.048,1.0474,1.04778,1270
2025-03-04 04:30:00+00:00,1.04779,1.04806,1.04764,1.04792,1178
2025-03-04 04:45:00+00:00,1.04792,1.04806,1.0477,1.04782,1258
2025-03-04 05:00:00+00:00,1.04781,1.04834,1.0471,1.04784,3334
2025-03-04 05:15:00+00:00,1.04785,1.04826,1.04783,1.04792,1523
2025-03-04 05:30:00+00:00,1.04793,1.04846,1.04788,1.04823,1287
2025-03-04 05:45:00+00:00,1.04822,1.04865,1.04815,1.04837,1130
2025-03-04 06:00:00+00:00,1.04838,1.04839,1.04791,1.04792,1163
2025-03-04 06:15:00+00:00,1.04792,1.04893,1.04792,1.04884,1471
2025-03-04 06:30:00+00:00,1.04886,1.04898,1.04834,1.04846,1408
2025-03-04 06:45:00+00:00,1.04849,1.04866,1.04814,1.04861,1571
2025-03-04 07:00:00+00:00,1.04865,1.04939,1.04859,1.04919,2599
2025-03-04 07:15:00+00:00,1.0492,1.04948,1.0481,1.04834,2950
2025-03-04 07:30:00+00:00,1.04834,1.04964,1.04812,1.04961,3033
2025-03-04 07:45:00+00:00,1.0496,1.05008,1.04904,1.0493,2773
2025-03-04 08:00:00+00:00,1.0493,1.0497,1.04863,1.04935,4059
2025-03-04 08:15:00+00:00,1.04934,1.05172,1.04904,1.05172,3565
2025-03-04 08:30:00+00:00,1.05173,1.05211,1.05111,1.05199,3826
2025-03-04 08:45:00+00:00,1.05198,1.0524,1.05184,1.05188,3101
2025-03-04 09:00:00+00:00,1.05188,1.05228,1.05148,1.05154,2665
2025-03-04 09:15:00+00:00,1.05154,1.0518,1.05094,1.05174,2407
2025-03-04 09:30:00+00:00,1.05174,1.05248,1.05157,1.05219,2130
2025-03-04 09:45:00+00:00,1.05217,1.05275,1.0511,1.05122,2777
2025-03-04 10:00:00+00:00,1.0512,1.05128,1.0505,1.05128,2763
2025-03-04 10:15:00+00:00,1.05127,1.05136,1.05026,1.05052,2347
2025-03-04 10:30:00+00:00,1.05052,1.05168,1.05042,1.05149,2054
2025-03-04 10:45:00+00:00,1.0515,1.05196,1.05108,1.05114,1819
2025-03-04 11:00:00+00:00,1.05113,1.05198,1.05096,1.05174,1587
2025-03-04 11:15:00+00:00,1.05173,1.05212,1.05102,1.0518,1787
2025-03-04 11:30:00+00:00,1.05179,1.05248,1.05168,1.0524,1865
2025-03-04 11:45:00+00:00,1.0524,1.05447,1.05234,1.05442,3574
2025-03-04 12:00:00+00:00,1.05444,1.0547,1.05361,1.05449,3216
2025-03-04 12:15:00+00:00,1.05448,1.05508,1.0542,1.05494,2642
2025-03-04 12:30:00+00:00,1.05494,1.05542,1.05422,1.05495,2520
2025-03-04 12:45:00+00:00,1.05496,1.05571,1.05462,1.05532,2452
2025-03-04 13:00:00+00:00,1.05533,1.05595,1.05502,1.0553,3169
2025-03-04 13:15:00+00:00,1.05532,1.0554,1.05377,1.05397,3530
2025-03-04 13:30:00+00:00,1.05398,1.05418,1.05308,1.05374,3914
2025-03-04 13:45:00+00:00,1.05374,1.05436,1.0535,1.05391,3366
2025-03-04 14:00:00+00:00,1.0539,1.05486,1.05365,1.0537,4290
2025-03-04 14:15:00+00:00,1.0537,1.0537,1.05227,1.05283,4029
2025-03-04 14:30:00+00:00,1.05282,1.05322,1.0522,1.0527,4220
2025-03-04 14:45:00+00:00,1.05272,1.05288,1.05206,1.05214,3703
2025-03-04 15:00:00+00:00,1.05214,1.05264,1.05153,1.05193,3869
