timestamp,open,high,low,close,volume
2024-07-01 00:00:00+00:00,1.36748,1.36776,1.36733,1.3677,560
2024-07-01 00:15:00+00:00,1.36768,1.36779,1.3673,1.36762,894
2024-07-01 00:30:00+00:00,1.36762,1.36767,1.36714,1.36722,624
2024-07-01 00:45:00+00:00,1.36722,1.36774,1.36722,1.36742,870
2024-07-01 01:00:00+00:00,1.36744,1.36788,1.3672,1.36724,873
2024-07-01 01:15:00+00:00,1.36723,1.3674,1.3667,1.36684,792
2024-07-01 01:30:00+00:00,1.36684,1.36717,1.36656,1.36714,696
2024-07-01 01:45:00+00:00,1.36712,1.3674,1.3669,1.36724,410
2024-07-01 02:00:00+00:00,1.36725,1.36742,1.36703,1.3671,574
2024-07-01 02:15:00+00:00,1.3671,1.36736,1.36704,1.36718,485
2024-07-01 02:30:00+00:00,1.3672,1.36752,1.36707,1.36748,321
2024-07-01 02:45:00+00:00,1.36748,1.36752,1.36721,1.36728,428
2024-07-01 03:00:00+00:00,1.36726,1.3675,1.36725,1.36732,342
2024-07-01 03:15:00+00:00,1.36731,1.3675,1.36728,1.36743,333
2024-07-01 03:30:00+00:00,1.36739,1.3677,1.36738,1.36768,376
2024-07-01 03:45:00+00:00,1.36768,1.36772,1.36748,1.36752,304
2024-07-01 04:00:00+00:00,1.36752,1.36756,1.36728,1.36728,385
2024-07-01 04:15:00+00:00,1.36729,1.36744,1.36728,1.36742,607
2024-07-01 04:30:00+00:00,1.36742,1.36744,1.36728,1.3673,489
2024-07-01 04:45:00+00:00,1.36732,1.36742,1.36727,1.36731,792
2024-07-01 05:00:00+00:00,1.36732,1.3674,1.36718,1.36738,494
2024-07-01 05:15:00+00:00,1.36738,1.36759,1.36718,1.3672,388
2024-07-01 05:30:00+00:00,1.36719,1.36727,1.36699,1.36699,546
2024-07-01 05:45:00+00:00,1.367,1.36726,1.36682,1.3672,616
2024-07-01 06:00:00+00:00,1.36722,1.36722,1.36658,1.36665,981
2024-07-01 06:15:00+00:00,1.36666,1.36689,1.36634,1.36636,790
2024-07-01 06:30:00+00:00,1.36636,1.36716,1.36634,1.36708,808
2024-07-01 06:45:00+00:00,1.36708,1.36732,1.36684,1.36686,902
2024-07-01 07:00:00+00:00,1.36684,1.36741,1.36659,1.36702,1289
2024-07-01 07:15:00+00:00,1.367,1.36748,1.367,1.36736,1068
2024-07-01 07:30:00+00:00,1.36741,1.368,1.3674,1.36784,1288
2024-07-01 07:45:00+00:00,1.36782,1.36796,1.36764,1.36775,1429
2024-07-01 08:00:00+00:00,1.36777,1.36818,1.36748,1.3675,1274
2024-07-01 08:15:00+00:00,1.3675,1.3676,1.36698,1.36719,1243
2024-07-01 08:30:00+00:00,1.36718,1.3673,1.36703,1.36709,783
2024-07-01 08:45:00+00:00,1.36708,1.3673,1.36702,1.36728,640
2024-07-01 09:00:00+00:00,1.36728,1.36804,1.36728,1.36796,828
2024-07-01 09:15:00+00:00,1.36796,1.36835,1.36776,1.36824,865
2024-07-01 09:30:00+00:00,1.36826,1.36841,1.36794,1.36834,656
2024-07-01 09:45:00+00:00,1.36836,1.36848,1.36814,1.36826,592
2024-07-01 10:00:00+00:00,1.36826,1.36866,1.36824,1.36858,614
2024-07-01 10:15:00+00:00,1.36859,1.36868,1.36834,1.3686,747
2024-07-01 10:30:00+00:00,1.36861,1.36884,1.3685,1.36876,699
2024-07-01 10:45:00+00:00,1.36876,1.3689,1.36864,1.36884,891
2024-07-01 11:00:00+00:00,1.36886,1.36894,1.36864,1.36876,835
2024-07-01 11:15:00+00:00,1.36875,1.36905,1.36874,1.36894,675
2024-07-01 11:30:00+00:00,1.36894,1.36908,1.36848,1.36892,659
2024-07-01 11:45:00+00:00,1.36894,1.36914,1.36873,1.36874,702
2024-07-01 12:00:00+00:00,1.36874,1.36952,1.36872,1.36922,1044
2024-07-01 12:15:00+00:00,1.36922,1.37008,1.36914,1.36998,956
2024-07-01 12:30:00+00:00,1.36999,1.3709,1.36984,1.37086,1100
2024-07-01 12:45:00+00:00,1.37088,1.3709,1.3702,1.3704,1307
2024-07-01 13:00:00+00:00,1.37041,1.37055,1.36994,1.37003,1489
2024-07-01 13:15:00+00:00,1.37002,1.37024,1.36956,1.36971,1135
2024-07-01 13:30:00+00:00,1.3697,1.36984,1.36856,1.36912,1478
2024-07-01 13:45:00+00:00,1.36912,1.36998,1.36873,1.36992,1155
2024-07-01 14:00:00+00:00,1.36974,1.37038,1.36832,1.37027,2758
2024-07-01 14:15:00+00:00,1.37026,1.37221,1.37026,1.37206,2469
2024-07-01 14:30:00+00:00,1.37206,1.37348,1.37182,1.37312,1894
2024-07-01 14:45:00+00:00,1.3731,1.37354,1.37302,1.3732,1796
2024-07-01 15:00:00+00:00,1.37321,1.37474,1.37312,1.37472,1979
2024-07-01 15:15:00+00:00,1.37471,1.3748,1.37444,1.37472,1292
2024-07-01 15:30:00+00:00,1.37471,1.3749,1.37424,1.37474,1232
2024-07-01 15:45:00+00:00,1.37473,1.3748,1.37426,1.37444,934
2024-07-01 16:00:00+00:00,1.37443,1.37483,1.37416,1.37418,1414
2024-07-01 16:15:00+00:00,1.37418,1.37425,1.37346,1.37362,784
2024-07-01 16:30:00+00:00,1.37362,1.3738,1.37332,1.37356,933
2024-07-01 16:45:00+00:00,1.37359,1.37406,1.37359,1.37374,925
2024-07-01 17:00:00+00:00,1.37373,1.37396,1.37344,1.37354,882
2024-07-01 17:15:00+00:00,1.37356,1.3737,1.37338,1.37346,1197
2024-07-01 17:30:00+00:00,1.37348,1.37392,1.37346,1.37378,1086
2024-07-01 17:45:00+00:00,1.37378,1.37414,1.37372,1.37406,1030
2024-07-01 18:00:00+00:00,1.37405,1.3745,1.37404,1.3744,893
2024-07-01 18:15:00+00:00,1.3744,1.37474,1.3742,1.37469,834
2024-07-01 18:30:00+00:00,1.37468,1.37478,1.37436,1.37436,971
2024-07-01 18:45:00+00:00,1.37436,1.37462,1.37436,1.3745,842
2024-07-01 19:00:00+00:00,1.3745,1.37453,1.37406,1.37406,755
2024-07-01 19:15:00+00:00,1.37406,1.37421,1.37394,1.37398,648
2024-07-01 19:30:00+00:00,1.37398,1.374,1.37375,1.3738,816
2024-07-01 19:45:00+00:00,1.37378,1.37403,1.37372,1.37394,659
2024-07-01 20:00:00+00:00,1.37393,1.37406,1.37384,1.37396,479
2024-07-01 20:15:00+00:00,1.37393,1.37394,1.3736,1.37375,298
2024-07-01 20:30:00+00:00,1.37374,1.37377,1.37345,1.37364,337
2024-07-01 20:45:00+00:00,1.37363,1.37369,1.37359,1.37364,265
2024-07-01 21:00:00+00:00,1.37386,1.37402,1.37339,1.37356,66
