entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl
2026-02-01 22:15:00,SHORT,1.55302,1.5458200000000006,1.55446,2026-02-01 23:00:00,1.55446,-0.0014599999999998859
2026-02-01 23:00:00,SHORT,1.55467,1.5498200000000004,1.55564,2026-02-02 00:00:00,1.5498200000000004,0.004829999999999577
2026-02-02 00:45:00,SHORT,1.55229,1.5477900000000004,1.5531899999999998,2026-02-02 01:00:00,1.5531899999999998,-0.0009199999999999009
2026-02-02 01:00:00,SHORT,1.55374,1.5504899999999997,1.55439,2026-02-02 01:45:00,1.5504899999999997,0.003230000000000197
2026-02-02 05:00:00,SHORT,1.54825,1.5387499999999998,1.55015,2026-02-02 08:15:00,1.55015,-0.0019200000000000128
2026-02-02 06:00:00,SHORT,1.54755,1.5332999999999999,1.5504,2026-02-02 08:15:00,1.5504,-0.0028700000000000192
2026-02-02 08:15:00,SHORT,1.54966,1.542010000000001,1.5511899999999998,2026-02-02 13:00:00,1.5511899999999998,-0.0015499999999998093
2026-02-02 10:15:00,SHORT,1.54873,1.5455800000000004,1.5493599999999998,2026-02-02 12:15:00,1.5493599999999998,-0.0006499999999999085
2026-02-03 04:15:00,LONG,1.5533,1.5638464285714284,1.5511907142857142,2026-02-04 03:15:00,1.5638464285714284,0.010526428571428513
2026-02-03 07:30:00,LONG,1.55373,1.5651585714285723,1.5514442857142856,2026-02-04 09:30:00,1.5651585714285723,0.011408571428572233
2026-02-03 13:00:00,LONG,1.55802,1.5682342857142861,1.5559771428571427,2026-02-03 17:15:00,1.5559771428571427,-0.002062857142857235
2026-02-03 17:15:00,LONG,1.55645,1.57162857142857,1.5534142857142859,2026-02-05 07:15:00,1.57162857142857,0.015158571428570154
2026-02-04 17:15:00,LONG,1.56472,1.5749450000000005,1.562675,2026-02-08 22:00:00,1.5749450000000005,0.010205000000000373
2026-02-05 03:30:00,LONG,1.56806,1.5834778571428565,1.5649764285714287,2026-02-09 01:30:00,1.5649764285714287,-0.003103571428571297
2026-02-05 06:00:00,LONG,1.56953,1.5830121428571442,1.5668335714285713,2026-02-05 13:30:00,1.5668335714285713,-0.0027164285714288217
2026-02-05 07:00:00,LONG,1.57044,1.5855114285714293,1.5674257142857142,2026-02-05 13:30:00,1.5674257142857142,-0.003034285714285858
2026-02-05 15:00:00,LONG,1.56747,1.589802142857142,1.5630035714285715,2026-02-09 01:30:00,1.5630035714285715,-0.004486428571428427
2026-02-06 01:15:00,LONG,1.56557,1.5802592857142854,1.5626321428571428,2026-02-09 01:30:00,1.5626321428571428,-0.0029578571428571033
2026-02-06 07:00:00,LONG,1.56696,1.5772921428571423,1.5648935714285714,2026-02-09 01:30:00,1.5648935714285714,-0.002086428571428469
2026-02-06 08:15:00,LONG,1.56825,1.579046428571429,1.5660907142857141,2026-02-09 01:15:00,1.5660907142857141,-0.002179285714285808
2026-02-08 22:00:00,LONG,1.57024,1.5932471428571444,1.5656385714285712,2026-02-09 01:15:00,1.5656385714285712,-0.004621428571428867
2026-02-08 23:45:00,LONG,1.57247,1.5929307142857139,1.5683778571428573,2026-02-09 00:00:00,1.5683778571428573,-0.0041121428571427665
2026-02-09 00:00:00,LONG,1.56782,1.5878271428571435,1.5638185714285713,2026-02-09 01:30:00,1.5638185714285713,-0.004021428571428711
2026-02-09 01:30:00,LONG,1.56472,1.5935342857142871,1.5589571428571427,2026-02-09 14:00:00,1.5589571428571427,-0.005782857142857403
2026-02-09 08:15:00,SHORT,1.56758,1.5490728571428574,1.5712814285714285,2026-02-10 13:30:00,1.5490728571428574,0.018487142857142612
2026-02-09 22:00:00,SHORT,1.55804,1.5324757142857144,1.5631528571428572,2026-02-11 05:00:00,1.5324757142857144,0.025544285714285707
2026-02-10 00:00:00,SHORT,1.5617,1.5412392857142863,1.5657921428571429,2026-02-10 15:45:00,1.5412392857142863,0.020440714285713833
2026-02-11 07:00:00,SHORT,1.5321,1.513746428571429,1.5357707142857142,2026-02-11 12:00:00,1.5357707142857142,-0.003690714285714194
2026-02-11 08:00:00,SHORT,1.5321,1.5138357142857144,1.5357528571428571,2026-02-11 12:00:00,1.5357528571428571,-0.0036728571428571244
2026-02-11 09:00:00,SHORT,1.5335,1.5176892857142856,1.536662142857143,2026-02-11 13:15:00,1.536662142857143,-0.003182142857142891
2026-02-11 13:30:00,SHORT,1.53425,1.452949999999999,1.55051,2026-02-19 03:15:00,1.55051,-0.016280000000000162
2026-02-12 06:15:00,SHORT,1.53402,1.509255714285714,1.5389728571428571,2026-02-17 15:30:00,1.5389728571428571,-0.004972857142857203
2026-02-13 00:00:00,SHORT,1.52876,1.5095314285714276,1.5326057142857143,2026-02-13 01:15:00,1.5326057142857143,-0.0038657142857144522
2026-02-13 07:00:00,SHORT,1.53523,1.518226428571429,1.5386307142857143,2026-02-17 15:30:00,1.5386307142857143,-0.0034207142857142015
2026-02-16 08:00:00,LONG,1.53303,1.5466907142857136,1.5302978571428572,2026-02-17 03:00:00,1.5302978571428572,-0.0027521428571427387
2026-02-17 01:00:00,SHORT,1.53352,1.5233950000000003,1.535545,2026-02-17 15:00:00,1.535545,-0.0020449999999999436
2026-02-17 02:15:00,SHORT,1.532,1.5207035714285722,1.5342592857142856,2026-02-17 14:00:00,1.5342592857142856,-0.002279285714285575
2026-02-18 08:00:00,LONG,1.53589,1.545389999999999,1.5339900000000002,2026-02-18 17:30:00,1.545389999999999,0.009479999999998955
