entry_time,direction,entry_price,tp,sl,status,exit_time,exit_price,pnl
2026-01-09 14:16:00,LONG,1.58889,1.5908453571428565,1.5764989285714286,CLOSED,2026-01-10 14:16:00,,
2026-01-13 13:30:00,LONG,1.59739,1.5975239285714298,1.5853632142857141,CLOSED,2026-01-14 12:00:00,1.58319,-141.99999999999991
2026-01-14 08:31:00,LONG,1.60024,1.600734642857143,1.5881410714285715,CLOSED,2026-01-14 09:18:00,1.5877,-125.40000000000218
2026-01-14 11:59:00,LONG,1.59711,1.5976046428571429,1.5850110714285714,CLOSED,2026-01-14 12:00:00,1.58319,-139.19999999999933
2026-01-15 09:23:00,LONG,1.59461,1.5948314285714298,1.5825657142857141,CLOSED,2026-01-16 02:39:00,1.58205,-125.60000000000127
2026-01-19 01:14:00,SHORT,1.56506,1.564915357142856,1.5770889285714287,CLOSED,2026-01-19 02:00:00,1.57746,-124.00000000000189
2026-01-20 14:04:00,SHORT,1.56874,1.5668953571428572,1.5811089285714286,CLOSED,2026-01-20 19:05:00,1.58117,-124.29999999999941
2026-01-23 07:44:00,LONG,1.58511,1.5930582142857135,1.5715203571428573,CLOSED,2026-01-23 17:13:00,1.57036,-147.5000000000004
2026-01-23 08:15:00,SHORT,1.57361,1.573299285714286,1.5856721428571428,CLOSED,2026-01-23 17:11:00,1.57293,6.800000000000139
2026-01-23 08:30:00,SHORT,1.5733,1.5663624999999994,1.5866875,CLOSED,2026-01-23 17:26:00,1.56569,76.09999999999894
2026-01-23 08:47:00,SHORT,1.57257,1.5714896428571425,1.5847860714285715,CLOSED,2026-01-23 17:13:00,1.57036,22.100000000000453
2026-01-23 09:15:00,SHORT,1.5702099999999999,1.5676242857142855,1.5827271428571428,CLOSED,2026-01-23 11:19:00,1.58274,-125.30000000000152
2026-01-23 09:30:00,SHORT,1.57014,1.5673667857142861,1.582694642857143,CLOSED,2026-01-23 11:18:00,1.5827,-125.59999999999904
2026-01-23 09:49:00,SHORT,1.5702,1.5675000000000001,1.58274,CLOSED,2026-01-23 11:19:00,1.58274,-125.39999999999995
2026-01-23 10:14:00,SHORT,1.57125,1.5711303571428574,1.5832739285714286,CLOSED,2026-01-23 17:13:00,1.57036,8.900000000000574
2026-01-23 10:29:00,SHORT,1.57136,1.568668928571429,1.5838982142857143,CLOSED,2026-01-23 17:18:00,1.56785,35.100000000001245
2026-01-23 17:34:00,SHORT,1.55647,1.5468217857142854,1.570399642857143,CLOSED,2026-01-24 17:34:00,,
2026-01-23 18:32:00,SHORT,1.55159,1.5484989285714297,1.564208214285714,CLOSED,2026-01-24 18:32:00,,
2026-01-23 18:47:00,SHORT,1.55182,1.5510896428571426,1.5639660714285715,CLOSED,2026-01-24 18:47:00,,
2026-01-23 19:23:00,SHORT,1.5518399999999999,1.5484149999999985,1.5645250000000002,CLOSED,2026-01-24 19:23:00,,
2026-01-23 19:45:00,SHORT,1.55046,1.550304642857143,1.5624910714285714,CLOSED,2026-01-24 19:45:00,,
2026-01-23 20:03:00,SHORT,1.5491,1.5472321428571423,1.5614735714285715,CLOSED,2026-01-24 20:03:00,,
2026-01-23 20:30:00,SHORT,1.54857,1.5471842857142857,1.5608471428571429,CLOSED,2026-01-24 20:30:00,,
2026-01-23 20:45:00,SHORT,1.54819,1.5481149999999995,1.560205,CLOSED,2026-01-24 20:45:00,,
2026-01-23 21:44:00,SHORT,1.5472,1.5470589285714278,1.5592282142857143,CLOSED,2026-01-24 21:44:00,,
2026-01-25 22:17:00,SHORT,1.54111,1.5408653571428566,1.5531589285714287,CLOSED,2026-01-26 00:02:00,1.55331,-121.99999999999989
2026-01-25 23:00:00,SHORT,1.53675,1.5335946428571434,1.5493810714285714,CLOSED,2026-01-25 23:24:00,1.54946,-127.1
2026-01-25 23:30:00,SHORT,1.54094,1.5396203571428573,1.5532039285714285,CLOSED,2026-01-26 00:02:00,1.55331,-123.69999999999992
2026-01-25 23:49:00,SHORT,1.54175,1.538496428571428,1.5544007142857144,CLOSED,2026-01-26 08:30:00,1.53816,35.89999999999982
2026-01-26 00:05:00,SHORT,1.54189,1.5354685714285718,1.5551742857142856,CLOSED,2026-01-26 08:35:00,1.53417,77.19999999999949
2026-01-26 00:31:00,SHORT,1.541,1.5397339285714282,1.5532532142857143,CLOSED,2026-01-26 02:30:00,1.53948,15.199999999999658
2026-01-26 00:47:00,SHORT,1.53868,1.5377299999999994,1.5508700000000002,CLOSED,2026-01-26 08:32:00,1.53754,11.400000000001409
2026-01-26 01:15:00,SHORT,1.5389599999999999,1.5375974999999993,1.5512325,CLOSED,2026-01-26 08:32:00,1.53754,14.199999999999768
2026-01-26 01:30:00,SHORT,1.53689,1.5361328571428583,1.5490414285714285,CLOSED,2026-01-26 08:34:00,1.53587,10.200000000000209
2026-01-26 02:00:00,SHORT,1.53446,1.5343296428571431,1.5464860714285713,CLOSED,2026-01-26 08:35:00,1.53417,2.8999999999990145
2026-01-26 02:15:00,SHORT,1.53118,1.5259746428571432,1.5442210714285713,CLOSED,2026-01-27 02:15:00,1.54331,-121.29999999999974
2026-01-26 02:49:00,SHORT,1.52995,1.5276124999999996,1.5424175,CLOSED,2026-01-26 03:14:00,1.54246,-125.10000000000021
2026-01-26 03:19:00,SHORT,1.53274,1.5324900000000006,1.5447899999999999,CLOSED,2026-01-27 03:19:00,1.54298,-102.40000000000026
2026-01-26 08:17:00,SHORT,1.5304,1.5303982142857147,1.542400357142857,CLOSED,2026-01-26 13:05:00,1.54303,-126.29999999999919
2026-01-26 09:01:00,SHORT,1.52984,1.525491785714287,1.5427096428571427,CLOSED,2026-01-26 13:05:00,1.54303,-131.89999999999813
2026-01-26 09:30:00,SHORT,1.5260799999999999,1.5258728571428561,1.5381214285714286,CLOSED,2026-01-26 10:10:00,1.53842,-123.40000000000018
2026-01-26 09:59:00,SHORT,1.52668,1.5266692857142858,1.5386821428571429,CLOSED,2026-01-26 12:10:00,1.53875,-120.70000000000024
2026-01-26 10:30:00,SHORT,1.52734,1.5265775,1.5394925,CLOSED,2026-01-26 12:14:00,1.5396,-122.6000000000016
2026-01-26 13:03:00,SHORT,1.5320799999999999,1.5306996428571427,1.5443560714285713,CLOSED,2026-01-27 03:44:00,1.54462,-125.40000000000218
2026-01-27 10:04:00,SHORT,1.53062,1.5281789285714296,1.5431082142857142,CLOSED,2026-01-27 17:42:00,1.52721,34.10000000000135
2026-01-27 10:45:00,SHORT,1.52745,1.5267910714285713,1.5395817857142857,CLOSED,2026-01-27 17:43:00,1.52624,12.099999999999334
2026-01-27 11:15:00,SHORT,1.52689,1.526432857142858,1.5389814285714285,CLOSED,2026-01-27 17:43:00,1.52624,6.500000000000394
2026-01-27 12:06:00,SHORT,1.52727,1.526882499999999,1.5393475,CLOSED,2026-01-27 17:43:00,1.52624,10.299999999998644
2026-01-27 12:30:00,SHORT,1.52459,1.5232953571428562,1.5368489285714286,CLOSED,2026-01-27 20:46:00,1.52207,25.199999999998557
2026-01-27 12:56:00,SHORT,1.52345,1.5234392857142858,1.5354521428571428,CLOSED,2026-01-27 20:46:00,1.52207,13.799999999999368
2026-01-27 13:12:00,SHORT,1.52342,1.5233342857142853,1.535437142857143,CLOSED,2026-01-27 20:46:00,1.52207,13.499999999999623
2026-01-27 14:46:00,SHORT,1.5224199999999999,1.5204432142857127,1.5348153571428573,CLOSED,2026-01-28 14:46:00,1.52673,-43.100000000000364
2026-01-27 20:35:00,SHORT,1.5161499999999999,1.5106071428571415,1.5292585714285716,CLOSED,2026-01-28 01:31:00,1.52941,-132.6000000000005
2026-01-27 21:38:00,SHORT,1.51319,1.512286428571429,1.5253707142857142,CLOSED,2026-01-27 23:26:00,1.52566,-124.69999999999982
2026-01-28 08:45:00,SHORT,1.51655,1.5146053571428577,1.5289389285714285,CLOSED,2026-01-28 13:55:00,1.529,-124.4999999999985
2026-01-28 14:07:00,SHORT,1.5185,1.5175250000000002,1.530695,CLOSED,2026-01-28 15:07:00,1.53106,-125.60000000000127
2026-01-28 15:14:00,SHORT,1.5262,1.525646428571429,1.5383107142857142,CLOSED,2026-01-28 18:37:00,1.53868,-124.80000000000047
2026-01-28 15:49:00,SHORT,1.52468,1.523188928571429,1.5369782142857142,CLOSED,2026-01-28 16:21:00,1.53738,-126.99999999999933
2026-01-28 17:16:00,SHORT,1.52684,1.5267935714285703,1.538849285714286,CLOSED,2026-01-28 18:39:00,1.53893,-120.89999999999934
2026-01-28 19:04:00,SHORT,1.52916,1.5281064285714292,1.5413707142857143,CLOSED,2026-01-29 00:34:00,1.52804,11.200000000000099
2026-01-28 23:47:00,SHORT,1.52086,1.5188064285714293,1.5332707142857143,CLOSED,2026-01-29 02:01:00,1.5334,-125.39999999999995
2026-01-29 02:14:00,SHORT,1.52267,1.522130714285714,1.5347778571428572,CLOSED,2026-01-29 11:03:00,1.53482,-121.50000000000105
2026-01-29 04:15:00,SHORT,1.52057,1.5180503571428572,1.5330739285714285,CLOSED,2026-01-29 07:31:00,1.53348,-129.09999999999977
2026-01-29 15:56:00,SHORT,1.51871,1.518452857142857,1.5307614285714286,CLOSED,2026-01-29 18:22:00,1.53077,-120.5999999999996
2026-01-29 16:18:00,SHORT,1.51945,1.5189267857142852,1.531554642857143,CLOSED,2026-01-29 19:14:00,1.53159,-121.4000000000004
2026-01-30 02:17:00,LONG,1.54756,1.5477724999999998,1.5355175,CLOSED,2026-01-30 21:25:00,1.54778,2.1999999999988695
