trade_id,exit_time,pnl,exit_reason,pnl_pips
1,2026-02-02 14:16:00,-0.006682142857142857,SL,-0.6682142857142856
2,2026-02-02 15:00:00,-0.0067999999999999155,SL,-0.6799999999999915
3,2026-02-02 15:00:00,-0.007264999999999853,SL,-0.7264999999999853
11,2026-02-03 09:13:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
5,2026-02-03 09:15:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
12,2026-02-03 09:15:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
9,2026-02-03 09:16:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
10,2026-02-03 09:16:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
13,2026-02-03 09:16:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
14,2026-02-03 09:16:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
4,2026-02-03 09:39:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
6,2026-02-03 09:39:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
7,2026-02-03 09:39:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
8,2026-02-03 09:39:00,0.0005235714285714019,Partial TP (RR 1:1),0.05235714285714019
5,2026-02-03 14:07:00,0.003047142857142804,TP,0.3047142857142804
9,2026-02-03 14:07:00,0.003047142857142804,TP,0.3047142857142804
10,2026-02-03 14:07:00,0.003047142857142804,TP,0.3047142857142804
11,2026-02-03 14:07:00,0.003047142857142804,TP,0.3047142857142804
12,2026-02-03 14:07:00,0.003047142857142804,TP,0.3047142857142804
4,2026-02-03 14:08:00,0.003047142857142804,TP,0.3047142857142804
6,2026-02-03 14:08:00,0.003047142857142804,TP,0.3047142857142804
13,2026-02-03 14:08:00,0.003047142857142804,TP,0.3047142857142804
14,2026-02-03 14:08:00,0.003047142857142804,TP,0.3047142857142804
7,2026-02-03 14:09:00,0.003047142857142804,TP,0.3047142857142804
8,2026-02-03 14:09:00,0.003047142857142804,TP,0.3047142857142804
26,2026-02-04 00:03:00,0.0006639285714286078,Partial TP (RR 1:1),0.06639285714286078
22,2026-02-04 00:04:00,0.0006639285714284968,Partial TP (RR 1:1),0.06639285714284968
25,2026-02-04 00:05:00,0.0006639285714284968,Partial TP (RR 1:1),0.06639285714284968
27,2026-02-04 00:05:00,0.0006639285714286078,Partial TP (RR 1:1),0.06639285714286078
23,2026-02-04 00:11:00,0.0006639285714286078,Partial TP (RR 1:1),0.06639285714286078
24,2026-02-04 00:15:00,0.0006639285714286078,Partial TP (RR 1:1),0.06639285714286078
28,2026-02-04 00:33:00,0.0006639285714286078,Partial TP (RR 1:1),0.06639285714286078
17,2026-02-04 00:53:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
19,2026-02-04 00:53:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
15,2026-02-04 00:54:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
16,2026-02-04 00:54:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
18,2026-02-04 00:54:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
21,2026-02-04 01:00:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
20,2026-02-04 01:01:00,0.0005621428571428453,Partial TP (RR 1:1),0.05621428571428452
26,2026-02-04 02:32:00,0.0033278571428572157,TP,0.33278571428572157
22,2026-02-04 02:47:00,0.0033278571428569936,TP,0.33278571428569936
23,2026-02-04 02:48:00,0.0033278571428572157,TP,0.33278571428572157
25,2026-02-04 02:48:00,0.0033278571428569936,TP,0.33278571428569936
27,2026-02-04 02:48:00,0.0033278571428572157,TP,0.33278571428572157
24,2026-02-04 02:49:00,0.0033278571428572157,TP,0.33278571428572157
28,2026-02-04 02:56:00,0.0033278571428572157,TP,0.33278571428572157
16,2026-02-04 03:19:00,0.0031242857142856906,TP,0.31242857142856906
17,2026-02-04 03:19:00,0.0031242857142856906,TP,0.31242857142856906
18,2026-02-04 03:19:00,0.0031242857142856906,TP,0.31242857142856906
19,2026-02-04 03:19:00,0.0031242857142856906,TP,0.31242857142856906
15,2026-02-04 03:22:00,0.0031242857142856906,TP,0.31242857142856906
21,2026-02-04 03:24:00,0.0031242857142856906,TP,0.31242857142856906
20,2026-02-04 03:26:00,0.0031242857142856906,TP,0.31242857142856906
30,2026-02-04 16:22:00,0.0005203571428570317,Partial TP (RR 1:1),0.052035714285703166
39,2026-02-04 16:22:00,0.0008321428571428377,Partial TP (RR 1:1),0.08321428571428377
29,2026-02-04 18:27:00,0.0005203571428571427,Partial TP (RR 1:1),0.05203571428571427
31,2026-02-04 18:31:00,0.0005203571428571427,Partial TP (RR 1:1),0.05203571428571427
32,2026-02-04 18:32:00,0.0005203571428570317,Partial TP (RR 1:1),0.052035714285703166
33,2026-02-04 18:32:00,0.0005203571428571427,Partial TP (RR 1:1),0.05203571428571427
40,2026-02-04 18:58:00,0.0008321428571428377,Partial TP (RR 1:1),0.08321428571428377
