time,dir,ep,sl,tp,risk,tf,pattern,entry_time,half_closed,exit_time,exit_price,pnl,type
2024-07-03 04:00:00+00:00,1,161.63299999999998,161.31003571428573,162.4404107142856,0.3229642857142494,4h,double_bottom,2024-07-03 04:00:00+00:00,False,2024-07-03 06:00:00+00:00,161.95596428571423,32.29642857142494,HALF_TP
2024-07-03 04:00:00+00:00,1,161.63299999999998,161.63299999999998,162.4404107142856,0.3229642857142494,4h,double_bottom,2024-07-03 04:00:00+00:00,True,2024-07-03 13:00:00+00:00,161.63299999999998,0.0,SL
2024-07-03 19:00:00+00:00,1,161.664,161.42232142857142,162.2681964285714,0.2416785714285652,1h,double_bottom,2024-07-03 19:00:00+00:00,False,2024-07-04 00:00:00+00:00,161.42232142857142,-24.16785714285652,SL
2024-07-04 05:00:00+00:00,-1,161.491,161.59441071428571,161.23247321428576,0.10341071428570103,1h,double_top,2024-07-04 05:00:00+00:00,False,2024-07-04 06:00:00+00:00,161.3875892857143,10.341071428570103,HALF_TP
2024-07-04 05:00:00+00:00,-1,161.491,161.491,161.23247321428576,0.10341071428570103,1h,double_top,2024-07-04 05:00:00+00:00,True,2024-07-04 08:00:00+00:00,161.23247321428576,25.85267857142526,TP
2024-07-04 11:00:00+00:00,-1,161.053,161.33173214285713,160.35616964285714,0.27873214285713743,1h,double_top,2024-07-04 11:00:00+00:00,False,2024-08-01 00:00:00+00:00,160.77426785714286,27.873214285713743,HALF_TP
2024-07-04 11:00:00+00:00,-1,161.053,161.053,160.35616964285714,0.27873214285713743,1h,double_top,2024-07-04 11:00:00+00:00,True,2024-08-01 00:00:00+00:00,160.35616964285714,69.68303571428578,TP
2024-08-01 04:00:00+00:00,-1,149.553,149.87188928571427,148.75577678571432,0.31888928571427755,1h,double_top,2024-08-01 04:00:00+00:00,False,2024-08-01 05:00:00+00:00,149.87188928571427,-31.888928571427755,SL
2024-08-01 08:00:00+00:00,-1,149.85500000000002,150.4174607142857,148.4488482142858,0.5624607142856917,1h,double_top,2024-08-01 08:00:00+00:00,False,2024-08-01 11:00:00+00:00,150.4174607142857,-56.24607142856917,SL
2024-08-01 14:00:00+00:00,-1,150.524,150.9689892857143,149.41152678571427,0.44498928571428564,1h,double_top,2024-08-01 14:00:00+00:00,False,2024-08-01 14:01:00+00:00,150.07901071428572,44.498928571428564,HALF_TP
