trade_id,entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl,exit_reason,pnl_pips
1,2026-02-02 05:04:00,SHORT,1.54892,1.5255092857142858,1.553602142857143,2026-02-02 05:19:00,1.54803,-0.0011099999999999426,Full Close (Time Decay),-0.11099999999999426
2,2026-02-02 06:03:00,SHORT,1.54941,1.5254100000000004,1.5542099999999999,2026-02-02 06:18:00,1.54791,-0.0004999999999999432,Full Close (Time Decay),-0.04999999999999432
3,2026-02-02 08:23:00,SHORT,1.5495,1.5231750000000008,1.554765,2026-02-02 08:38:00,1.54878,-0.0012799999999999461,Full Close (Time Decay),-0.12799999999999462
4,2026-02-03 02:17:00,LONG,1.55426,1.569495714285714,1.5512128571428572,2026-02-03 02:32:00,1.55441,-0.0018499999999999055,Full Close (Time Decay),-0.18499999999999056
5,2026-02-03 16:17:00,LONG,1.5572,1.5728214285714284,1.5540757142857142,2026-02-03 16:32:00,1.55739,-0.0018099999999998655,Full Close (Time Decay),-0.18099999999998656
6,2026-02-03 17:16:00,LONG,1.55561,1.572249285714285,1.552282142857143,2026-02-03 17:31:00,1.55657,-0.0010399999999999281,Full Close (Time Decay),-0.1039999999999928
7,2026-02-04 14:01:00,LONG,1.56438,1.5795835714285715,1.5613392857142858,2026-02-04 14:16:00,1.56481,-0.0015700000000000696,Full Close (Time Decay),-0.15700000000000697
8,2026-02-04 14:33:00,LONG,1.56486,1.5811242857142858,1.5616071428571427,2026-02-04 14:48:00,1.56483,-0.0020299999999999745,Full Close (Time Decay),-0.20299999999999746
9,2026-02-04 15:00:00,LONG,1.56355,1.5818714285714284,1.5598857142857143,2026-02-04 15:15:00,1.56526,-0.0002899999999998997,Full Close (Time Decay),-0.02899999999998997
10,2026-02-05 03:35:00,LONG,1.56737,1.583023571428571,1.5642392857142857,2026-02-05 03:50:00,1.56828,-0.0010900000000000337,Full Close (Time Decay),-0.10900000000000336
11,2026-02-05 08:34:00,LONG,1.57015,1.5868749999999996,1.566805,2026-02-05 08:49:00,1.57096,-0.0011900000000000226,Full Close (Time Decay),-0.11900000000000226
12,2026-02-06 16:45:00,LONG,1.57078,1.5885978571428578,1.5672164285714285,2026-02-06 17:00:00,1.57111,-0.0016700000000000586,Full Close (Time Decay),-0.16700000000000587
