pair,strategy,trades,wins,losses,wr,pf,net_pnl,avg_pnl,max_win,max_loss,mdd,ret_pct
USDJPY,v76,282,93,189,32.97872340425532,1.0454974640538197,343131.0,1216.776595744681,339490.0,-150766.0,15.352115765289057,11.437700000000001
USDJPY,improved,143,41,102,28.671328671328673,1.2145594822615813,707426.0,4947.034965034965,321301.0,-130529.0,14.624267589334384,23.580866666666665
EURUSD,v76,194,70,124,36.08247422680412,1.0865937057010349,458757.0,2364.726804123711,356336.0,-198059.0,18.49559772342494,15.2919
EURUSD,improved,124,43,81,34.67741935483871,1.5955494244651796,1398758.0,11280.306451612903,276574.0,-87921.0,14.791984069997774,46.62526666666666
GBPUSD,v76,200,69,131,34.5,1.3123730455284706,1823701.0,9118.505,432250.0,-203694.0,24.87443741563869,60.79003333333334
GBPUSD,improved,139,36,103,25.899280575539567,0.7534104186054668,-956285.0,-6879.748201438849,327432.0,-128444.0,37.38334336238285,-31.876166666666666
TOTAL,v76,676,232,444,34.319526627218934,1.140572817356404,2625589.0,3884.007396449704,432250.0,-203694.0,21.562160307698747,87.51963333333333
TOTAL,improved,406,120,286,29.55665024630542,1.1207390466678504,1149899.0,2832.2635467980294,327432.0,-130529.0,22.721207083155495,38.329966666666664
