time,direction,4h_trend,lower_wick_pips,atr_pips,1h_close,1h_ema20,upper_wick_pips
2024-07-02 13:00:00+00:00,LONG候補→1H逆向き除外,1.0,9.7,13.68,161.363,161.52736511932972,
2024-07-03 14:00:00+00:00,LONG候補→1H逆向き除外,1.0,56.1,21.13,161.325,161.64634817717564,
2024-07-04 01:00:00+00:00,LONG候補→1H逆向き除外,1.0,23.4,23.14,161.368,161.57548280272383,
2024-08-05 16:00:00+00:00,SHORT候補→1H逆向き除外,-1.0,,116.83,144.173,143.95419703107126,70.9
2024-08-06 00:00:00+00:00,SHORT候補→1H逆向き除外,-1.0,,92.15,145.027,144.26061957657078,56.8
