entry_time,direction,entry_price,tp,sl,exit_time,exit_price,pnl
2026-01-02 01:23:00,LONG,1.56569,1.5685328571428574,1.5651214285714286,2026-01-02 04:42:00,1.5685328571428574,-0.7157142857142631
2026-01-02 01:41:00,SHORT,1.56646,1.5636564285714276,1.5670207142857144,2026-01-02 03:08:00,1.5670207142857144,-1.056071428571447
2026-01-02 01:51:00,LONG,1.5663,1.5693464285714294,1.5656907142857142,2026-01-02 05:57:00,1.5693464285714294,-0.6953571428570662
2026-01-02 02:06:00,LONG,1.56594,1.568188214285714,1.5654903571428573,2026-01-02 04:30:00,1.568188214285714,-0.7751785714286132
2026-01-02 02:17:00,SHORT,1.56622,1.5636021428571418,1.5667435714285716,2026-01-02 02:54:00,1.5667435714285716,-1.0523571428571623
2026-01-02 02:54:00,SHORT,1.56682,1.5647182142857154,1.567240357142857,2026-01-02 04:01:00,1.567240357142857,-1.042035714285693
2026-01-02 03:01:00,LONG,1.56666,1.569277857142857,1.5661364285714285,2026-01-02 05:57:00,1.569277857142857,-0.7382142857142995
2026-01-02 03:29:00,LONG,1.56679,1.5685399999999992,1.56644,2026-01-02 04:42:00,1.5685399999999992,-0.8250000000000748
2026-01-02 03:41:00,SHORT,1.56719,1.5654185714285724,1.5675442857142856,2026-01-02 04:12:00,1.5675442857142856,-1.035428571428553
2026-01-02 03:47:00,LONG,1.56707,1.5691396428571431,1.5666560714285713,2026-01-02 05:57:00,1.5691396428571431,-0.7930357142856828
2026-01-02 04:14:00,SHORT,1.56765,1.5661285714285706,1.5679542857142859,2026-01-02 04:20:00,1.5679542857142859,-1.0304285714285868
2026-01-02 04:29:00,SHORT,1.5681,1.566419642857143,1.5684360714285714,2026-01-02 04:32:00,1.5684360714285714,-1.0336071428571394
2026-01-02 04:42:00,SHORT,1.5685,1.5668410714285714,1.5688317857142857,2026-01-02 05:55:00,1.5688317857142857,-1.0331785714285715
2026-01-02 04:55:00,LONG,1.56809,1.5693471428571428,1.5678385714285714,2026-01-02 05:57:00,1.5693471428571428,-0.8742857142857154
2026-01-02 05:07:00,SHORT,1.56854,1.567257857142857,1.5687964285714286,2026-01-02 05:55:00,1.5687964285714286,-1.0256428571428602
2026-01-02 05:29:00,SHORT,1.56835,1.5663767857142856,1.5687446428571428,2026-01-02 05:55:00,1.5687446428571428,-1.0394642857142857
2026-01-02 05:35:00,SHORT,1.56847,1.5670092857142852,1.568762142857143,2026-01-02 05:55:00,1.568762142857143,-1.0292142857142963
2026-01-02 05:58:00,SHORT,1.56922,1.5670039285714288,1.5696632142857143,2026-01-02 06:07:00,1.5696632142857143,-1.0443214285714255
2026-01-02 06:07:00,SHORT,1.56965,1.568275000000001,1.5699249999999998,2026-01-02 06:35:00,1.5699249999999998,-1.0274999999999803
2026-01-02 06:16:00,LONG,1.56919,1.5704596428571436,1.5689360714285714,2026-01-02 07:20:00,1.5689360714285714,-1.0253928571428697
2026-01-02 06:35:00,SHORT,1.56988,1.5683728571428577,1.5701814285714284,2026-01-02 07:39:00,1.5683728571428577,-0.8492857142857737
2026-01-02 06:59:00,LONG,1.56953,1.5708300000000008,1.56927,2026-01-02 07:07:00,1.56927,-1.026000000000015
2026-01-02 07:14:00,LONG,1.56904,1.570307857142857,1.5687864285714286,2026-01-02 07:30:00,1.5687864285714286,-1.0253571428571409
2026-01-02 07:20:00,LONG,1.56908,1.571658571428572,1.5685642857142856,2026-01-02 07:37:00,1.5685642857142856,-1.0515714285714397
2026-01-02 07:40:00,LONG,1.56855,1.5711642857142865,1.5680271428571428,2026-01-02 09:18:00,1.5680271428571428,-1.052285714285727
2026-01-02 07:49:00,LONG,1.56845,1.570316071428571,1.5680767857142857,2026-01-02 09:18:00,1.5680767857142857,-1.037321428571424
2026-01-02 08:02:00,LONG,1.56892,1.574266428571429,1.5678507142857143,2026-01-02 09:20:00,1.5678507142857143,-1.1069285714285773
2026-01-02 08:16:00,LONG,1.56943,1.5712157142857148,1.5690728571428572,2026-01-02 08:48:00,1.5690728571428572,-1.0357142857142945
2026-01-02 08:39:00,LONG,1.56928,1.571722857142858,1.5687914285714284,2026-01-02 08:58:00,1.5687914285714284,-1.0488571428571616
2026-01-02 08:59:00,LONG,1.56877,1.5707146428571435,1.5683810714285713,2026-01-02 09:09:00,1.5683810714285713,-1.0388928571428693
2026-01-02 09:14:00,LONG,1.56836,1.5705564285714282,1.5679207142857143,2026-01-02 09:20:00,1.5679207142857143,-1.0439285714285642
2026-01-02 09:21:00,LONG,1.56791,1.5708867857142859,1.5673146428571427,2026-01-02 15:05:00,1.5673146428571427,-1.059535714285719
2026-01-02 09:32:00,LONG,1.568,1.5701964285714294,1.5675607142857142,2026-01-02 15:04:00,1.5675607142857142,-1.0439285714285864
2026-01-02 09:57:00,SHORT,1.56911,1.5669421428571426,1.5695435714285715,2026-01-02 12:37:00,1.5695435714285715,-1.0433571428571478
2026-01-02 10:06:00,LONG,1.56894,1.5709828571428566,1.5685314285714287,2026-01-02 10:22:00,1.5685314285714287,-1.0408571428571314
2026-01-02 10:26:00,LONG,1.56826,1.571499285714286,1.5676121428571428,2026-01-02 15:04:00,1.5676121428571428,-1.06478571428572
2026-01-02 10:31:00,LONG,1.56835,1.5708767857142851,1.5678446428571429,2026-01-02 15:04:00,1.5678446428571429,-1.0505357142857044
2026-01-02 10:56:00,LONG,1.5682,1.5704785714285712,1.5677442857142858,2026-01-02 15:04:00,1.5677442857142858,-1.0455714285714226
2026-01-02 11:08:00,LONG,1.56823,1.5701782142857141,1.5678403571428572,2026-01-02 15:04:00,1.5678403571428572,-1.0389642857142825
2026-01-02 11:24:00,SHORT,1.56912,1.5671342857142863,1.5695171428571428,2026-01-02 12:36:00,1.5695171428571428,-1.0397142857142763
2026-01-02 11:40:00,SHORT,1.56902,1.5657735714285717,1.5696692857142858,2026-01-02 12:38:00,1.5696692857142858,-1.0649285714285686
2026-01-02 11:48:00,LONG,1.56933,1.5722424999999984,1.5687475000000002,2026-01-02 12:10:00,1.5687475000000002,-1.0582499999999708
2026-01-02 12:10:00,LONG,1.56883,1.5711746428571427,1.5683610714285714,2026-01-02 13:16:00,1.5683610714285714,-1.046892857142855
2026-01-02 12:23:00,LONG,1.56897,1.5706807142857142,1.5686278571428571,2026-01-02 13:14:00,1.5686278571428571,-1.0342142857142846
2026-01-02 12:42:00,SHORT,1.56985,1.567475,1.570325,2026-01-02 15:04:00,1.567475,-0.7624999999999984
2026-01-02 12:59:00,LONG,1.56941,1.5710457142857148,1.569082857142857,2026-01-02 13:05:00,1.569082857142857,-1.032714285714297
2026-01-02 13:14:00,LONG,1.5686,1.5704446428571428,1.5682310714285714,2026-01-02 14:28:00,1.5682310714285714,-1.0368928571428562
2026-01-02 13:19:00,LONG,1.5683,1.5699035714285712,1.5679792857142858,2026-01-02 15:03:00,1.5679792857142858,-1.032071428571423
2026-01-02 13:39:00,SHORT,1.56919,1.566129285714287,1.5698021428571427,2026-01-02 15:49:00,1.566129285714287,-0.6939285714286916
2026-01-02 13:47:00,LONG,1.56862,1.571136071428571,1.5681167857142857,2026-01-02 14:49:00,1.5681167857142857,-1.0503214285714204
2026-01-02 14:13:00,LONG,1.56868,1.5709121428571438,1.5682335714285713,2026-01-02 14:28:00,1.5682335714285713,-1.0446428571428736
2026-01-02 14:28:00,LONG,1.56845,1.5713285714285705,1.5678742857142858,2026-01-02 15:04:00,1.5678742857142858,-1.0575714285714124
2026-01-02 14:36:00,LONG,1.56825,1.570246428571428,1.5678507142857143,2026-01-02 15:04:00,1.5678507142857143,-1.0399285714285602
2026-01-02 14:49:00,LONG,1.56811,1.5701099999999997,1.56771,2026-01-02 15:04:00,1.56771,-1.0399999999999956
2026-01-02 15:06:00,LONG,1.567,1.5710910714285713,1.5661817857142857,2026-01-02 15:49:00,1.5661817857142857,-1.081821428571427
2026-01-02 15:24:00,LONG,1.5669,1.5713499999999991,1.5660100000000001,2026-01-02 15:52:00,1.5660100000000001,-1.0889999999999835
2026-01-02 15:34:00,SHORT,1.56737,1.5650574999999998,1.5678325,2026-01-02 18:00:00,1.5678325,-1.0462500000000032
2026-01-02 15:59:00,LONG,1.56588,1.5695067857142857,1.5651546428571428,2026-01-02 19:24:00,1.5695067857142857,-0.6373214285714237
2026-01-02 16:03:00,LONG,1.56579,1.5690578571428568,1.5651364285714287,2026-01-02 18:34:00,1.5690578571428568,-0.6732142857143177
2026-01-02 16:20:00,LONG,1.5661,1.5686357142857141,1.5655928571428572,2026-01-02 18:15:00,1.5686357142857141,-0.7464285714285914
2026-01-02 16:43:00,SHORT,1.56701,1.5644850000000012,1.5675149999999998,2026-01-02 16:50:00,1.5675149999999998,-1.0504999999999756
2026-01-02 16:54:00,SHORT,1.56763,1.565040714285715,1.568147857142857,2026-01-02 18:07:00,1.568147857142857,-1.0517857142857014
2026-01-02 17:14:00,SHORT,1.56752,1.5643110714285724,1.5681617857142855,2026-01-02 18:07:00,1.5681617857142855,-1.0641785714285525
2026-01-02 17:18:00,LONG,1.56736,1.5696635714285725,1.5668992857142856,2026-01-04 23:45:00,1.5696635714285725,-0.7696428571427596
2026-01-02 17:33:00,LONG,1.56707,1.5691914285714288,1.5666457142857142,2026-01-02 18:35:00,1.5691914285714288,-0.787857142857117
2026-01-02 17:54:00,SHORT,1.5677,1.5650982142857155,1.568220357142857,2026-01-02 18:10:00,1.568220357142857,-1.052035714285692
2026-01-02 18:13:00,SHORT,1.56846,1.565856428571429,1.5689807142857142,2026-01-02 18:30:00,1.5689807142857142,-1.0520714285714208
2026-01-02 18:27:00,SHORT,1.56882,1.5660592857142868,1.5693721428571428,2026-01-02 18:52:00,1.5693721428571428,-1.0552142857142668
2026-01-02 18:39:00,SHORT,1.5692,1.5666553571428559,1.5697089285714287,2026-01-04 23:45:00,1.5697089285714287,-1.0508928571428813
2026-01-02 18:58:00,LONG,1.569,1.571225,1.568555,2026-01-02 19:57:00,1.568555,-1.0445000000000029
2026-01-02 19:13:00,SHORT,1.56946,1.567749285714287,1.5698021428571427,2026-01-04 22:00:00,1.567749285714287,-0.8289285714286878
2026-01-02 19:25:00,SHORT,1.56944,1.5674524999999997,1.5698375,2026-01-04 22:00:00,1.5674524999999997,-0.8012499999999747
2026-01-02 19:43:00,LONG,1.56918,1.5707692857142863,1.5688621428571428,2026-01-02 19:55:00,1.5688621428571428,-1.0317857142857259
2026-01-02 19:58:00,LONG,1.56855,1.5705000000000007,1.56816,2026-01-02 21:07:00,1.56816,-1.0390000000000112
2026-01-02 20:07:00,SHORT,1.56905,1.5674035714285721,1.5693792857142856,2026-01-04 22:00:00,1.5674035714285721,-0.8353571428572062
2026-01-02 20:28:00,SHORT,1.5688,1.5672374999999992,1.5691125000000001,2026-01-04 22:00:00,1.5672374999999992,-0.8437499999999201
2026-01-02 20:41:00,LONG,1.56856,1.5703742857142855,1.5681971428571428,2026-01-02 21:06:00,1.5681971428571428,-1.036285714285711
2026-01-02 20:56:00,SHORT,1.56887,1.5675235714285707,1.5691392857142858,2026-01-04 22:00:00,1.5675235714285707,-0.8653571428570697
2026-01-02 21:07:00,LONG,1.56829,1.5704917857142853,1.567849642857143,2026-01-04 22:00:00,1.567849642857143,-1.0440357142857062
2026-01-02 21:29:00,LONG,1.56819,1.5697096428571429,1.5678860714285714,2026-01-04 22:00:00,1.5678860714285714,-1.030392857142858
2026-01-02 21:43:00,SHORT,1.56869,1.5674346428571424,1.5689410714285714,2026-01-04 22:00:00,1.5674346428571424,-0.8744642857142484
2026-01-02 21:59:00,LONG,1.5684,1.5715785714285715,1.5677642857142857,2026-01-04 22:00:00,1.5677642857142857,-1.0635714285714295
2026-01-04 22:08:00,SHORT,1.56795,1.5659214285714282,1.5683557142857143,2026-01-04 23:02:00,1.5683557142857143,-1.0405714285714343
2026-01-04 22:24:00,LONG,1.56757,1.5699628571428565,1.5670914285714286,2026-01-04 22:55:00,1.5670914285714286,-1.0478571428571328
2026-01-04 22:38:00,LONG,1.56745,1.5689714285714282,1.5671457142857144,2026-01-04 22:55:00,1.5671457142857144,-1.0304285714285646
2026-01-04 22:56:00,LONG,1.56762,1.5718735714285719,1.5667692857142856,2026-01-05 00:38:00,1.5718735714285719,-0.5746428571428144
2026-01-04 23:01:00,LONG,1.56803,1.5734049999999997,1.566955,2026-01-05 08:30:00,1.566955,-1.1074999999999937
2026-01-04 23:15:00,LONG,1.56744,1.5703989285714282,1.5668482142857143,2026-01-05 00:01:00,1.5703989285714282,-0.704107142857179
2026-01-04 23:44:00,SHORT,1.5696,1.5675678571428577,1.5700064285714286,2026-01-04 23:53:00,1.5700064285714286,-1.0406428571428474
2026-01-04 23:47:00,LONG,1.56954,1.573507857142857,1.5687464285714285,2026-01-05 08:18:00,1.5687464285714285,-1.0793571428571394
2026-01-05 00:00:00,LONG,1.56961,1.5740028571428564,1.5687314285714287,2026-01-05 08:18:00,1.5687314285714287,-1.0878571428571284
2026-01-05 00:26:00,LONG,1.5709,1.5744625000000005,1.5701874999999998,2026-01-05 01:42:00,1.5701874999999998,-1.0712500000000116
2026-01-05 00:38:00,SHORT,1.57191,1.5690082142857145,1.572490357142857,2026-01-05 00:54:00,1.572490357142857,-1.058035714285709
2026-01-05 00:58:00,LONG,1.5713,1.5743321428571422,1.5706935714285715,2026-01-05 01:15:00,1.5706935714285715,-1.0606428571428452
2026-01-05 01:11:00,LONG,1.57108,1.5748317857142866,1.5703296428571427,2026-01-05 01:20:00,1.5703296428571427,-1.0750357142857316
2026-01-05 01:20:00,LONG,1.57051,1.574545714285715,1.569702857142857,2026-01-05 01:45:00,1.569702857142857,-1.0807142857143006
2026-01-05 01:43:00,LONG,1.56998,1.5732460714285703,1.5693267857142859,2026-01-05 08:05:00,1.5693267857142859,-1.0653214285714077
2026-01-05 01:46:00,LONG,1.56941,1.5725564285714277,1.5687807142857144,2026-01-05 04:00:00,1.5725564285714277,-0.6853571428572227
2026-01-05 02:08:00,SHORT,1.57049,1.566075714285714,1.5713728571428571,2026-01-05 02:26:00,1.5713728571428571,-1.0882857142857185
2026-01-05 02:16:00,LONG,1.56972,1.5740825000000003,1.5688475,2026-01-05 08:18:00,1.5688475,-1.0872500000000054
2026-01-05 02:40:00,SHORT,1.5718,1.5674178571428579,1.5726764285714285,2026-01-05 04:00:00,1.5726764285714285,-1.0876428571428445
