entry_time,exit_time,direction,tf,entry_price,exit_price,sl_dist,tp_dist,pnl,type,half_done
2024-09-02 04:00:00+00:00,2024-09-02 08:00:00+00:00,short,4h,145.90800000000002,146.49156038427444,58.356038427443444,145.8900960686086,-58.356038427443444,SL,False
2024-09-02 16:00:00+00:00,2024-09-02 20:00:00+00:00,short,4h,146.90800000000002,146.9,45.236330792620144,113.09082698155035,0.8000000000009777,EXPIRE,False
2024-09-02 20:00:00+00:00,2024-09-03 00:00:00+00:00,short,4h,146.85500000000002,147.123,40.1808200202709,100.45205005067726,-26.799999999997226,EXPIRE,False
2024-09-03 00:00:00+00:00,2024-09-03 00:01:00+00:00,short,4h,146.704,147.07436710684235,37.03671068423489,92.59177671058723,-37.03671068423489,SL,False
2024-09-03 04:00:00+00:00,2024-09-03 08:00:00+00:00,short,4h,146.5,145.812,36.24248259300351,90.60620648250877,52.52124129650116,EXPIRE_HALF,True
2024-11-06 04:00:00+00:00,2024-11-06 04:01:00+00:00,long,4h,153.97,153.5954436315003,37.45563684997058,93.63909212492645,-37.45563684997058,SL,False
2024-07-02 02:00:00+00:00,2024-07-02 02:01:00+00:00,long,1h,161.677,161.56250765247736,11.449234752263758,28.623086880659393,-11.449234752263758,SL,False
2024-07-02 12:00:00+00:00,2024-07-02 12:01:00+00:00,long,1h,161.66299999999998,161.56188174786075,10.111825213922438,25.279563034806095,-10.111825213922438,SL,False
2024-07-02 15:00:00+00:00,2024-07-02 16:00:00+00:00,long,1h,161.476,161.574,10.66758185206611,26.668954630165274,10.233790926033715,EXPIRE_HALF,True
2024-07-03 01:00:00+00:00,2024-07-03 04:00:00+00:00,long,1h,161.599,161.713,9.667068838218938,24.167672095547346,10.533534419109685,EXPIRE_HALF,True
2024-07-04 03:00:00+00:00,2024-07-04 04:00:00+00:00,long,1h,161.482,161.493,14.987857863105445,37.46964465776361,1.099999999999568,EXPIRE,False
2024-07-04 05:00:00+00:00,2024-07-04 08:00:00+00:00,short,1h,161.455,161.242,14.648143481358089,36.620358703395226,17.97407174068016,EXPIRE_HALF,True
