entry_time,exit_time,direction,tf,entry_price,exit_price,sl_dist,tp_dist,pnl,type,half_done
2024-09-02 04:00:00+00:00,2024-09-02 05:00:00+00:00,short,4h,145.90800000000002,146.19978019213724,29.178019213721722,72.9450480343043,-29.178019213721722,SL,False
2024-09-02 16:00:00+00:00,2024-09-02 20:00:00+00:00,short,4h,146.90800000000002,146.9,22.618165396310072,56.545413490775175,0.8000000000009777,EXPIRE,False
2024-09-02 20:00:00+00:00,2024-09-02 21:00:00+00:00,short,4h,146.85500000000002,147.05590410010137,20.09041001013545,50.22602502533863,-20.09041001013545,SL,False
2024-09-03 00:00:00+00:00,2024-09-03 00:01:00+00:00,short,4h,146.704,146.8891835534212,18.518355342117445,46.29588835529361,-18.518355342117445,SL,False
2024-09-03 04:00:00+00:00,2024-09-03 06:00:00+00:00,short,4h,146.5,146.04696896758745,18.121241296501754,45.303103241254384,31.71217226887807,HALF_TP,True
2024-11-06 04:00:00+00:00,2024-11-06 04:01:00+00:00,long,4h,153.97,153.78272181575014,18.72781842498529,46.819546062463225,-18.72781842498529,SL,False
2024-07-02 02:00:00+00:00,2024-07-02 02:01:00+00:00,long,1h,161.677,161.61975382623868,5.724617376131879,14.311543440329697,-5.724617376131879,SL,False
2024-07-02 12:00:00+00:00,2024-07-02 12:01:00+00:00,long,1h,161.66299999999998,161.61244087393038,5.055912606961219,12.639781517403048,-5.055912606961219,SL,False
2024-07-02 15:00:00+00:00,2024-07-02 15:01:00+00:00,long,1h,161.476,161.42266209073966,5.333790926033055,13.334477315082637,-5.333790926033055,SL,False
2024-07-03 01:00:00+00:00,2024-07-03 01:01:00+00:00,long,1h,161.599,161.5506646558089,4.833534419109469,12.083836047773673,-4.833534419109469,SL,False
2024-07-04 03:00:00+00:00,2024-07-04 03:01:00+00:00,long,1h,161.482,161.40706071068448,7.493928931552722,18.734822328881805,-7.493928931552722,SL,False
2024-07-04 05:00:00+00:00,2024-07-04 05:01:00+00:00,short,1h,161.455,161.52824071740682,7.324071740679044,18.310179351697613,-7.324071740679044,SL,False
2024-08-01 14:00:00+00:00,2024-08-01 16:00:00+00:00,short,1h,150.488,149.89,33.543754710084414,83.85938677521104,46.67187735504287,EXPIRE_HALF,True
2024-08-01 15:00:00+00:00,2024-08-01 16:00:00+00:00,short,1h,150.00300000000001,149.89,33.543754710084414,83.85938677521104,11.300000000002797,EXPIRE,False
2024-08-01 17:00:00+00:00,2024-08-01 20:00:00+00:00,short,1h,149.852,149.361,30.847254082073146,77.11813520518285,39.97362704103727,EXPIRE_HALF,True
2024-08-02 04:00:00+00:00,2024-08-02 07:00:00+00:00,short,1h,149.436,148.74808156223662,27.5167375105349,68.79184377633725,48.15429064343607,HALF_TP,True
2024-08-02 05:00:00+00:00,2024-08-02 08:00:00+00:00,short,1h,149.21,149.066,26.399839175796895,65.99959793949223,20.399919587898722,EXPIRE_HALF,True
2024-08-02 06:00:00+00:00,2024-08-02 06:01:00+00:00,short,1h,148.875,149.13899839175798,26.399839175796895,65.99959793949223,-26.399839175796895,SL,False
2024-08-02 07:00:00+00:00,2024-08-02 07:01:00+00:00,short,1h,148.80700000000002,149.070998391758,26.399839175796895,65.99959793949223,-26.399839175796895,SL,False
2024-08-02 09:00:00+00:00,2024-08-02 12:00:00+00:00,short,1h,149.026,148.41400348452441,24.47986061902396,61.199651547559895,42.83975608329193,HALF_TP,True
2024-08-02 13:00:00+00:00,2024-08-02 13:01:00+00:00,short,1h,147.39600000000002,147.68010545869822,28.410545869820787,71.02636467455197,-28.410545869820787,SL,False
2024-08-05 15:00:00+00:00,2024-08-05 15:01:00+00:00,short,1h,142.61100000000002,142.93334447529566,32.23444752956474,80.58611882391186,-32.23444752956474,SL,False
2024-08-05 18:00:00+00:00,2024-08-05 20:00:00+00:00,short,1h,143.972,144.173,31.92318785895612,79.8079696473903,5.911593929478389,EXPIRE_HALF,True
2024-08-05 19:00:00+00:00,2024-08-05 19:01:00+00:00,short,1h,143.406,143.72523187858957,31.92318785895612,79.8079696473903,-31.92318785895612,SL,False
2024-08-05 22:00:00+00:00,2024-08-05 22:01:00+00:00,short,1h,144.05,144.38538762811098,33.5387628110953,83.84690702773825,-33.5387628110953,SL,False
2024-08-06 01:00:00+00:00,2024-08-06 01:01:00+00:00,short,1h,145.0,145.34565594436282,34.56559443628262,86.41398609070656,-34.56559443628262,SL,False
2024-08-06 07:00:00+00:00,2024-08-06 07:01:00+00:00,short,1h,145.59300000000002,145.92659515178113,33.359515178111565,83.39878794527891,-33.359515178111565,SL,False
2024-08-06 08:00:00+00:00,2024-08-06 10:00:00+00:00,short,1h,145.252,144.41801212054722,33.359515178111565,83.39878794527891,58.37915156169524,HALF_TP,True
2024-09-02 00:00:00+00:00,2024-09-02 04:00:00+00:00,short,1h,146.358,145.93,31.46079140044819,78.65197850112048,37.13039570022396,EXPIRE_HALF,True
2024-09-02 01:00:00+00:00,2024-09-02 04:00:00+00:00,short,1h,146.15,145.93,29.178019213721722,72.9450480343043,25.589009606860806,EXPIRE_HALF,True
2024-09-02 03:00:00+00:00,2024-09-02 04:00:00+00:00,short,1h,145.929,145.93,29.178019213721722,72.9450480343043,-0.10000000000047748,EXPIRE,False
2024-09-02 04:00:00+00:00,2024-09-02 05:00:00+00:00,short,1h,145.90800000000002,146.19978019213724,29.178019213721722,72.9450480343043,-29.178019213721722,SL,False
2024-09-02 05:00:00+00:00,2024-09-02 05:01:00+00:00,short,1h,145.889,146.16067616651893,27.167616651892118,67.91904162973029,-27.167616651892118,SL,False
2024-09-02 10:00:00+00:00,2024-09-02 11:00:00+00:00,short,1h,146.637,146.88733267764974,25.03326776497315,62.58316941243287,-25.03326776497315,SL,False
2024-09-02 13:00:00+00:00,2024-09-02 13:01:00+00:00,short,1h,146.93800000000002,147.1641816539631,22.618165396310072,56.545413490775175,-22.618165396310072,SL,False
2024-09-02 14:00:00+00:00,2024-09-02 16:00:00+00:00,short,1h,146.92100000000002,146.814,22.618165396310072,56.545413490775175,10.700000000002774,EXPIRE,False
2024-09-02 15:00:00+00:00,2024-09-02 16:00:00+00:00,short,1h,146.918,146.814,22.618165396310072,56.545413490775175,10.400000000001342,EXPIRE,False
2024-09-02 16:00:00+00:00,2024-09-02 20:00:00+00:00,short,1h,146.90800000000002,146.9,22.618165396310072,56.545413490775175,0.8000000000009777,EXPIRE,False
2024-09-02 17:00:00+00:00,2024-09-02 20:00:00+00:00,short,1h,146.782,146.9,20.09041001013545,50.22602502533863,-11.7999999999995,EXPIRE,False
2024-09-02 20:00:00+00:00,2024-09-02 21:00:00+00:00,short,1h,146.85500000000002,147.05590410010137,20.09041001013545,50.22602502533863,-20.09041001013545,SL,False
2024-09-03 00:00:00+00:00,2024-09-03 00:01:00+00:00,short,1h,146.704,146.8891835534212,18.518355342117445,46.29588835529361,-18.518355342117445,SL,False
2024-09-03 02:00:00+00:00,2024-09-03 02:01:00+00:00,short,1h,146.573,146.75421241296502,18.121241296501754,45.303103241254384,-18.121241296501754,SL,False
2024-09-03 19:00:00+00:00,2024-09-03 20:00:00+00:00,short,1h,145.763,145.469,16.403573978654535,41.00893494663633,22.901786989327825,EXPIRE_HALF,True
2024-09-04 01:00:00+00:00,2024-09-04 01:01:00+00:00,short,1h,145.12800000000001,145.283529066773,15.552906677300498,38.882266693251246,-15.552906677300498,SL,False
