version,instrument,sharpe,calmar,max_dd_pct,win_rate,total_trades,final_capital,approved
USDJPY_DCBreak_EMA200_ADX_Kelly,USDJPY,-0.45,-0.425,100.0,30.9,94,5554,False
USDJPY_DCBreak_EMA200_ADX_Kelly,USDJPY,-0.503,-0.202,10.5,30.9,94,4751814,False
